,State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
,Uttar Pradesh,"Varun Arjun, Shahjahanpur",ANAESTHESIOLOGY,UP Priv-Open Quota,"?23,38,116*","?24,000*",1,"?2,50,000",770,,,
,Uttar Pradesh,"Rama Med Coll, Kanpur",ANAESTHESIOLOGY,UP Priv-Open Quota,"?25,62,430*","?30,000",0,?0,730,,,
,Uttar Pradesh,"KD Med Coll, Mathura",ANAESTHESIOLOGY,UP Priv-Open Quota,"?21,63,946*","?32,000",0,?0,720,,,
,Uttar Pradesh,Muzaffarnagar Medical College,ANAESTHESIOLOGY,UP Priv-Open Quota,"?23,23,197*","?56,100*",1*,?0*,857,,,
,Uttar Pradesh,"Hind IMS, Barabanki",ANAESTHESIOLOGY,UP Priv-Open Quota,"?25,24,901*","?35,000",1*,?0*,580,,,
,Uttar Pradesh,"Prasad Inst of Med Sci,Lucknow",ANAESTHESIOLOGY,UP Priv-Open Quota,"?21,63,946*","?18,000",0,?0,410,,,
,Uttar Pradesh,"TS Misra Med Coll, Lucknow",ANAESTHESIOLOGY,UP Priv-Open Quota,"?21,63,946*","?30,000",0,?0,735,,,
,Uttar Pradesh,"Venkateshwara IMS, Gajraula",ANAESTHESIOLOGY,UP Priv-Open Quota,"?21,63,946*","?36,000",0,?0,750,,,
,Uttar Pradesh,"GS Med Coll Hosp,Hapur",ANAESTHESIOLOGY,UP Priv-Open Quota,"?21,63,946*","?32,000",0,?0,Info Not Available,,,
,Uttar Pradesh,"Krishna Mohan Med Coll,Mathura",ANAESTHESIOLOGY,UP Priv-Open Quota,"?21,63,946*","?15,000*",0,?0,700,,,
,Uttar Pradesh,"Rama Med Coll, Hapur",ANAESTHESIOLOGY,UP Priv-Open Quota,"?24,75,612*","?30,000*",Info Not Available,Info not available,1259,,,
,Uttar Pradesh,"Rajshree MRI, Bareilly",ANAESTHESIOLOGY,UP Priv-Open Quota,"?24,89,880*","?32,000",1*,?0*,740,,,
,Uttar Pradesh,"Saraswati IMS, Hapur",ANAESTHESIOLOGY,UP Priv-Open Quota,"?20,22,143*","?32,000*",0,?0,851,,,
,Uttar Pradesh,"SMSR, Greater Noida",ANAESTHESIOLOGY,UP Priv-Open Quota,"?25,40,649*","?32,000",0,?0,1200,,,
,Uttar Pradesh,"SRMS IMS, Bareilly",ANAESTHESIOLOGY,UP Priv-Open Quota,"?22,00,000*","?32,000*",1*,?0*,950,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",ANAESTHESIOLOGY,UP Priv-Open Quota,"?14,43,744*","?30,000*",2*,?0*,938,,,
,Uttar Pradesh,"Era Lucknow Med Coll, Lucknow",ANAESTHESIOLOGY,UP Priv-Open Quota,"?21,50,000*","?62,000",0,?0,850,,,
,Uttar Pradesh,"FH Med Coll, Agra",ANAESTHESIOLOGY,UP Priv-Open Quota,"?22,50,000*","?45,000",0,?0,932,,,
,Uttar Pradesh,"Career Instt of MS, Lucknow",ANAESTHESIOLOGY,UP Priv-Open Quota,"?16,00,000*","?40,000",0,?0,600,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",ANAESTHESIOLOGY,UP Priv-Open Quota,"?19,80,000*","?69,600",0,?0,1000,,,
,Uttar Pradesh,"National Captl Reg IMS, Meerut",ANAESTHESIOLOGY,UP Priv-Open Quota,"?22,35,387*","?56,100",0,?0,680,,,
,Uttar Pradesh,Noida International Inst of MS,ANAESTHESIOLOGY,UP Priv-Open Quota,"?22,35,387*","?30,000",0,?0,Info Not Available,,,
,Uttar Pradesh,"Mayo IMS, Barabanki",ANAESTHESIOLOGY,UP Priv-Open Quota,"?20,30,961*","?14,000*",1*,?0*,736,,,
,Uttar Pradesh,"Rohilkhand Med Coll, Bareilly",ANAESTHESIOLOGY,UP Priv-Open Quota,"?23,09,009*","?24,000*",1,"?2,50,000",720,,,
,Uttar Pradesh,"Heritage IMS, Varanasi",ANAESTHESIOLOGY,UP Priv-Open Quota,"?21,12,517*","?21,000",0,?0,735,,,
,Uttar Pradesh,"Hind IMS, Sitapur",ANAESTHESIOLOGY,UP Priv-Open Quota,"?20,40,950*","?30,000",1*,?0*,700,,,
,Uttar Pradesh,"IIMSR, Lucknow",ANAESTHESIOLOGY,UP Priv-Open Quota,"?19,00,000*","?40,800",0,?0,540,,,
,Uttar Pradesh,"Era Lucknow Med Coll, Lucknow",ANAESTHESIOLOGY,UP Priv-Min. Quota,"?21,50,000*","?62,000",0,?0,850,,,
,Uttar Pradesh,"FH Med Coll, Agra",ANAESTHESIOLOGY,UP Priv-Min. Quota,"?22,50,000*","?45,000",0,?0,932,,,
,Uttar Pradesh,"Career Instt of MS, Lucknow",ANAESTHESIOLOGY,UP Priv-Min. Quota,"?16,00,000*","?40,000",0,?0,600,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",ANAESTHESIOLOGY,UP Priv-Min. Quota,"?19,80,000*","?69,600",0,?0,1000,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",ANAESTHESIOLOGY,UP Priv-Min. Quota,"?14,43,744*","?30,000*",2*,?0*,938,,,
,Uttar Pradesh,"IIMSR, Lucknow",ANAESTHESIOLOGY,UP Priv-Min. Quota,"?19,00,000*","?40,800",0,?0,540,,,
,Uttar Pradesh,"GSVM Med Coll, Kanpur",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",2083,,,
,Uttar Pradesh,"S N Med Coll, Agra",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",976,,,
,Uttar Pradesh,"MLN Med Coll, Allahabad",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"LLRM Med Coll, Meerut",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1090,,,
,Uttar Pradesh,"Govt Allopathic Med Coll,Banda",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",430,,,
,Uttar Pradesh,"BRD Med Coll, Gorakhpur",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1050,,,
,Uttar Pradesh,"Govt Med Coll, Azamgarh",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",550,,,
,Uttar Pradesh,"KGMU, Lucknow",ANATOMY,UP-Govt Quota,"?54,700*","?1,09,955",2*,"?40,00,000*",4500,,,
,Uttar Pradesh,"Shaik-ul-Hind, Saharanpur",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",500,,,
,Uttar Pradesh,"Rajkiya Med Coll, Jalaun",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"Dr RML IMS, Lucknow",ANATOMY,UP-Govt Quota,"?37,500*","?1,08,672",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"UP Univ of Med Sci, Etawah",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1268,,,
,Uttar Pradesh,"Auton. State Med Coll, Ayodhya",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"Auton. State Med Coll, Jaunpur",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",394,,,
,Uttar Pradesh,"Govt IMS, Kasna",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",500,,,
,Uttar Pradesh,"Auton. State Med Coll, Deoria",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",340,,,
,Uttar Pradesh,"Govt Med Coll, Bahraich",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"Govt Med Coll, Firozobad",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",517,,,
,Uttar Pradesh,"Govt Med Coll, Shahjhanpur",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",460,,,
,Uttar Pradesh,"Govt Med Coll, Kannauj",ANATOMY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",470,,,
,Uttar Pradesh,"Rama Med Coll, Kanpur",ANATOMY,UP Priv-Open Quota,"?40,000*","?30,000",0,?0,730,,,
,Uttar Pradesh,"SMSR, Greater Noida",ANATOMY,UP Priv-Open Quota,"?9,77,116*","?32,000",0,?0,1200,,,
,Uttar Pradesh,"Saraswati IMS, Hapur",ANATOMY,UP Priv-Open Quota,"?10,000*","?25,000*",0,?0,851,,,
,Uttar Pradesh,"Hind IMS, Barabanki",ANATOMY,UP Priv-Open Quota,?0*,"?35,000",1*,?0*,580,,,
,Uttar Pradesh,"SRMS IMS, Bareilly",ANATOMY,UP Priv-Open Quota,"?36,000*","?32,000*",1*,?0*,950,,,
,Uttar Pradesh,Muzaffarnagar Medical College,ANATOMY,UP Priv-Open Quota,"?8,93,521*","?56,100*",1*,?0*,857,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",ANATOMY,UP Priv-Open Quota,?0*,"?30,000*",2*,Info not available*,938,,,
,Uttar Pradesh,"Career Instt of MS, Lucknow",ANATOMY,UP Priv-Open Quota,"?1,00,000*",Info not available*,0,?0,600,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",ANATOMY,UP Priv-Open Quota,"?10,000*",Info not available*,0,?0,1000,,,
,Uttar Pradesh,"Era Lucknow Med Coll, Lucknow",ANATOMY,UP Priv-Open Quota,"?6,00,000*",?0*,0,?0,850,,,
,Uttar Pradesh,"Mayo IMS, Barabanki",ANATOMY,UP Priv-Open Quota,"?2,00,000*","?14,000*",0*,?0*,736,,,
,Uttar Pradesh,"Rohilkhand Med Coll, Bareilly",ANATOMY,UP Priv-Open Quota,"?50,000*","?24,000*",0,?0,720,,,
,Uttar Pradesh,"Heritage IMS, Varanasi",ANATOMY,UP Priv-Open Quota,"?5,00,000*","?21,000",0,?0,735,,,
,Uttar Pradesh,"Career Instt of MS, Lucknow",ANATOMY,UP Priv-Min. Quota,"?1,00,000*",Info not available*,0,?0,600,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",ANATOMY,UP Priv-Min. Quota,"?10,000*",Info not available*,0,?0,1000,,,
,Uttar Pradesh,"Era Lucknow Med Coll, Lucknow",ANATOMY,UP Priv-Min. Quota,"?6,00,000*",?0*,0,?0,850,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",ANATOMY,UP Priv-Min. Quota,?0*,"?30,000*",2*,Info not available*,938,,,
,Uttar Pradesh,"LLRM Med Coll, Meerut",BIOCHEMISTRY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1090,,,
,Uttar Pradesh,"KGMU, Lucknow",BIOCHEMISTRY,UP-Govt Quota,"?54,700*","?1,09,955",2*,"?40,00,000*",4500,,,
,Uttar Pradesh,"UP Univ of Med Sci, Etawah",BIOCHEMISTRY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1268,,,
,Uttar Pradesh,"Auton. State Med Coll, Ayodhya",BIOCHEMISTRY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"Govt Med Coll, Bahraich",BIOCHEMISTRY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"Govt Med Coll, Firozobad",BIOCHEMISTRY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",517,,,
,Uttar Pradesh,"Auton. State Med Coll, Jaunpur",BIOCHEMISTRY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",394,,,
,Uttar Pradesh,"Govt IMS, Kasna",BIOCHEMISTRY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",500,,,
,Uttar Pradesh,"Govt Med Coll, Shahjhanpur",BIOCHEMISTRY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",460,,,
,Uttar Pradesh,"GSVM Med Coll, Kanpur",BIOCHEMISTRY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",2083,,,
,Uttar Pradesh,"Govt Med Coll, Kannauj",BIOCHEMISTRY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",470,,,
,Uttar Pradesh,"SMSR, Greater Noida",BIOCHEMISTRY,UP Priv-Open Quota,"?9,77,116*","?32,000",0,?0,1200,,,
,Uttar Pradesh,"Hind IMS, Barabanki",BIOCHEMISTRY,UP Priv-Open Quota,?0*,"?35,000",1*,?0*,580,,,
,Uttar Pradesh,Muzaffarnagar Medical College,BIOCHEMISTRY,UP Priv-Open Quota,"?8,93,521*","?56,100*",1*,?0*,857,,,
,Uttar Pradesh,"Rama Med Coll, Kanpur",BIOCHEMISTRY,UP Priv-Open Quota,"?40,000*","?30,000",0,?0,730,,,
,Uttar Pradesh,"Rajshree MRI, Bareilly",BIOCHEMISTRY,UP Priv-Open Quota,"?11,000*","?32,000",1*,?0*,740,,,
,Uttar Pradesh,"TS Misra Med Coll, Lucknow",BIOCHEMISTRY,UP Priv-Open Quota,?0*,"?10,000",0,?0,735,,,
,Uttar Pradesh,"SRMS IMS, Bareilly",BIOCHEMISTRY,UP Priv-Open Quota,"?36,000*","?32,000*",1*,?0*,950,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",BIOCHEMISTRY,UP Priv-Open Quota,?0*,"?30,000*",2*,Info not available*,938,,,
,Uttar Pradesh,"Era Lucknow Med Coll, Lucknow",BIOCHEMISTRY,UP Priv-Open Quota,"?6,00,000*",?0*,0,?0,850,,,
,Uttar Pradesh,"Career Instt of MS, Lucknow",BIOCHEMISTRY,UP Priv-Open Quota,"?1,00,000*",Info not available*,0,?0,600,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",BIOCHEMISTRY,UP Priv-Open Quota,"?10,000*",Info not available*,0,?0,1000,,,
,Uttar Pradesh,"Mayo IMS, Barabanki",BIOCHEMISTRY,UP Priv-Open Quota,"?5,00,000*","?14,000*",0*,?0*,736,,,
,Uttar Pradesh,"Rohilkhand Med Coll, Bareilly",BIOCHEMISTRY,UP Priv-Open Quota,"?50,000*","?24,000*",0,?0,720,,,
,Uttar Pradesh,"Hind IMS, Sitapur",BIOCHEMISTRY,UP Priv-Open Quota,?0*,"?30,000",1*,?0*,700,,,
