,State,Institute,Course,Quota,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,,,
,Uttar Pradesh,"KD Med Coll, Mathura",EMERGENCY MEDICINE,UP Priv-Open Quota,"?21,63,946*","?32,000",0,?0,720,,,
,Uttar Pradesh,"SRMS IMS, Bareilly",EMERGENCY MEDICINE,UP Priv-Open Quota,"?22,00,000*","?32,000*",1*,?0*,950,,,
,Uttar Pradesh,"Rajshree MRI, Bareilly",EMERGENCY MEDICINE,UP Priv-Open Quota,"?24,89,880*","?32,000",1*,?0*,740,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",EMERGENCY MEDICINE,UP Priv-Open Quota,"?14,43,744*","?30,000*",2*,?0*,938,,,
,Uttar Pradesh,"Rohilkhand Med Coll, Bareilly",EMERGENCY MEDICINE,UP Priv-Open Quota,"?23,09,009*","?24,000*",1,"?7,50,000",720,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",EMERGENCY MEDICINE,UP Priv-Min. Quota,"?14,43,744*","?30,000*",2*,?0*,938,,,
,Uttar Pradesh,"S N Med Coll, Agra",FORENSIC MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",976,,,
,Uttar Pradesh,"GSVM Med Coll, Kanpur",FORENSIC MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",2083,,,
,Uttar Pradesh,"MLN Med Coll, Allahabad",FORENSIC MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"Govt Allopathic Med Coll,Banda",FORENSIC MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",430,,,
,Uttar Pradesh,"KGMU, Lucknow",FORENSIC MEDICINE,UP-Govt Quota,"?54,700*","?1,09,955",2*,"?40,00,000*",4500,,,
,Uttar Pradesh,"Govt Med Coll, Bahraich",FORENSIC MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"Govt Med Coll, Firozobad",FORENSIC MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",517,,,
,Uttar Pradesh,"Govt Med Coll, Shahjhanpur",FORENSIC MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",460,,,
,Uttar Pradesh,"Hind IMS, Barabanki",FORENSIC MEDICINE,UP Priv-Open Quota,?0*,"?35,000",1*,?0*,580,,,
,Uttar Pradesh,"Rama Med Coll, Kanpur",FORENSIC MEDICINE,UP Priv-Open Quota,"?10,60,307*","?30,000",0,?0,730,,,
,Uttar Pradesh,"SRMS IMS, Bareilly",FORENSIC MEDICINE,UP Priv-Open Quota,"?36,000*","?32,000*",1*,?0*,950,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",FORENSIC MEDICINE,UP Priv-Open Quota,"?1,20,000*","?10,000*",2*,Info not available*,938,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",FORENSIC MEDICINE,UP Priv-Open Quota,"?10,000*",Info not available*,0,?0,1000,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",FORENSIC MEDICINE,UP Priv-Min. Quota,"?10,000*",Info not available*,0,?0,1000,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",FORENSIC MEDICINE,UP Priv-Min. Quota,"?1,20,000*","?10,000*",2*,Info not available*,938,,,
,Uttar Pradesh,"MLN Med Coll, Allahabad",GENERAL MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"GSVM Med Coll, Kanpur",GENERAL MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",2083,,,
,Uttar Pradesh,"LLRM Med Coll, Meerut",GENERAL MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1090,,,
,Uttar Pradesh,"KGMU, Lucknow",GENERAL MEDICINE,UP-Govt Quota,"?54,700*","?1,09,955",2*,"?40,00,000*",4500,,,
,Uttar Pradesh,"MLB Med Coll, Jhansi",GENERAL MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",700,,,
,Uttar Pradesh,"S N Med Coll, Agra",GENERAL MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",976,,,
,Uttar Pradesh,"Shaik-ul-Hind, Saharanpur",GENERAL MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",500,,,
,Uttar Pradesh,"BRD Med Coll, Gorakhpur",GENERAL MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1050,,,
,Uttar Pradesh,"Dr RML IMS, Lucknow",GENERAL MEDICINE,UP-Govt Quota,"?37,500*","?1,08,672",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"Auton. State Med Coll, Ayodhya",GENERAL MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"Govt IMS, Kasna",GENERAL MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",500,,,
,Uttar Pradesh,"Rajkiya Med Coll, Jalaun",GENERAL MEDICINE,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"Prasad Inst of Med Sci,Lucknow",GENERAL MEDICINE,UP Priv-Open Quota,"?21,63,946*","?18,000",0,?0,410,,,
,Uttar Pradesh,"Saraswati IMS, Hapur",GENERAL MEDICINE,UP Priv-Open Quota,"?20,22,143*","?32,000*",0,?0,851,,,
,Uttar Pradesh,"TS Misra Med Coll, Lucknow",GENERAL MEDICINE,UP Priv-Open Quota,"?21,63,946*","?30,000",0,?0,735,,,
,Uttar Pradesh,"KD Med Coll, Mathura",GENERAL MEDICINE,UP Priv-Open Quota,"?21,63,946*","?32,000",0,?0,720,,,
,Uttar Pradesh,"GS Med Coll Hosp,Hapur",GENERAL MEDICINE,UP Priv-Open Quota,"?21,63,946*","?32,000",0,?0,Info Not Available,,,
,Uttar Pradesh,"Varun Arjun, Shahjahanpur",GENERAL MEDICINE,UP Priv-Open Quota,"?23,38,116*","?24,000*",1,"?7,50,000",770,,,
,Uttar Pradesh,"Venkateshwara IMS, Gajraula",GENERAL MEDICINE,UP Priv-Open Quota,"?21,63,946*","?36,000",0,?0,750,,,
,Uttar Pradesh,"Krishna Mohan Med Coll,Mathura",GENERAL MEDICINE,UP Priv-Open Quota,"?21,63,946*","?15,000*",0,?0,700,,,
,Uttar Pradesh,Muzaffarnagar Medical College,GENERAL MEDICINE,UP Priv-Open Quota,"?23,23,197*","?56,100*",1*,?0*,857,,,
,Uttar Pradesh,"Rama Med Coll, Kanpur",GENERAL MEDICINE,UP Priv-Open Quota,"?25,62,430*","?30,000",0,?0,730,,,
,Uttar Pradesh,"Rama Med Coll, Hapur",GENERAL MEDICINE,UP Priv-Open Quota,"?24,75,612*","?30,000*",Info Not Available,Info not available,1259,,,
,Uttar Pradesh,"Hind IMS, Barabanki",GENERAL MEDICINE,UP Priv-Open Quota,"?25,24,901*","?35,000",1*,?0*,580,,,
,Uttar Pradesh,"Rajshree MRI, Bareilly",GENERAL MEDICINE,UP Priv-Open Quota,"?24,89,880*","?32,000",1*,?0*,740,,,
,Uttar Pradesh,"SMSR, Greater Noida",GENERAL MEDICINE,UP Priv-Open Quota,"?25,40,649*","?32,000",0,?0,1200,,,
,Uttar Pradesh,"SRMS IMS, Bareilly",GENERAL MEDICINE,UP Priv-Open Quota,"?25,09,957*","?32,000*",1*,?0*,950,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",GENERAL MEDICINE,UP Priv-Open Quota,"?14,43,744*","?30,000*",2*,?0*,938,,,
,Uttar Pradesh,"Career Instt of MS, Lucknow",GENERAL MEDICINE,UP Priv-Open Quota,"?39,90,000*","?40,000",0,?0,600,,,
,Uttar Pradesh,"FH Med Coll, Agra",GENERAL MEDICINE,UP Priv-Open Quota,"?42,00,000*","?45,000",0,?0,932,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",GENERAL MEDICINE,UP Priv-Open Quota,"?39,90,000*","?69,600",0,?0,1000,,,
,Uttar Pradesh,"Era Lucknow Med Coll, Lucknow",GENERAL MEDICINE,UP Priv-Open Quota,"?39,60,000*","?62,000",0,?0,850,,,
,Uttar Pradesh,"National Captl Reg IMS, Meerut",GENERAL MEDICINE,UP Priv-Open Quota,"?22,35,387*","?56,100",0,?0,680,,,
,Uttar Pradesh,Noida International Inst of MS,GENERAL MEDICINE,UP Priv-Open Quota,"?22,35,387*","?30,000",0,?0,Info Not Available,,,
,Uttar Pradesh,"Mayo IMS, Barabanki",GENERAL MEDICINE,UP Priv-Open Quota,"?20,30,961*","?14,000*",1*,?0*,736,,,
,Uttar Pradesh,"Rohilkhand Med Coll, Bareilly",GENERAL MEDICINE,UP Priv-Open Quota,"?29,09,009*","?24,000*",1,"?7,50,000",720,,,
,Uttar Pradesh,"Heritage IMS, Varanasi",GENERAL MEDICINE,UP Priv-Open Quota,"?21,12,517*","?21,000",0,?0,735,,,
,Uttar Pradesh,"Hind IMS, Sitapur",GENERAL MEDICINE,UP Priv-Open Quota,"?20,40,950*","?30,000",1*,?0*,700,,,
,Uttar Pradesh,"IIMSR, Lucknow",GENERAL MEDICINE,UP Priv-Open Quota,"?39,95,000*","?40,800",0,?0,540,,,
,Uttar Pradesh,"Career Instt of MS, Lucknow",GENERAL MEDICINE,UP Priv-Min. Quota,"?39,90,000*","?40,000",0,?0,600,,,
,Uttar Pradesh,"FH Med Coll, Agra",GENERAL MEDICINE,UP Priv-Min. Quota,"?42,00,000*","?45,000",0,?0,932,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",GENERAL MEDICINE,UP Priv-Min. Quota,"?39,90,000*","?69,600",0,?0,1000,,,
,Uttar Pradesh,"Era Lucknow Med Coll, Lucknow",GENERAL MEDICINE,UP Priv-Min. Quota,"?39,60,000*","?62,000",0,?0,850,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",GENERAL MEDICINE,UP Priv-Min. Quota,"?14,43,744*","?30,000*",2*,?0*,938,,,
,Uttar Pradesh,"IIMSR, Lucknow",GENERAL MEDICINE,UP Priv-Min. Quota,"?39,95,000*","?40,800",0,?0,540,,,
,Uttar Pradesh,"KGMU, Lucknow",HOSPITAL ADMINISTRATION,UP-Govt Quota,"?54,700*","?1,09,955",2*,"?40,00,000*",4500,,,
,Uttar Pradesh,"SGPGI, Lucknow",IHBT,UP-Govt Quota,"?61,600*","?1,11,780",2*,"?40,00,000*",1609,,,
,Uttar Pradesh,"MLN Med Coll, Allahabad",IHBT,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"KGMU, Lucknow",IHBT,UP-Govt Quota,"?54,700*","?1,09,955",2*,"?40,00,000*",4500,,,
,Uttar Pradesh,"SRMS IMS, Bareilly",IHBT,UP Priv-Open Quota,"?50,000*","?32,000*",1*,?0*,950,,,
,Uttar Pradesh,"SGPGI, Lucknow",MICROBIOLOGY,UP-Govt Quota,"?61,600*","?1,11,780",2*,"?40,00,000*",1609,,,
,Uttar Pradesh,"KGMU, Lucknow",MICROBIOLOGY,UP-Govt Quota,"?54,700*","?1,09,955",2*,"?40,00,000*",4500,,,
,Uttar Pradesh,"LLRM Med Coll, Meerut",MICROBIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1090,,,
,Uttar Pradesh,"MLN Med Coll, Allahabad",MICROBIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"S N Med Coll, Agra",MICROBIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",976,,,
,Uttar Pradesh,"Super Spec Paediatric, Noida",MICROBIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",312,,,
,Uttar Pradesh,"Dr RML IMS, Lucknow",MICROBIOLOGY,UP-Govt Quota,"?37,500*","?1,08,672",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"UP Univ of Med Sci, Etawah",MICROBIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1268,,,
,Uttar Pradesh,"Govt Med Coll, Rampur, Basti",MICROBIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",500,,,
,Uttar Pradesh,"Govt Med Coll, Firozobad",MICROBIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",517,,,
,Uttar Pradesh,"Govt Med Coll, Shahjhanpur",MICROBIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",460,,,
,Uttar Pradesh,"Govt IMS, Kasna",MICROBIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",500,,,
,Uttar Pradesh,"GSVM Med Coll, Kanpur",MICROBIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",2083,,,
,Uttar Pradesh,"Govt Med Coll, Kannauj",MICROBIOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",470,,,
,Uttar Pradesh,"SMSR, Greater Noida",MICROBIOLOGY,UP Priv-Open Quota,"?9,77,116*","?32,000",0,?0,1200,,,
,Uttar Pradesh,"Hind IMS, Barabanki",MICROBIOLOGY,UP Priv-Open Quota,"?6,00,000*","?35,000",1*,?0*,580,,,
,Uttar Pradesh,Muzaffarnagar Medical College,MICROBIOLOGY,UP Priv-Open Quota,"?8,93,521*","?56,100*",1*,?0*,857,,,
,Uttar Pradesh,"Saraswati IMS, Hapur",MICROBIOLOGY,UP Priv-Open Quota,"?50,000*","?25,000*",0,?0,851,,,
,Uttar Pradesh,"Rajshree MRI, Bareilly",MICROBIOLOGY,UP Priv-Open Quota,"?11,000*","?32,000",1*,?0*,740,,,
,Uttar Pradesh,"Varun Arjun, Shahjahanpur",MICROBIOLOGY,UP Priv-Open Quota,"?4,00,000*",?0,0,?0,770,,,
,Uttar Pradesh,"Rama Med Coll, Kanpur",MICROBIOLOGY,UP Priv-Open Quota,"?40,000*","?30,000",0,?0,730,,,
,Uttar Pradesh,"TS Misra Med Coll, Lucknow",MICROBIOLOGY,UP Priv-Open Quota,?0*,"?10,000",0,?0,735,,,
,Uttar Pradesh,"SRMS IMS, Bareilly",MICROBIOLOGY,UP Priv-Open Quota,"?36,000*","?32,000*",1*,?0*,950,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",MICROBIOLOGY,UP Priv-Open Quota,?0*,"?30,000*",2*,Info not available*,938,,,
,Uttar Pradesh,"Era Lucknow Med Coll, Lucknow",MICROBIOLOGY,UP Priv-Open Quota,"?6,00,000*",?0*,0,?0,850,,,
,Uttar Pradesh,"FH Med Coll, Agra",MICROBIOLOGY,UP Priv-Open Quota,"?10,000*","?45,000",0,?0,932,,,
,Uttar Pradesh,"Career Instt of MS, Lucknow",MICROBIOLOGY,UP Priv-Open Quota,"?1,00,000*",Info not available*,0,?0,600,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",MICROBIOLOGY,UP Priv-Open Quota,"?10,000*",Info not available*,0,?0,1000,,,
,Uttar Pradesh,"Mayo IMS, Barabanki",MICROBIOLOGY,UP Priv-Open Quota,"?5,00,000*","?14,000*",0*,?0*,736,,,
,Uttar Pradesh,"Rohilkhand Med Coll, Bareilly",MICROBIOLOGY,UP Priv-Open Quota,"?1,00,000*","?24,000*",0,?0,720,,,
,Uttar Pradesh,"Heritage IMS, Varanasi",MICROBIOLOGY,UP Priv-Open Quota,"?5,00,000*","?21,000",0,?0,735,,,
,Uttar Pradesh,"Hind IMS, Sitapur",MICROBIOLOGY,UP Priv-Open Quota,?0*,"?30,000",1*,?0*,700,,,
,Uttar Pradesh,"IIMSR, Lucknow",MICROBIOLOGY,UP Priv-Open Quota,"?6,00,000*",Info not available*,0,?0,540,,,
,Uttar Pradesh,"Era Lucknow Med Coll, Lucknow",MICROBIOLOGY,UP Priv-Min. Quota,"?6,00,000*",?0*,0,?0,850,,,
,Uttar Pradesh,"FH Med Coll, Agra",MICROBIOLOGY,UP Priv-Min. Quota,"?10,000*","?45,000",0,?0,932,,,
,Uttar Pradesh,"Career Instt of MS, Lucknow",MICROBIOLOGY,UP Priv-Min. Quota,"?1,00,000*",Info not available*,0,?0,600,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",MICROBIOLOGY,UP Priv-Min. Quota,"?10,000*",Info not available*,0,?0,1000,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",MICROBIOLOGY,UP Priv-Min. Quota,?0*,"?30,000*",2*,Info not available*,938,,,
,Uttar Pradesh,"IIMSR, Lucknow",MICROBIOLOGY,UP Priv-Min. Quota,"?6,00,000*",Info not available*,0,?0,540,,,
,Uttar Pradesh,"SGPGI, Lucknow",NUCLEAR MEDICINE,UP-Govt Quota,"?61,600*","?1,11,780",2*,"?40,00,000*",1609,,,
,Uttar Pradesh,"MLN Med Coll, Allahabad",PAEDIATRICS,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"GSVM Med Coll, Kanpur",PAEDIATRICS,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",2083,,,
,Uttar Pradesh,"MLB Med Coll, Jhansi",PAEDIATRICS,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",700,,,
,Uttar Pradesh,"S N Med Coll, Agra",PAEDIATRICS,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",976,,,
,Uttar Pradesh,"LLRM Med Coll, Meerut",PAEDIATRICS,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1090,,,
,Uttar Pradesh,"BRD Med Coll, Gorakhpur",PAEDIATRICS,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1050,,,
,Uttar Pradesh,"KGMU, Lucknow",PAEDIATRICS,UP-Govt Quota,"?54,700*","?1,09,955",2*,"?40,00,000*",4500,,,
,Uttar Pradesh,"Shaik-ul-Hind, Saharanpur",PAEDIATRICS,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",500,,,
,Uttar Pradesh,"Dr RML IMS, Lucknow",PAEDIATRICS,UP-Govt Quota,"?37,500*","?1,08,672",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"Super Spec Paediatric, Noida",PAEDIATRICS,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",312,,,
,Uttar Pradesh,"UP Univ of Med Sci, Etawah",PAEDIATRICS,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1268,,,
,Uttar Pradesh,"Govt IMS, Kasna",PAEDIATRICS,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",500,,,
,Uttar Pradesh,"Rajkiya Med Coll, Jalaun",PAEDIATRICS,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"Govt Med Coll, Kannauj",PAEDIATRICS,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",470,,,
,Uttar Pradesh,"TS Misra Med Coll, Lucknow",PAEDIATRICS,UP Priv-Open Quota,"?21,63,946*","?30,000",0,?0,735,,,
,Uttar Pradesh,"GS Med Coll Hosp,Hapur",PAEDIATRICS,UP Priv-Open Quota,"?21,63,946*","?32,000",0,?0,Info Not Available,,,
,Uttar Pradesh,Muzaffarnagar Medical College,PAEDIATRICS,UP Priv-Open Quota,"?23,23,197*","?56,100*",1*,?0*,857,,,
,Uttar Pradesh,"Rama Med Coll, Kanpur",PAEDIATRICS,UP Priv-Open Quota,"?25,62,430*","?30,000",0,?0,730,,,
,Uttar Pradesh,"Prasad Inst of Med Sci,Lucknow",PAEDIATRICS,UP Priv-Open Quota,"?21,63,946*","?18,000",0,?0,410,,,
,Uttar Pradesh,"KD Med Coll, Mathura",PAEDIATRICS,UP Priv-Open Quota,"?21,63,946*","?32,000",0,?0,720,,,
,Uttar Pradesh,"Krishna Mohan Med Coll,Mathura",PAEDIATRICS,UP Priv-Open Quota,"?21,63,946*","?15,000*",0,?0,700,,,
,Uttar Pradesh,"Venkateshwara IMS, Gajraula",PAEDIATRICS,UP Priv-Open Quota,"?21,63,946*","?36,000",0,?0,750,,,
,Uttar Pradesh,"Varun Arjun, Shahjahanpur",PAEDIATRICS,UP Priv-Open Quota,"?23,38,116*","?24,000*",1,"?7,50,000",770,,,
,Uttar Pradesh,"Saraswati IMS, Hapur",PAEDIATRICS,UP Priv-Open Quota,"?20,22,143*","?32,000*",0,?0,851,,,
,Uttar Pradesh,"Rama Med Coll, Hapur",PAEDIATRICS,UP Priv-Open Quota,"?24,75,612*","?30,000*",Info Not Available,Info not available,1259,,,
,Uttar Pradesh,"Hind IMS, Barabanki",PAEDIATRICS,UP Priv-Open Quota,"?25,24,901*","?35,000",1*,?0*,580,,,
,Uttar Pradesh,"Rajshree MRI, Bareilly",PAEDIATRICS,UP Priv-Open Quota,"?24,89,880*","?32,000",1*,?0*,740,,,
,Uttar Pradesh,"SMSR, Greater Noida",PAEDIATRICS,UP Priv-Open Quota,"?25,40,649*","?32,000",0,?0,1200,,,
,Uttar Pradesh,"SRMS IMS, Bareilly",PAEDIATRICS,UP Priv-Open Quota,"?25,09,957*","?32,000*",1*,?0*,950,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",PAEDIATRICS,UP Priv-Open Quota,"?14,43,744*","?30,000*",2*,?0*,938,,,
,Uttar Pradesh,"Era Lucknow Med Coll, Lucknow",PAEDIATRICS,UP Priv-Open Quota,"?36,10,000*","?62,000",0,?0,850,,,
,Uttar Pradesh,"FH Med Coll, Agra",PAEDIATRICS,UP Priv-Open Quota,"?38,50,000*","?45,000",0,?0,932,,,
,Uttar Pradesh,"Career Instt of MS, Lucknow",PAEDIATRICS,UP Priv-Open Quota,"?35,90,000*","?40,000",0,?0,600,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",PAEDIATRICS,UP Priv-Open Quota,"?36,00,000*","?69,600",0,?0,1000,,,
,Uttar Pradesh,Noida International Inst of MS,PAEDIATRICS,UP Priv-Open Quota,"?22,35,387*","?30,000",0,?0,Info Not Available,,,
,Uttar Pradesh,"Mayo IMS, Barabanki",PAEDIATRICS,UP Priv-Open Quota,"?20,30,961*","?14,000*",1*,?0*,736,,,
,Uttar Pradesh,"Rohilkhand Med Coll, Bareilly",PAEDIATRICS,UP Priv-Open Quota,"?29,09,009*","?24,000*",1,"?7,50,000",720,,,
,Uttar Pradesh,"Hind IMS, Sitapur",PAEDIATRICS,UP Priv-Open Quota,"?20,40,950*","?30,000",1*,?0*,700,,,
,Uttar Pradesh,"Heritage IMS, Varanasi",PAEDIATRICS,UP Priv-Open Quota,"?21,12,517*","?21,000",0,?0,735,,,
,Uttar Pradesh,"IIMSR, Lucknow",PAEDIATRICS,UP Priv-Open Quota,"?38,95,000*","?40,800",0,?0,540,,,
,Uttar Pradesh,"Era Lucknow Med Coll, Lucknow",PAEDIATRICS,UP Priv-Min. Quota,"?36,10,000*","?62,000",0,?0,850,,,
,Uttar Pradesh,"FH Med Coll, Agra",PAEDIATRICS,UP Priv-Min. Quota,"?38,50,000*","?45,000",0,?0,932,,,
,Uttar Pradesh,"Career Instt of MS, Lucknow",PAEDIATRICS,UP Priv-Min. Quota,"?35,90,000*","?40,000",0,?0,600,,,
,Uttar Pradesh,"Teerthanker Med Coll,Moradabad",PAEDIATRICS,UP Priv-Min. Quota,"?36,00,000*","?69,600",0,?0,1000,,,
,Uttar Pradesh,"Subharti Med Coll, Meerut",PAEDIATRICS,UP Priv-Min. Quota,"?14,43,744*","?30,000*",2*,?0*,938,,,
,Uttar Pradesh,"IIMSR, Lucknow",PAEDIATRICS,UP Priv-Min. Quota,"?38,95,000*","?40,800",0,?0,540,,,
,Uttar Pradesh,"GSVM Med Coll, Kanpur",PATHOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",2083,,,
,Uttar Pradesh,"S N Med Coll, Agra",PATHOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",976,,,
,Uttar Pradesh,"KGMU, Lucknow",PATHOLOGY,UP-Govt Quota,"?54,700*","?1,09,955",2*,"?40,00,000*",4500,,,
,Uttar Pradesh,"SGPGI, Lucknow",PATHOLOGY,UP-Govt Quota,"?61,600*","?1,11,780",2*,"?40,00,000*",1609,,,
,Uttar Pradesh,"MLN Med Coll, Allahabad",PATHOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"MLB Med Coll, Jhansi",PATHOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",700,,,
,Uttar Pradesh,"Shaik-ul-Hind, Saharanpur",PATHOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",500,,,
,Uttar Pradesh,"LLRM Med Coll, Meerut",PATHOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1090,,,
,Uttar Pradesh,"BRD Med Coll, Gorakhpur",PATHOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1050,,,
,Uttar Pradesh,"Rajkiya Med Coll, Jalaun",PATHOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"UP Univ of Med Sci, Etawah",PATHOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",1268,,,
,Uttar Pradesh,"Dr RML IMS, Lucknow",PATHOLOGY,UP-Govt Quota,"?37,500*","?1,08,672",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"Auton. State Med Coll, Ayodhya",PATHOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",Info Not Available,,,
,Uttar Pradesh,"Govt Med Coll, Rampur, Basti",PATHOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",500,,,
,Uttar Pradesh,"Govt Med Coll, Firozobad",PATHOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",517,,,
,Uttar Pradesh,"Govt IMS, Kasna",PATHOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",500,,,
,Uttar Pradesh,"Govt Med Coll, Shahjhanpur",PATHOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",460,,,
,Uttar Pradesh,"Govt Med Coll, Kannauj",PATHOLOGY,UP-Govt Quota,"?40,000","?1,00,980*",2*,"?40,00,000*",470,,,
,Uttar Pradesh,"Saraswati IMS, Hapur",PATHOLOGY,UP Priv-Open Quota,"?10,88,846*","?25,000*",0,?0,851,,,
,Uttar Pradesh,"SMSR, Greater Noida",PATHOLOGY,UP Priv-Open Quota,"?13,68,025*","?32,000",0,?0,1200,,,
,Uttar Pradesh,"Rama Med Coll, Kanpur",PATHOLOGY,UP Priv-Open Quota,"?14,32,270*","?30,000",0,?0,730,,,
,Uttar Pradesh,Muzaffarnagar Medical College,PATHOLOGY,UP Priv-Open Quota,"?12,50,889*","?56,100*",1*,?0*,857,,,
,Uttar Pradesh,"Varun Arjun, Shahjahanpur",PATHOLOGY,UP Priv-Open Quota,"?12,02,199*",?0,0,?0,770,,,
