Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
3,DNB Post MBBS,GEN,Gujarat,"Shrimad Rajchandra, Bilpudi",DNBGENERAL SURGERY,0+2(VV),"₹1,25,000","₹84,000*",0,₹0,250,15104(2),18239(2),18239(2),-,-,15545(2),15718(2),15718(2),-,-
1,DU,SC,Delhi,"MAMC, Delhi",ORTHOPAEDICS,1,"₹57,600*","₹1,26,927*",0*,₹0*,2800,18500(1),18500(1),18500(1),-,-,15723(1),15723(1),15723(1),-,-
2,DU,SC,Delhi,"MAMC, Delhi",ORTHOPAEDICS,0+1(VV),"₹57,600*","₹1,26,927*",0*,₹0*,2800,18500(1),18500(1),18500(1),-,-,15723(1),15723(1),15723(1),-,-
3,DU,SC,Delhi,"MAMC, Delhi",ORTHOPAEDICS,0+1(VV),"₹57,600*","₹1,26,927*",0*,₹0*,2800,18500(1),18500(1),18500(1),-,-,15723(1),15723(1),15723(1),-,-
1,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",PMR,1,"₹41,000*","₹1,20,965*",0*,₹0*,1626,-,-,-,-,-,11643(1),15725(1),15725(1),-,-
2,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",PMR,1,"₹41,000*","₹1,20,965*",0*,₹0*,1626,-,-,-,-,-,11643(1),15725(1),15725(1),-,-
3,AIQ,GEN,Delhi,"ABVIMS (Dr RML Hosp), Delhi",PMR,0+1(VV),"₹41,000*","₹1,20,965*",0*,₹0*,1626,-,-,-,-,-,11643(1),15725(1),15725(1),-,-
1,AIQ,OBC,Tamil Nadu,"Madurai Med Coll, Madurai",ANAESTHESIOLOGY,2,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,9136(3),10441(3),11179(4),-,-,12051(2),13949(2),15732(3),-,-
2,AIQ,OBC,Tamil Nadu,"Madurai Med Coll, Madurai",ANAESTHESIOLOGY,1+1(VV),"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,9136(3),10441(3),11179(4),-,-,12051(2),13949(2),15732(3),-,-
3,AIQ,OBC,Tamil Nadu,"Madurai Med Coll, Madurai",ANAESTHESIOLOGY,0+2(VV),"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,9136(3),10441(3),11179(4),-,-,12051(2),13949(2),15732(3),-,-
1,AIQ,OBC,West Bengal,Calcutta National Med Coll,GENERAL SURGERY,2,"₹12,000*","₹49,884",3*,"₹30,00,000*",1470,12705(2),12719(2),14014(2),-,-,12125(2),12420(2),15734(2),-,-
2,AIQ,OBC,West Bengal,Calcutta National Med Coll,GENERAL SURGERY,0+2(VV),"₹12,000*","₹49,884",3*,"₹30,00,000*",1470,12705(2),12719(2),14014(2),-,-,12125(2),12420(2),15734(2),-,-
3,AIQ,OBC,West Bengal,Calcutta National Med Coll,GENERAL SURGERY,0+2(VV),"₹12,000*","₹49,884",3*,"₹30,00,000*",1470,12705(2),12719(2),14014(2),-,-,12125(2),12420(2),15734(2),-,-
1,AIQ,GEN,Jammu and Kashmir,"Gove Med Coll, Jammu",ENT,3,"₹25,000*","₹59,500",0*,₹0*,1700,15373(4),18419(4),18880(5),-,-,10234(3),12166(3),15737(3),-,-
2,AIQ,GEN,Jammu and Kashmir,"Gove Med Coll, Jammu",ENT,1+2(VV),"₹25,000*","₹59,500",0*,₹0*,1700,15373(4),18419(4),18880(5),-,-,10234(3),12166(3),15737(3),-,-
3,AIQ,GEN,Jammu and Kashmir,"Gove Med Coll, Jammu",ENT,0+3(VV),"₹25,000*","₹59,500",0*,₹0*,1700,15373(4),18419(4),18880(5),-,-,10234(3),12166(3),15737(3),-,-
1,AIQ,OBC,Tamil Nadu,"Madras Med Coll, Chennai",ENT,4,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,10312(4),12405(4),16626(4),-,-,12210(4),13327(4),15738(4),-,-
2,AIQ,OBC,Tamil Nadu,"Madras Med Coll, Chennai",ENT,1+3(VV),"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,10312(4),12405(4),16626(4),-,-,12210(4),13327(4),15738(4),-,-
3,AIQ,OBC,Tamil Nadu,"Madras Med Coll, Chennai",ENT,1+3(VV),"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,10312(4),12405(4),16626(4),-,-,12210(4),13327(4),15738(4),-,-
1,AIQ,OBC,Andhra Pradesh,"Andhra Med Coll, Vizag",ENT,2,"₹48,600*","₹60,823",0*,₹0*,1030,13661(2),14029(2),15424(2),-,-,14727(2),16715(2),15739(2),26988(1),-
2,AIQ,OBC,Andhra Pradesh,"Andhra Med Coll, Vizag",ENT,2,"₹48,600*","₹60,823",0*,₹0*,1030,13661(2),14029(2),15424(2),-,-,14727(2),16715(2),15739(2),26988(1),-
3,AIQ,OBC,Andhra Pradesh,"Andhra Med Coll, Vizag",ENT,1+1(VV),"₹48,600*","₹60,823",0*,₹0*,1030,13661(2),14029(2),15424(2),-,-,14727(2),16715(2),15739(2),26988(1),-
4,AIQ,OBC,Andhra Pradesh,"Andhra Med Coll, Vizag",ENT,1,"₹48,600*","₹60,823",0*,₹0*,1030,13661(2),14029(2),15424(2),-,-,14727(2),16715(2),15739(2),26988(1),-
1,AIQ,SC,Rajasthan,"RNT, Udaipur",OPHTHALMOLOGY,1,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2206,26158(1),33766(1),37430(1),-,-,15095(1),15742(1),15742(1),-,-
2,AIQ,SC,Rajasthan,"RNT, Udaipur",OPHTHALMOLOGY,1,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2206,26158(1),33766(1),37430(1),-,-,15095(1),15742(1),15742(1),-,-
3,AIQ,SC,Rajasthan,"RNT, Udaipur",OPHTHALMOLOGY,0+1(VV),"₹12,812*","₹82,800*",2*,"₹25,00,000*",2206,26158(1),33766(1),37430(1),-,-,15095(1),15742(1),15742(1),-,-
1,DNB Post MBBS,GEN,Assam,"Apollo Excelcare Hosp, Guwahati",DNBPAEDIATRICS,1,"₹1,25,000","₹51,000*",0,₹0,178,-,15569(1),15569(1),-,-,12623(1),14998(1),15744(1),-,-
2,DNB Post MBBS,GEN,Assam,"Apollo Excelcare Hosp, Guwahati",DNBPAEDIATRICS,0+1(VV),"₹1,25,000","₹51,000*",0,₹0,178,-,15569(1),15569(1),-,-,12623(1),14998(1),15744(1),-,-
3,DNB Post MBBS,GEN,Assam,"Apollo Excelcare Hosp, Guwahati",DNBPAEDIATRICS,0+1(VV),"₹1,25,000","₹51,000*",0,₹0,178,-,15569(1),15569(1),-,-,12623(1),14998(1),15744(1),-,-
1,DNB Post MBBS,GEN,Maharashtra,"Jehangir Hospital, Pune",DNBGENERAL SURGERY,3,"₹1,25,000","₹86,000",0,₹0,335,15380(3),15587(3),15587(3),-,-,15050(3),14582(3),15747(3),-,-
2,DNB Post MBBS,GEN,Maharashtra,"Jehangir Hospital, Pune",DNBGENERAL SURGERY,2+1(VV),"₹1,25,000","₹86,000",0,₹0,335,15380(3),15587(3),15587(3),-,-,15050(3),14582(3),15747(3),-,-
3,DNB Post MBBS,GEN,Maharashtra,"Jehangir Hospital, Pune",DNBGENERAL SURGERY,2+1(VV),"₹1,25,000","₹86,000",0,₹0,335,15380(3),15587(3),15587(3),-,-,15050(3),14582(3),15747(3),-,-
1,AIQ,GEN,Bihar,"IGIMS, Patna",ANAESTHESIOLOGY,3,"₹1,60,000*","₹1,05,000*",0,₹0,1062,12436(5),15721(5),17212(5),-,-,12462(3),13447(3),15748(3),-,-
2,AIQ,GEN,Bihar,"IGIMS, Patna",ANAESTHESIOLOGY,3,"₹1,60,000*","₹1,05,000*",0,₹0,1062,12436(5),15721(5),17212(5),-,-,12462(3),13447(3),15748(3),-,-
3,AIQ,GEN,Bihar,"IGIMS, Patna",ANAESTHESIOLOGY,2+1(VV),"₹1,60,000*","₹1,05,000*",0,₹0,1062,12436(5),15721(5),17212(5),-,-,12462(3),13447(3),15748(3),-,-
1,AIQ,SC,Maharashtra,"Seth GS, Mumbai",OPHTHALMOLOGY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",2250,-,-,-,-,-,12382(1),15749(1),15749(1),-,-
2,AIQ,SC,Maharashtra,"Seth GS, Mumbai",OPHTHALMOLOGY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",2250,-,-,-,-,-,12382(1),15749(1),15749(1),-,-
3,AIQ,SC,Maharashtra,"Seth GS, Mumbai",OPHTHALMOLOGY,0+1(VV),"₹1,43,300*","₹92,522",1,"₹50,00,000",2250,-,-,-,-,-,12382(1),15749(1),15749(1),-,-
1,AIQ,OBC,Himachal Pradesh,"IGMC, Shimla",ORTHOPAEDICS,1,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,15324(1),15096(1),-,8247(1),13614(1),15760(1),-,-
2,AIQ,OBC,Himachal Pradesh,"IGMC, Shimla",ORTHOPAEDICS,1,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,15324(1),15096(1),-,8247(1),13614(1),15760(1),-,-
3,AIQ,OBC,Himachal Pradesh,"IGMC, Shimla",ORTHOPAEDICS,0+1(VV),"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,15324(1),15096(1),-,8247(1),13614(1),15760(1),-,-
1,AIQ,SC,Tamil Nadu,"Stanley Med Coll, Chennai",PAEDIATRICS,1,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,10624(1),10624(1),10624(1),-,-,10676(1),15762(1),15762(1),-,-
2,AIQ,SC,Tamil Nadu,"Stanley Med Coll, Chennai",PAEDIATRICS,1,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,10624(1),10624(1),10624(1),-,-,10676(1),15762(1),15762(1),-,-
3,AIQ,SC,Tamil Nadu,"Stanley Med Coll, Chennai",PAEDIATRICS,0+1(VV),"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,10624(1),10624(1),10624(1),-,-,10676(1),15762(1),15762(1),-,-
1,AIQ,OBC,Maharashtra,"BJMC, Pune",PSYCHIATRY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",1296,-,-,-,-,-,11505(1),15614(1),15766(1),-,-
2,AIQ,OBC,Maharashtra,"BJMC, Pune",PSYCHIATRY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",1296,-,-,-,-,-,11505(1),15614(1),15766(1),-,-
3,AIQ,OBC,Maharashtra,"BJMC, Pune",PSYCHIATRY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",1296,-,-,-,-,-,11505(1),15614(1),15766(1),-,-
1,DU,EWS,Delhi,"MAMC, Delhi",OBG,2,"₹57,600*","₹1,26,927*",0*,₹0*,2800,4179(1),4179(1),4179(1),-,-,15768(2),15768(2),15768(2),-,-
2,DU,EWS,Delhi,"MAMC, Delhi",OBG,0+2(VV),"₹57,600*","₹1,26,927*",0*,₹0*,2800,4179(1),4179(1),4179(1),-,-,15768(2),15768(2),15768(2),-,-
3,DU,EWS,Delhi,"MAMC, Delhi",OBG,0+2(VV),"₹57,600*","₹1,26,927*",0*,₹0*,2800,4179(1),4179(1),4179(1),-,-,15768(2),15768(2),15768(2),-,-
1,AIQ,EWS,Telangana,"Kakatiya Med Coll, Warangal",EMERGENCY MEDICINE,1,"₹25,000*","₹58,289",1,"₹20,00,000",1150,10775(1),12909(1),18566(1),-,-,16135(1),15769(1),15769(1),-,-
2,AIQ,EWS,Telangana,"Kakatiya Med Coll, Warangal",EMERGENCY MEDICINE,1,"₹25,000*","₹58,289",1,"₹20,00,000",1150,10775(1),12909(1),18566(1),-,-,16135(1),15769(1),15769(1),-,-
3,AIQ,EWS,Telangana,"Kakatiya Med Coll, Warangal",EMERGENCY MEDICINE,0+1(VV),"₹25,000*","₹58,289",1,"₹20,00,000",1150,10775(1),12909(1),18566(1),-,-,16135(1),15769(1),15769(1),-,-
1,AIQ,GEN,Assam,"Assam Med Coll, Dibrugarh",ENT,1,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,-,-,-,-,-,14825(1),15003(1),15770(1),-,-
2,AIQ,GEN,Assam,"Assam Med Coll, Dibrugarh",ENT,1,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,-,-,-,-,-,14825(1),15003(1),15770(1),-,-
3,AIQ,GEN,Assam,"Assam Med Coll, Dibrugarh",ENT,1,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,-,-,-,-,-,14825(1),15003(1),15770(1),-,-
1,DNB Post MBBS,OBC,Chhattisgarh,"JLN Main Hosp & RC, Bhilai",DNBOBG,1,"₹1,25,000","₹67,500",0,₹0,860,13126(1),14243(1),14243(1),-,-,12558(1),12640(1),15772(1),-,-
2,DNB Post MBBS,OBC,Chhattisgarh,"JLN Main Hosp & RC, Bhilai",DNBOBG,1,"₹1,25,000","₹67,500",0,₹0,860,13126(1),14243(1),14243(1),-,-,12558(1),12640(1),15772(1),-,-
3,DNB Post MBBS,OBC,Chhattisgarh,"JLN Main Hosp & RC, Bhilai",DNBOBG,1,"₹1,25,000","₹67,500",0,₹0,860,13126(1),14243(1),14243(1),-,-,12558(1),12640(1),15772(1),-,-
1,AIQ,OBC,Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL SURGERY,1,"₹1,500","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,-,14236(1),15344(1),15773(1),-,-
2,AIQ,OBC,Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL SURGERY,1,"₹1,500","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,-,14236(1),15344(1),15773(1),-,-
3,AIQ,OBC,Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL SURGERY,1,"₹1,500","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,-,14236(1),15344(1),15773(1),-,-
1,DNB Post MBBS,GEN,Telangana,"AIG Hospital, Hyderabad",DNBNEUROSURGERY 6 YRS,2,"₹1,25,000","₹58,289",0,₹0,720,-,-,-,-,-,14280(2),15775(2),15775(2),-,-
2,DNB Post MBBS,GEN,Telangana,"AIG Hospital, Hyderabad",DNBNEUROSURGERY 6 YRS,1+1(VV),"₹1,25,000","₹58,289",0,₹0,720,-,-,-,-,-,14280(2),15775(2),15775(2),-,-
3,DNB Post MBBS,GEN,Telangana,"AIG Hospital, Hyderabad",DNBNEUROSURGERY 6 YRS,0+1(VV),"₹1,25,000","₹58,289",0,₹0,720,-,-,-,-,-,14280(2),15775(2),15775(2),-,-
1,AIQ,SC,West Bengal,Burdwan Medical College,GENERAL MEDICINE,1,"₹12,000*","₹49,884",3*,"₹30,00,000*",1099,-,-,-,-,-,8836(1),12877(1),15776(1),-,-
2,AIQ,SC,West Bengal,Burdwan Medical College,GENERAL MEDICINE,1,"₹12,000*","₹49,884",3*,"₹30,00,000*",1099,-,-,-,-,-,8836(1),12877(1),15776(1),-,-
3,AIQ,SC,West Bengal,Burdwan Medical College,GENERAL MEDICINE,1,"₹12,000*","₹49,884",3*,"₹30,00,000*",1099,-,-,-,-,-,8836(1),12877(1),15776(1),-,-
1,AIQ,OBC,Maharashtra,"Govt Med Coll, Nagpur",PSYCHIATRY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",1866,14293(1),16420(1),16420(1),-,-,12540(1),15778(1),15778(1),-,-
2,AIQ,OBC,Maharashtra,"Govt Med Coll, Nagpur",PSYCHIATRY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",1866,14293(1),16420(1),16420(1),-,-,12540(1),15778(1),15778(1),-,-
3,AIQ,OBC,Maharashtra,"Govt Med Coll, Nagpur",PSYCHIATRY,0+1(VV),"₹1,43,300*","₹92,522",1,"₹50,00,000",1866,14293(1),16420(1),16420(1),-,-,12540(1),15778(1),15778(1),-,-
1,AIQ,OBC,Jammu and Kashmir,"Govt Med Coll, Srinagar",GENERAL SURGERY,3,"₹35,750*","₹59,500",0*,₹0*,2150,12364(2),13053(2),13053(2),-,-,15006(3),15125(3),15779(3),-,-
2,AIQ,OBC,Jammu and Kashmir,"Govt Med Coll, Srinagar",GENERAL SURGERY,2+1(VV),"₹35,750*","₹59,500",0*,₹0*,2150,12364(2),13053(2),13053(2),-,-,15006(3),15125(3),15779(3),-,-
3,AIQ,OBC,Jammu and Kashmir,"Govt Med Coll, Srinagar",GENERAL SURGERY,1+2(VV),"₹35,750*","₹59,500",0*,₹0*,2150,12364(2),13053(2),13053(2),-,-,15006(3),15125(3),15779(3),-,-
1,AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",ANAESTHESIOLOGY,7,"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,11771(7),13092(7),15888(7),-,-,10367(7),12404(7),15781(7),20323(1),-
2,AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",ANAESTHESIOLOGY,5+2(VV),"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,11771(7),13092(7),15888(7),-,-,10367(7),12404(7),15781(7),20323(1),-
3,AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",ANAESTHESIOLOGY,6+1(VV),"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,11771(7),13092(7),15888(7),-,-,10367(7),12404(7),15781(7),20323(1),-
4,AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",ANAESTHESIOLOGY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,11771(7),13092(7),15888(7),-,-,10367(7),12404(7),15781(7),20323(1),-
1,NBE Diploma,GEN,Maharashtra,"Dr RN Cooper Gen Hosp, Mumbai",DGO(NBEMS),1,"₹1,25,000","₹75,144*",Info Not Available,Info not available,940,15879(3),17314(3),17893(3),-,-,8549(1),13170(1),15787(1),-,-
2,NBE Diploma,GEN,Maharashtra,"Dr RN Cooper Gen Hosp, Mumbai",DGO(NBEMS),1,"₹1,25,000","₹75,144*",Info Not Available,Info not available,940,15879(3),17314(3),17893(3),-,-,8549(1),13170(1),15787(1),-,-
3,NBE Diploma,GEN,Maharashtra,"Dr RN Cooper Gen Hosp, Mumbai",DGO(NBEMS),1,"₹1,25,000","₹75,144*",Info Not Available,Info not available,940,15879(3),17314(3),17893(3),-,-,8549(1),13170(1),15787(1),-,-
2,DNB Post MBBS,OBC,Chhattisgarh,"AtalBihariVajpayee, Rajnandgaon",DNBPAEDIATRICS,1,"₹1,25,000","₹67,500*",0,₹0,-,-,-,-,-,-,-,13247(1),15789(1),-,-
3,DNB Post MBBS,OBC,Chhattisgarh,"AtalBihariVajpayee, Rajnandgaon",DNBPAEDIATRICS,0+1(VV),"₹1,25,000","₹67,500*",0,₹0,-,-,-,-,-,-,-,13247(1),15789(1),-,-
1,AIQ,OBC,Chhattisgarh,"Pt JNM Med Coll, Raipur",GENERAL SURGERY,2,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,12655(2),14312(2),15156(2),-,-,12529(2),14345(2),15792(2),18579(1),-
2,AIQ,OBC,Chhattisgarh,"Pt JNM Med Coll, Raipur",GENERAL SURGERY,2,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,12655(2),14312(2),15156(2),-,-,12529(2),14345(2),15792(2),18579(1),-
3,AIQ,OBC,Chhattisgarh,"Pt JNM Med Coll, Raipur",GENERAL SURGERY,1+1(VV),"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,12655(2),14312(2),15156(2),-,-,12529(2),14345(2),15792(2),18579(1),-
4,AIQ,OBC,Chhattisgarh,"Pt JNM Med Coll, Raipur",GENERAL SURGERY,1,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,12655(2),14312(2),15156(2),-,-,12529(2),14345(2),15792(2),18579(1),-
1,AIQ,OBC,Gujarat,"PDU Med Coll, Rajkot",PSYCHIATRY,1,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",750,8948(1),8948(1),7194(1),-,-,10211(1),15795(1),15795(1),-,-
2,AIQ,OBC,Gujarat,"PDU Med Coll, Rajkot",PSYCHIATRY,1,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",750,8948(1),8948(1),7194(1),-,-,10211(1),15795(1),15795(1),-,-
3,AIQ,OBC,Gujarat,"PDU Med Coll, Rajkot",PSYCHIATRY,0+1(VV),"₹30,000*","₹1,00,800",1*,"₹40,00,000*",750,8948(1),8948(1),7194(1),-,-,10211(1),15795(1),15795(1),-,-
1,AIQ,OBC,Uttar Pradesh,"KGMU, Lucknow",TRAUMATOLOGY AND SURGERY,1,"₹54,700*","₹1,09,955",2*,"₹40,00,000*",4500,-,-,-,-,-,10222(1),12226(1),15798(1),18361(1),-
2,AIQ,OBC,Uttar Pradesh,"KGMU, Lucknow",TRAUMATOLOGY AND SURGERY,1,"₹54,700*","₹1,09,955",2*,"₹40,00,000*",4500,-,-,-,-,-,10222(1),12226(1),15798(1),18361(1),-
3,AIQ,OBC,Uttar Pradesh,"KGMU, Lucknow",TRAUMATOLOGY AND SURGERY,0+1(VV),"₹54,700*","₹1,09,955",2*,"₹40,00,000*",4500,-,-,-,-,-,10222(1),12226(1),15798(1),18361(1),-
4,AIQ,OBC,Uttar Pradesh,"KGMU, Lucknow",TRAUMATOLOGY AND SURGERY,1,"₹54,700*","₹1,09,955",2*,"₹40,00,000*",4500,-,-,-,-,-,10222(1),12226(1),15798(1),18361(1),-
1,AIQ,OBC,Andhra Pradesh,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,2,"₹48,600*","₹60,823",0*,₹0*,1030,12263(3),13780(3),15006(3),-,-,14499(2),15799(2),15799(2),-,-
2,AIQ,OBC,Andhra Pradesh,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,0+2(VV),"₹48,600*","₹60,823",0*,₹0*,1030,12263(3),13780(3),15006(3),-,-,14499(2),15799(2),15799(2),-,-
3,AIQ,OBC,Andhra Pradesh,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,0+2(VV),"₹48,600*","₹60,823",0*,₹0*,1030,12263(3),13780(3),15006(3),-,-,14499(2),15799(2),15799(2),-,-
1,AIQ,EWS,Karnataka,"Belagavi IMS, Belagavi",ORTHOPAEDICS,1,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1000,-,-,-,-,-,15193(1),15807(1),15807(1),-,-
2,AIQ,EWS,Karnataka,"Belagavi IMS, Belagavi",ORTHOPAEDICS,1,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1000,-,-,-,-,-,15193(1),15807(1),15807(1),-,-
3,AIQ,EWS,Karnataka,"Belagavi IMS, Belagavi",ORTHOPAEDICS,0+1(VV),"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1000,-,-,-,-,-,15193(1),15807(1),15807(1),-,-
1,DNB Post MBBS,GEN,West Bengal,"Coochbehar Govt Med Coll, WB",DNBGENERAL SURGERY,1,"₹1,25,000","₹49,884",0,₹0,400,15359(1),16542(1),17780(1),-,-,15350(1),15336(1),15810(1),-,-
2,DNB Post MBBS,GEN,West Bengal,"Coochbehar Govt Med Coll, WB",DNBGENERAL SURGERY,0+1(VV),"₹1,25,000","₹49,884",0,₹0,400,15359(1),16542(1),17780(1),-,-,15350(1),15336(1),15810(1),-,-
3,DNB Post MBBS,GEN,West Bengal,"Coochbehar Govt Med Coll, WB",DNBGENERAL SURGERY,1,"₹1,25,000","₹49,884",0,₹0,400,15359(1),16542(1),17780(1),-,-,15350(1),15336(1),15810(1),-,-
1,AIQ,GEN,West Bengal,"RG Kar Med Coll, Kolkata",OPHTHALMOLOGY,3,"₹12,000*","₹49,884",3*,"₹30,00,000*",1663,9312(2),13902(2),15160(2),17805(1),22490(1),12290(3),14283(3),15813(3),-,-
2,AIQ,GEN,West Bengal,"RG Kar Med Coll, Kolkata",OPHTHALMOLOGY,2+1(VV),"₹12,000*","₹49,884",3*,"₹30,00,000*",1663,9312(2),13902(2),15160(2),17805(1),22490(1),12290(3),14283(3),15813(3),-,-
3,AIQ,GEN,West Bengal,"RG Kar Med Coll, Kolkata",OPHTHALMOLOGY,0+3(VV),"₹12,000*","₹49,884",3*,"₹30,00,000*",1663,9312(2),13902(2),15160(2),17805(1),22490(1),12290(3),14283(3),15813(3),-,-
1,AIQ,GEN,Uttar Pradesh,"Govt Allopathic Med Coll,Banda",ENT,1,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",430,-,-,-,-,-,13496(1),12408(1),15814(1),-,-
2,AIQ,GEN,Uttar Pradesh,"Govt Allopathic Med Coll,Banda",ENT,1,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",430,-,-,-,-,-,13496(1),12408(1),15814(1),-,-
3,AIQ,GEN,Uttar Pradesh,"Govt Allopathic Med Coll,Banda",ENT,1,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",430,-,-,-,-,-,13496(1),12408(1),15814(1),-,-
1,AIQ,GEN,Bihar,"Jawaharlal Nehru, Bhagalpur",PSYCHIATRY,2,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,-,-,-,-,-,11521(2),13728(2),15817(2),-,-
2,AIQ,GEN,Bihar,"Jawaharlal Nehru, Bhagalpur",PSYCHIATRY,2,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,-,-,-,-,-,11521(2),13728(2),15817(2),-,-
3,AIQ,GEN,Bihar,"Jawaharlal Nehru, Bhagalpur",PSYCHIATRY,2,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,-,-,-,-,-,11521(2),13728(2),15817(2),-,-
1,DNB Post MBBS,GEN,Pondicherry,"IG GovtGenHosp&PGI,Pondicherry",DNBGENERAL SURGERY,2,"₹1,25,000","₹43,000",0,₹0,626,10499(1),13952(1),13952(1),-,-,13199(2),14190(2),15825(2),-,-
2,DNB Post MBBS,GEN,Pondicherry,"IG GovtGenHosp&PGI,Pondicherry",DNBGENERAL SURGERY,1+1(VV),"₹1,25,000","₹43,000",0,₹0,626,10499(1),13952(1),13952(1),-,-,13199(2),14190(2),15825(2),-,-
3,DNB Post MBBS,GEN,Pondicherry,"IG GovtGenHosp&PGI,Pondicherry",DNBGENERAL SURGERY,0+2(VV),"₹1,25,000","₹43,000",0,₹0,626,10499(1),13952(1),13952(1),-,-,13199(2),14190(2),15825(2),-,-
1,AIQ,ST,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,1,"₹48,600*","₹60,823",0*,₹0*,1030,5111(1),20918(1),20918(1),-,-,15829(1),15829(1),15829(1),-,-
2,AIQ,ST,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,0+1(VV),"₹48,600*","₹60,823",0*,₹0*,1030,5111(1),20918(1),20918(1),-,-,15829(1),15829(1),15829(1),-,-
3,AIQ,ST,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,0+1(VV),"₹48,600*","₹60,823",0*,₹0*,1030,5111(1),20918(1),20918(1),-,-,15829(1),15829(1),15829(1),-,-
1,AIQ,SC,Maharashtra,"Topiwala, Mumbai",OBG,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",1300,17472(1),21648(1),21648(1),-,-,14650(1),14650(1),15835(1),-,-
2,AIQ,SC,Maharashtra,"Topiwala, Mumbai",OBG,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",1300,17472(1),21648(1),21648(1),-,-,14650(1),14650(1),15835(1),-,-
3,AIQ,SC,Maharashtra,"Topiwala, Mumbai",OBG,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",1300,17472(1),21648(1),21648(1),-,-,14650(1),14650(1),15835(1),-,-
