Round,Quota,Category,State,Institute,Course,Seats,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
3,AIQ,OBC,West Bengal,Burdwan Medical College,BIOCHEMISTRY,1,"₹12,000*","₹49,884",3*,"₹30,00,000*",1099,102361(1),-,137632(1),150458(1),-,40979(1),115173(1),107479(1),162046(1),168571(1)
4,AIQ,OBC,West Bengal,Burdwan Medical College,BIOCHEMISTRY,1,"₹12,000*","₹49,884",3*,"₹30,00,000*",1099,102361(1),-,137632(1),150458(1),-,40979(1),115173(1),107479(1),162046(1),168571(1)
5,AIQ,OBC,West Bengal,Burdwan Medical College,BIOCHEMISTRY,1,"₹12,000*","₹49,884",3*,"₹30,00,000*",1099,102361(1),-,137632(1),150458(1),-,40979(1),115173(1),107479(1),162046(1),168571(1)
1,AIQ,SC,Karnataka,"Belagavi IMS, Belagavi",FORENSIC MEDICINE,1,"₹69,150*","₹56,250",3*,"₹50,00,000*",1000,-,-,-,-,-,61634(1),100856(1),107517(1),115030(1),171464(1)
2,AIQ,SC,Karnataka,"Belagavi IMS, Belagavi",FORENSIC MEDICINE,1,"₹69,150*","₹56,250",3*,"₹50,00,000*",1000,-,-,-,-,-,61634(1),100856(1),107517(1),115030(1),171464(1)
3,AIQ,SC,Karnataka,"Belagavi IMS, Belagavi",FORENSIC MEDICINE,1,"₹69,150*","₹56,250",3*,"₹50,00,000*",1000,-,-,-,-,-,61634(1),100856(1),107517(1),115030(1),171464(1)
4,AIQ,SC,Karnataka,"Belagavi IMS, Belagavi",FORENSIC MEDICINE,1,"₹69,150*","₹56,250",3*,"₹50,00,000*",1000,-,-,-,-,-,61634(1),100856(1),107517(1),115030(1),171464(1)
5,AIQ,SC,Karnataka,"Belagavi IMS, Belagavi",FORENSIC MEDICINE,1,"₹69,150*","₹56,250",3*,"₹50,00,000*",1000,-,-,-,-,-,61634(1),100856(1),107517(1),115030(1),171464(1)
1,AIQ,ST,Karnataka,"Raichur IMS, Raichur",PATHOLOGY,1,"₹69,150*","₹56,250",3*,"₹50,00,000*",500,-,-,-,-,-,88109(1),107523(1),107523(1),-,-
2,AIQ,ST,Karnataka,"Raichur IMS, Raichur",PATHOLOGY,0+1(VV),"₹69,150*","₹56,250",3*,"₹50,00,000*",500,-,-,-,-,-,88109(1),107523(1),107523(1),-,-
1,AIQ,ST,Bihar,"Darbhanga, Lehriasarai",DA,1,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,-,-,-,-,-,111522(1),102274(1),107555(1),112167(1),161043(1)
2,AIQ,ST,Bihar,"Darbhanga, Lehriasarai",DA,1,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,-,-,-,-,-,111522(1),102274(1),107555(1),112167(1),161043(1)
3,AIQ,ST,Bihar,"Darbhanga, Lehriasarai",DA,1,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,-,-,-,-,-,111522(1),102274(1),107555(1),112167(1),161043(1)
4,AIQ,ST,Bihar,"Darbhanga, Lehriasarai",DA,1,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,-,-,-,-,-,111522(1),102274(1),107555(1),112167(1),161043(1)
5,AIQ,ST,Bihar,"Darbhanga, Lehriasarai",DA,1,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,-,-,-,-,-,111522(1),102274(1),107555(1),112167(1),161043(1)
1,NRI,GEN,Andhra Pradesh,"GITAM IMS, Vizag",GENERAL MEDICINE,2,"₹1,33,60,000*","₹44,075",0,₹0,780,-,93070(1),104475(2),-,-,107564(2),107564(2),107564(2),-,-
1,AIQ,GEN,West Bengal,"NBMC, Darjeeling",MICROBIOLOGY,2,"₹12,000*","₹49,884",3*,"₹30,00,000*",843,-,-,73500(1),-,-,56359(2),62514(2),107587(2),-,-
2,AIQ,GEN,West Bengal,"NBMC, Darjeeling",MICROBIOLOGY,2,"₹12,000*","₹49,884",3*,"₹30,00,000*",843,-,-,73500(1),-,-,56359(2),62514(2),107587(2),-,-
3,AIQ,GEN,West Bengal,"NBMC, Darjeeling",MICROBIOLOGY,0+2(VV),"₹12,000*","₹49,884",3*,"₹30,00,000*",843,-,-,73500(1),-,-,56359(2),62514(2),107587(2),-,-
1,AIQ,GEN,Karnataka,Kodagu Inst of Med Sciences,BIOCHEMISTRY,1,"₹41,650*","₹56,250",3*,"₹50,00,000*",600,-,-,137836(2),136862(2),175442(1),75070(1),105026(1),107606(2),-,-
2,AIQ,GEN,Karnataka,Kodagu Inst of Med Sciences,BIOCHEMISTRY,1,"₹41,650*","₹56,250",3*,"₹50,00,000*",600,-,-,137836(2),136862(2),175442(1),75070(1),105026(1),107606(2),-,-
3,AIQ,GEN,Karnataka,Kodagu Inst of Med Sciences,BIOCHEMISTRY,0+1(VV),"₹41,650*","₹56,250",3*,"₹50,00,000*",600,-,-,137836(2),136862(2),175442(1),75070(1),105026(1),107606(2),-,-
1,AIQ,OBC,Rajasthan,"Govt Med Coll, Bhilwara",BIOCHEMISTRY,1,"₹12,812*","₹82,800*",2*,"₹25,00,000*",Info Not Available,-,-,-,-,-,83191(1),40979(1),107656(1),-,-
2,AIQ,OBC,Rajasthan,"Govt Med Coll, Bhilwara",BIOCHEMISTRY,1,"₹12,812*","₹82,800*",2*,"₹25,00,000*",Info Not Available,-,-,-,-,-,83191(1),40979(1),107656(1),-,-
3,AIQ,OBC,Rajasthan,"Govt Med Coll, Bhilwara",BIOCHEMISTRY,1,"₹12,812*","₹82,800*",2*,"₹25,00,000*",Info Not Available,-,-,-,-,-,83191(1),40979(1),107656(1),-,-
1,AIQ,OBC,Maharashtra,"Govt Med Coll, Jalgaon",MICROBIOLOGY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",441,-,-,-,-,-,77340(1),82614(1),107739(1),101159(1),-
2,AIQ,OBC,Maharashtra,"Govt Med Coll, Jalgaon",MICROBIOLOGY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",441,-,-,-,-,-,77340(1),82614(1),107739(1),101159(1),-
3,AIQ,OBC,Maharashtra,"Govt Med Coll, Jalgaon",MICROBIOLOGY,0+1(VV),"₹1,43,300*","₹92,522",1,"₹50,00,000",441,-,-,-,-,-,77340(1),82614(1),107739(1),101159(1),-
4,AIQ,OBC,Maharashtra,"Govt Med Coll, Jalgaon",MICROBIOLOGY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",441,-,-,-,-,-,77340(1),82614(1),107739(1),101159(1),-
1,AIQ,ST,Tamil Nadu,Chengalpattu Med Coll,SPM,1,"₹50,000*","₹52,451*",2*,"₹40,00,000*",700,-,-,-,-,-,91224(1),115145(1),107748(1),156134(1),-
2,AIQ,ST,Tamil Nadu,Chengalpattu Med Coll,SPM,1,"₹50,000*","₹52,451*",2*,"₹40,00,000*",700,-,-,-,-,-,91224(1),115145(1),107748(1),156134(1),-
3,AIQ,ST,Tamil Nadu,Chengalpattu Med Coll,SPM,1,"₹50,000*","₹52,451*",2*,"₹40,00,000*",700,-,-,-,-,-,91224(1),115145(1),107748(1),156134(1),-
4,AIQ,ST,Tamil Nadu,Chengalpattu Med Coll,SPM,1,"₹50,000*","₹52,451*",2*,"₹40,00,000*",700,-,-,-,-,-,91224(1),115145(1),107748(1),156134(1),-
5,AIQ,ST,Tamil Nadu,Chengalpattu Med Coll,SPM,1,"₹50,000*","₹52,451*",2*,"₹40,00,000*",700,-,-,-,-,-,91224(1),115145(1),107748(1),156134(1),-
1,AIQ,ST,Kerala,"TD Med Coll, Allepey",PATHOLOGY,1,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,-,-,-,-,-,81668(1),102668(1),107773(1),-,-
2,AIQ,ST,Kerala,"TD Med Coll, Allepey",PATHOLOGY,1,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,-,-,-,-,-,81668(1),102668(1),107773(1),-,-
3,AIQ,ST,Kerala,"TD Med Coll, Allepey",PATHOLOGY,1,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,-,-,-,-,-,81668(1),102668(1),107773(1),-,-
1,AIQ,SC,Maharashtra,"Govt Med Coll, Aurangabad",MICROBIOLOGY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",1177,97594(1),111453(1),117420(1),134648(1),148662(1),86859(1),94011(1),107784(1),-,-
2,AIQ,SC,Maharashtra,"Govt Med Coll, Aurangabad",MICROBIOLOGY,1,"₹1,43,300*","₹92,522",1,"₹50,00,000",1177,97594(1),111453(1),117420(1),134648(1),148662(1),86859(1),94011(1),107784(1),-,-
3,AIQ,SC,Maharashtra,"Govt Med Coll, Aurangabad",MICROBIOLOGY,0+1(VV),"₹1,43,300*","₹92,522",1,"₹50,00,000",1177,97594(1),111453(1),117420(1),134648(1),148662(1),86859(1),94011(1),107784(1),-,-
1,AIQ,EWS,Uttar Pradesh,"S N Med Coll, Agra",PHARMACOLOGY,1,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",976,-,-,-,-,-,68397(1),81666(1),107804(1),-,-
2,AIQ,EWS,Uttar Pradesh,"S N Med Coll, Agra",PHARMACOLOGY,1,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",976,-,-,-,-,-,68397(1),81666(1),107804(1),-,-
3,AIQ,EWS,Uttar Pradesh,"S N Med Coll, Agra",PHARMACOLOGY,0+1(VV),"₹40,000","₹1,00,980*",2*,"₹40,00,000*",976,-,-,-,-,-,68397(1),81666(1),107804(1),-,-
1,AIQ,EWS,Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",SPM,1,"₹20,000*","₹67,500",2*,"₹50,00,000*",650,-,-,193328(1),169354(1),-,106293(1),107839(1),107839(1),-,-
2,AIQ,EWS,Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",SPM,1,"₹20,000*","₹67,500",2*,"₹50,00,000*",650,-,-,193328(1),169354(1),-,106293(1),107839(1),107839(1),-,-
3,AIQ,EWS,Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",SPM,0+1(VV),"₹20,000*","₹67,500",2*,"₹50,00,000*",650,-,-,193328(1),169354(1),-,106293(1),107839(1),107839(1),-,-
4,AIQ,GEN,Karnataka,"Shri Atal Bihari Vajpayee, BLR",ANATOMY,1,"₹41,650*","₹56,250",3*,"₹50,00,000*",956,-,-,-,-,-,-,-,107880(1),130577(1),-
1,AIQ,ST,Telangana,"Rajiv Gandhi IMS, Adilabad",PATHOLOGY,1,"₹25,000*","₹58,289",1,"₹20,00,000",Info Not Available,-,-,-,-,-,80129(1),98372(1),107906(1),-,-
2,AIQ,ST,Telangana,"Rajiv Gandhi IMS, Adilabad",PATHOLOGY,1,"₹25,000*","₹58,289",1,"₹20,00,000",Info Not Available,-,-,-,-,-,80129(1),98372(1),107906(1),-,-
3,AIQ,ST,Telangana,"Rajiv Gandhi IMS, Adilabad",PATHOLOGY,1,"₹25,000*","₹58,289",1,"₹20,00,000",Info Not Available,-,-,-,-,-,80129(1),98372(1),107906(1),-,-
1,MNG,GEN,Tamil Nadu,"Meenakshi Med Coll, Enathur",PHARMACOLOGY,1,"₹1,00,000*",Info not available*,0*,₹0*,1110,-,-,147580(1),-,-,107936(1),107936(1),107936(1),-,-
1,MNG,GEN,Uttar Pradesh,"Santosh Med Coll, Ghaziabad",PATHOLOGY,10,"₹10,00,000*","₹56,010",0,₹0,800,117792(4),100237(1),120487(10),111799(1),-,108135(10),113360(10),108135(10),-,-
2,MNG,GEN,Uttar Pradesh,"Santosh Med Coll, Ghaziabad",PATHOLOGY,5+2(VV),"₹10,00,000*","₹56,010",0,₹0,800,117792(4),100237(1),120487(10),111799(1),-,108135(10),113360(10),108135(10),-,-
