Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Beds,Bond Years,Bond Penalty,Stipend Year 1
3,677155,Haryana,"MMIMS, Mullana, Ambala",MBBS,DEEMED NRI,Open,3440000,940,0,0,12000
3,677202,Karnataka,"JN Medical College, Belgaum",MBBS,DEEMED NRI,Open,3913000,2400,Info Not Available,Info not available,15000
3,677228,Tamil Nadu,"Shri Satya Sai, Kancheepuram",MBBS,DEEMED PS,Open,2402000,1120,0,0,2500
3,677552,Maharashtra,"Grant Med Coll, Mumbai",MBBS,AI,OBC-PwD,158600,2844,1,1000000,18000
3,677629,Pondicherry,"SLIMS, Pondicherry",MBBS,DEEMED PS,Open,2600000,1230,0,0,Info not available
3,677639,Tamil Nadu,"Sree Balaji Med Coll, Chennai",MBBS,DEEMED PS,Open,3050000,1250,0,0,Info not available
3,677642,Haryana,"MM Coll Dental, Mullana,Ambala",BDS,DEEMED PS,Open,318300,350,0,0,3000
3,677648,Tamil Nadu,"Chettinad Hosp&RI,Kanchipuram",MBBS,DEEMED PS,Open,2700000,1180,0,0,18500
3,677690,Tamil Nadu,"JR Med Coll & Hosp, Avanampattu",MBBS,DEEMED PS,Open,2600000,605,0,0,Info not available
3,677708,Tamil Nadu,"ACS Med Coll, Chennai",MBBS,DEEMED PS,Open,2500000,1050,0,0,25000
3,677772,Tamil Nadu,"Thaimoogambigai Dental,Chennai",BDS,DEEMED PS,Open,450000,330,0,0,Info not available
3,677823,Haryana,"Manav Rachna Dental, Faridabad",BDS,DEEMED PS,Open,415000,Info Not Available,0,0,Info not available
3,677846,Karnataka,"Yenepoya Dental Coll, Yenepoya",BDS,MUSLIM MIN,Open,526000,Info Not Available,Info Not Available,Info not available,5500
3,677856,Tamil Nadu,"Sree Balaji DentalColl,Chennai",BDS,DEEMED PS,Open,500000,Info Not Available,0,0,Info not available
3,677924,Tamil Nadu,"Bhaarat Med Coll, Chennai",MBBS,DEEMED PS,Open,2750000,500,0,0,Info not available
3,677936,Assam,"Assam Med Coll, Dibrugarh",MBBS,AI,Open-PwD,6400,1365,5,3000000,36225
3,677959,Pondicherry,"Vinayaka Missions, Karaikal",MBBS,DEEMED PS,Open,2188000,590,0,0,20000
3,678151,Rajasthan,"Govt Med Coll, Baran",MBBS,AI,Open-PwD,96029,Info Not Available,2,1000000,20000
3,678214,Pondicherry,"Aarupadai Veedu, Pondicherry",MBBS,DEEMED PS,Open,2388000,584,0,0,5000
3,678264,Tamil Nadu,"SRM Med Coll, Kancheepuram",MBBS,DEEMED PS,Open,2800000,1590,0,0,13500
3,678293,Odisha,"Inst of Dental Sci,Bhubaneswar",BDS,DEEMED PS,Open,600000,Info Not Available,0,0,11000
3,678332,Telangana,"MallaReddy DentalColl Women,HYD",BDS,DEEMED PS,Open,375000,Info Not Available,0,0,Info not available
3,678365,Tamil Nadu,"Sathyabhama DentalColl,Chennai",BDS,DEEMED PS,Open,400000,100,0,0,Info not available
3,678424,Pondicherry,"SLIMS, Pondicherry",MBBS,DEEMED PS,Open,2600000,1230,0,0,Info not available
