Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds
1,66,Delhi,"MAMC, Delhi",GENERAL MEDICINE,AIQ,EWS,"57,600","1,26,927",0,0,2800
1,67,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,143300,92522,1,5000000,1462
1,68,Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,IP,GEN,"41,000","1,20,965",0,0,1550
1,69,Kerala,"Govt Med Coll, Kozhikode",GENERAL MEDICINE,AIQ,GEN,"69,470",57876,1,"50,00,000",3025
1,70,Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,71,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,DU,GEN,"57,600","1,26,927",0,0,2800
1,72,Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,73,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,OBC,"50,000","52,451",2,"40,00,000",7285
1,74,Karnataka,"Bangalore Med Coll, Bangalore",RADIO DIAGNOSIS,AIQ,GEN,124150,56250,3,"50,00,000",1993
1,75,Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,76,Delhi,"MAMC, Delhi",GENERAL SURGERY,AIQ,GEN,"57,600","1,26,927",0,0,2800
1,77,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,AIQ,OBC,"41,000","1,20,965",0,0,1626
1,78,Delhi,"MAMC, Delhi",GENERAL MEDICINE,DU,GEN,"57,600","1,26,927",0,0,2800
1,79,Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,AIQ,GEN,"57,600","1,26,927",0,0,1000
1,80,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,AIQ,GEN,143300,92522,1,5000000,1462
1,81,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,DU,GEN,"57,600","1,26,927",0,0,2800
1,82,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,143300,92522,1,5000000,2844
1,83,Delhi,"VMMC, Delhi",GENERAL MEDICINE,AIQ,GEN,"41,000","1,20,965",0,0,1550
1,84,Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,143300,92522,1,5000000,2844
1,85,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,AIQ,GEN,143300,92522,1,5000000,2250
1,86,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,AIQ,GEN,"72,000",111780,1,2000000,1498
1,87,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,DU,GEN,"57,600","1,26,927",0,0,2800
1,88,Karnataka,"Bangalore Med Coll, Bangalore",RADIO DIAGNOSIS,AIQ,GEN,124150,56250,3,"50,00,000",1993
1,89,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",RADIO DIAGNOSIS,AIQ,GEN,143300,92522,1,5000000,1462
1,90,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,AIQ,GEN,143300,92522,1,5000000,1462
1,91,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,AIQ,GEN,"57,600","1,26,927",0,0,877
1,92,Delhi,"MAMC, Delhi",GENERAL MEDICINE,DU,GEN,"57,600","1,26,927",0,0,2800
1,93,Delhi,"UCMS, Delhi",GENERAL MEDICINE,AIQ,GEN,"57,600","1,26,927",0,0,1000
1,94,Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,GEN,"50,000","52,451",2,"40,00,000",1661
1,95,Delhi,"VMMC, Delhi",OBG,AIQ,GEN,"41,000","1,20,965",0,0,1550
