Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
WB Govt Quota,EWS Open,West Bengal,Calcutta National Med Coll,GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",1470,-,-,-,-,-,-,294(1),278(1),235(1),-,-
WB Govt Quota,UR Open,West Bengal,"IPGMER, Kolkata",PAEDIATRICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,74(1),29(1),79(1),6(1),-,-,35(1),101(1),239(1),26(1),-
WB Govt Quota,OBC A Open,West Bengal,Burdwan Medical College,GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",1099,171(1),159(1),206(1),206(1),-,-,241(1),241(1),241(1),-,-
WB Govt Quota,OBC A Open,West Bengal,"RG Kar Med Coll, Kolkata",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",1663,-,-,-,-,-,-,301(1),285(1),241(1),-,-
WB Govt Quota,UR Open,West Bengal,"ESI, Joka, Kolkata",PAEDIATRICS,"₹2,50,000*","₹1,00,980*",2*,"₹10,00,000*",470,-,-,-,-,-,-,123(1),193(1),244(1),-,-
WB Govt Quota,UR Open,West Bengal,"KPC Med Coll, Jadavpur",GENERAL MEDICINE,"₹8,50,000*","₹43,758",0,₹0,750,-,-,-,-,-,-,147(2),191(2),246(2),-,-
WB Mgmt Quota,MQ,West Bengal,"KPC Med Coll, Jadavpur",RADIO DIAGNOSIS,"₹27,00,000*","₹43,758",0,₹0,750,399(2),830(2),830(2),830(2),-,-,89(1),254(1),254(1),-,-
WB Govt Quota,UR Open,West Bengal,Burdwan Medical College,ORTHOPAEDICS,"₹12,000*","₹49,884",3*,"₹30,00,000*",1099,179(1),184(1),226(1),226(1),-,-,198(1),260(1),259(1),-,-
WB Govt Quota,OBC A Open,West Bengal,"NBMC, Darjeeling",GENERAL MEDICINE,"₹12,000*","₹49,884",3*,"₹30,00,000*",843,-,-,-,-,-,-,319(1),303(1),260(1),-,-
WB Govt Quota,EWS Open,West Bengal,"Medical College, Kolkata",RADIO DIAGNOSIS,"₹12,000*","₹49,884",3*,"₹30,00,000*",2668,-,-,-,-,-,-,266(1),266(1),266(1),-,-
WB Govt Quota,SC Open,West Bengal,"IPGMER, Kolkata",RADIO DIAGNOSIS,"₹12,000*","₹49,884",3*,"₹30,00,000*",2300,-,-,-,-,-,-,16(1),266(1),266(1),-,-
WB Govt Quota,OBC A Open,West Bengal,"Nilratan Sircar, Kolkata",DERMATOLOGY,"₹12,000*","₹49,884",3*,"₹30,00,000*",1920,-,-,-,-,-,-,336(1),319(1),267(1),-,-
