Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
RAJ Govt - Govt Quota,GEN,Rajasthan,"SMS, Jaipur",OBG,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,273(11),279(9),276(8),-,-,-,281(7),281(5),259(3),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"SNMC, Jodhpur",PAEDIATRICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",3101,195(5),223(5),235(5),-,-,-,201(4),270(5),270(5),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"SP Med Coll, Bikaner",PAEDIATRICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",Info Not Available,186(1),187(1),187(1),-,-,-,256(2),272(3),272(3),-,-
RAJ Govt - Govt Quota,ST,Rajasthan,"JLNMC, Ajmer",RADIO DIAGNOSIS,"₹10,982*","₹82,800*",2*,"₹25,00,000*",1428,-,-,-,-,-,-,277(1),277(1),277(1),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"Govt Med Coll, Kota",PAEDIATRICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",2581,254(2),290(1),3734(2),-,-,-,221(1),283(2),283(2),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"SP Med Coll, Bikaner",PAEDIATRICS,"₹12,812*","₹82,800*",2*,"₹25,00,000*",Info Not Available,213(4),288(7),3427(7),-,-,-,258(7),285(5),285(5),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"SMS, Jaipur",ORTHOPAEDICS,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,258(6),258(3),261(4),-,-,-,301(8),294(9),294(9),-,-
RAJ Govt - Govt Quota,OBC,Rajasthan,"SMS, Jaipur",OPHTHALMOLOGY,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,383(5),386(5),430(5),-,-,-,342(3),297(2),297(2),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"SMS, Jaipur",TBRD,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,301(2),287(1),287(1),-,-,-,300(2),300(1),300(1),-,-
RAJ Govt - Govt Quota,GEN,Rajasthan,"SMS, Jaipur",ORTHOPAEDICS,"₹11,647*","₹82,800*",2*,"₹25,00,000*",5702,239(5),264(6),264(6),-,-,-,303(3),303(3),303(3),-,-
RAJ Govt - Govt Quota,EWS,Rajasthan,"SNMC, Jodhpur",GENERAL MEDICINE,"₹12,812*","₹82,800*",2*,"₹25,00,000*",3101,-,-,-,-,-,-,304(1),304(1),304(1),-,-
