Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
CG MBBS or Ins,SC,Chhattisgarh,"CIMS, Bilaspur",GENERAL SURGERY,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,-,-,-,-,-,-,339(1),401(1),-,-
CG MBBS or Ins,SC,Chhattisgarh,"Govt Med Coll, Ambikapur",GENERAL SURGERY,"₹20,000*","₹67,500",2*,"₹50,00,000*",785,-,-,-,-,-,295(1),352(1),406(1),-,-
CG MBBS or Ins,SC,Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",TBRD,"₹20,000*","₹67,500",2*,"₹50,00,000*",500,-,-,-,-,-,346(1),353(1),417(1),501(1),-
CG MBBS or Ins,ST,Chhattisgarh,"Pt JNM Med Coll, Raipur",RADIO DIAGNOSIS,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,142(2),-,-,-,-,210(1),296(1),447(1),-,-
CG MBBS or Ins,ST,Chhattisgarh,"CIMS, Bilaspur",GENERAL MEDICINE,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,-,288(1),-,-,-,366(1),425(1),460(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"SSIMS, Bhilai",PSYCHIATRY,"₹10,54,000*","₹67,000",1,"₹10,00,000",896,373(1),-,-,-,-,-,-,489(2),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Raipur IMS, Raipur",GENERAL SURGERY,"₹9,84,500*","₹67,000",1,"₹25,00,000",650,300(2),401(3),69(1),-,-,404(2),-,493(1),-,-
CG MBBS or Ins,OBC,Chhattisgarh,"CIMS, Bilaspur",PATHOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,299(1),346(1),98(1),139(1),-,283(1),413(1),495(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"SSIMS, Bhilai",OPHTHALMOLOGY,"₹10,54,000*","₹67,000",1,"₹10,00,000",896,-,-,-,-,-,-,-,504(1),-,-
CG MBBS or Ins,ST,Chhattisgarh,"CIMS, Bilaspur",PAEDIATRICS,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,277(1),-,-,-,-,-,-,512(1),-,-
CG MBBS or Ins,SC,Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",ANAESTHESIOLOGY,"₹20,000*","₹67,500",2*,"₹50,00,000*",650,-,-,-,-,-,350(1),380(1),513(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Raipur IMS, Raipur",OPHTHALMOLOGY,"₹9,84,500*","₹67,000",1,"₹25,00,000",650,331(1),440(1),126(1),339(1),-,287(1),287(1),517(2),-,-
CG MBBS or Ins,UR,Chhattisgarh,"SSIMS, Bhilai",ENT,"₹10,54,000*","₹67,000",1,"₹10,00,000",896,-,437(1),135(1),-,-,-,-,525(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Raipur IMS, Raipur",ENT,"₹9,84,500*","₹67,000",1,"₹25,00,000",650,-,-,-,-,-,-,-,526(1),-,-
CG MBBS or Ins,UR,Chhattisgarh,"Raipur IMS, Raipur",PSYCHIATRY,"₹9,84,500*","₹67,000",1,"₹25,00,000",650,-,-,-,-,-,-,-,564(2),-,-
CG MBBS or Ins,SC,Chhattisgarh,"Raipur IMS, Raipur",GENERAL MEDICINE,"₹9,84,500*","₹67,000",1,"₹25,00,000",650,-,-,-,-,-,-,-,568(1),-,-
CG MBBS or Ins,SC,Chhattisgarh,"Shri Balaji Inst of MS, Raipur",EMERGENCY MEDICINE,"₹10,54,000*",Info not available,1,"₹25,00,000",-,-,-,-,-,-,-,-,577(1),-,-
