Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 1.5,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 1.5,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",DERMATOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,-,-,-,-,-,15(1),-,43(1),61(1),-,-
Odisha-Govt Quota-InS,UR-ExS,Odisha,"MKCG, Berhampur",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,59(1),-,-,61(1),-,-
Odisha-Govt Quota,UR,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,28(1),33(1),28(1),28(1),-,24(1),-,42(1),64(1),-,-
Odisha-Govt Quota-InS,UR-ExS,Odisha,"SCB, Cuttack",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,64(1),-,-,66(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech, Bhubaneswar",GENERAL MEDICINE,"₹7,15,000*","₹30,000*",0,₹0,767,50(2),-,57(2),57(2),-,58(1),-,-,68(1),-,-
Odisha-Govt Quota-InS,SC,Odisha,"MKCG, Berhampur",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,67(1),-,-,69(1),-,-
Odisha-Govt Quota,UR-GC,Odisha,"MKCG, Berhampur",DERMATOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,31(1),-,-,70(1),-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,27(3),30(2),44(3),49(3),-,29(3),25(1),40(2),71(3),-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",PSYCHIATRY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,62(1),-,-,63(1),-,69(1),-,-,71(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,69(3),-,-,73(3),-,70(3),-,-,72(3),-,-
Odisha-Govt Quota,UR,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,-,-,-,-,-,49(1),-,63(1),72(1),-,-
Odisha-Govt Quota-InS,SC,Odisha,"SCB, Cuttack",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,-,-,-,-,-,71(1),-,-,73(1),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,40(2),43(1),79(2),79(2),-,45(1),45(1),64(1),75(1),-,-
Odisha-Govt Quota-InS,UR-GC,Odisha,"MKCG, Berhampur",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,76(1),-,-,78(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,61(3),-,-,64(3),-,74(3),-,-,81(3),-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech, Bhubaneswar",PAEDIATRICS,"₹7,15,000*","₹30,000*",0,₹0,767,59(1),-,-,59(1),-,79(1),-,-,82(1),-,-
