Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 1.5,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 1.5,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",SPM,"₹10,00,000*","₹16,000*",0,₹0,767,793(1),793(1),-,921(2),-,776(1),776(1),-,910(1),-,-
Odisha-Govt Quota,ST,Odisha,"Hi-Tech, Bhubaneswar",MICROBIOLOGY,"₹7,15,000*","₹16,000*",0,₹0,767,-,-,-,-,-,790(1),790(1),-,913(1),-,-
Odisha-Govt Quota,SC,Odisha,"MKCG, Berhampur",IHBT,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,542(1),542(1),738(1),920(1),-,-
Odisha-Govt Quota,UR-GC,Odisha,"Hi-Tech, Bhubaneswar",PATHOLOGY,"₹7,15,000*","₹16,000*",0,₹0,767,-,-,-,-,-,571(1),571(1),819(1),923(1),-,-
Odisha-Govt Quota,UR-PH,Odisha,"MKCG, Berhampur",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,-,-,-,-,-,863(1),-,864(1),929(1),-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",MICROBIOLOGY,"₹10,00,000*","₹16,000*",0,₹0,767,-,-,-,959(1),-,842(1),842(1),-,933(1),-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",PHYSIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,459(1),-,804(1),925(2),-,730(1),730(1),775(1),939(1),-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",ANATOMY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,250(1),250(1),-,385(2),436(1),243(1),-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",PHYSIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,743(1),743(1),-,963(1),-,254(1),254(1),-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",PHARMACOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,243(1),243(1),188(1),250(1),-,166(1),166(1),174(1),-,-,321(1)
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",BIOCHEMISTRY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,184(1),-,-,187(1),-,175(1),175(1),175(1),-,-,323(2)
Odisha-Govt Quota,UR-ExS,Odisha,"SCB, Cuttack",FORENSIC MEDICINE,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,-,-,391(1),391(1),-,-,-,-
Odisha-Govt Quota,SC,Odisha,"SCB, Cuttack",ANATOMY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,-,-,722(1),722(1),-,-,-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",BIOCHEMISTRY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,731(1),-,-,961(2),-,729(1),-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"MKCG, Berhampur",FORENSIC MEDICINE,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,-,-,-,-,-,756(1),756(1),717(1),-,-,-
Odisha-Govt Quota,ST,Odisha,"SCB, Cuttack",BIOCHEMISTRY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,-,-,717(1),717(1),790(1),-,-,-
Odisha-Govt Quota,ST,Odisha,"MKCG, Berhampur",PHYSIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,-,-,-,-,-,804(1),804(1),-,-,-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",BIOCHEMISTRY,"₹4,50,000*","₹16,000*",0,₹0,767,-,-,-,-,-,-,-,812(1),-,-,-
Odisha-Govt Quota,UR-GC,Odisha,"MKCG, Berhampur",BIOCHEMISTRY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,-,-,-,-,-,672(1),672(1),830(1),-,-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",ANATOMY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,750(1),750(1),-,-,-,775(1),775(1),842(1),-,-,-
Odisha-Govt Quota,UR-GC,Odisha,"MKCG, Berhampur",ANATOMY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,-,-,-,-,-,853(1),853(1),-,-,-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",ANATOMY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,813(1),813(1),750(1),-,948(1),761(1),761(1),-,-,855(1),-
Odisha-Govt Quota,UR,Odisha,"MKCG, Berhampur",FORENSIC MEDICINE,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,-,-,-,912(1),-,-,-,-,-,-,903(1)
Odisha-Govt Quota,UR,Odisha,"MKCG, Berhampur",BIOCHEMISTRY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,690(1),690(1),758(1),958(1),-,-,-,-,-,-,947(1)
Odisha-Govt Quota,UR,Odisha,"MKCG, Berhampur",PHARMACOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,611(1),611(1),520(1),956(2),-,679(1),-,716(1),-,-,948(1)
Odisha-Govt Quota,UR-GC,Odisha,"SCB, Cuttack",ANATOMY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,3(1),-,-,-,-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",DERMATOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,4(1),-,-,4(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",RADIO DIAGNOSIS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,5(2),-,-,5(2),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,18(1),-,-,18(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR-GC,Odisha,"SCB, Cuttack",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,24(1),-,-,24(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR-GC,Odisha,"MKCG, Berhampur",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,29(1),-,-,29(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR-GC,Odisha,"VIMSAR, Burla",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,36(1),-,-,36(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,40(1),-,-,40(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",ENT,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,60(1),-,-,60(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,71(2),-,-,72(2),-,-,-,-,-,-,-
Odisha-Govt Quota,UR-GC,Odisha,"SCB, Cuttack",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,55(1),-,81(1),81(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR-ExS,Odisha,"SCB, Cuttack",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,83(1),-,-,83(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,83(1),-,-,83(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"Acharya Harihar Cancer,Cuttack",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",-,93(1),-,-,93(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech, Bhubaneswar",TBRD,"₹7,15,000*","₹30,000*",0,₹0,767,98(1),-,-,98(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR-GC,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,99(1),-,-,99(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,ST,Odisha,"MKCG, Berhampur",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,103(1),-,-,103(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR-GC,Odisha,"SCB, Cuttack",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,105(1),-,-,105(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,SC,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,107(1),-,-,107(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech Med Coll, Rourkela",ORTHOPAEDICS,"₹7,15,000*",Info not available*,0,₹0,420,109(1),-,-,109(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR-GC,Odisha,"MKCG, Berhampur",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,119(1),-,-,119(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR-GC,Odisha,"VIMSAR, Burla",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,117(1),117(1),125(1),-,-,-,-,-,-,-,-
Odisha-Govt Quota-InS,SC,Odisha,"Hi-Tech, Bhubaneswar",RADIO DIAGNOSIS,"₹7,15,000*","₹30,000*",0,₹0,767,133(1),-,-,133(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech, Bhubaneswar",ENT,"₹7,15,000*","₹30,000*",0,₹0,767,134(1),134(1),135(1),135(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR-ExS,Odisha,"VIMSAR, Burla",DERMATOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,140(1),-,-,140(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,SC,Odisha,"SCB, Cuttack",ENT,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,146(1),-,-,147(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech, Bhubaneswar",PSYCHIATRY,"₹7,15,000*","₹30,000*",0,₹0,767,136(1),136(1),101(1),157(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR-GC,Odisha,"MKCG, Berhampur",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,159(1),-,-,160(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,SC,Odisha,"MKCG, Berhampur",TBRD,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,85(1),85(1),161(1),162(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,ST,Odisha,"MKCG, Berhampur",IHBT,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,164(1),-,-,165(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR-GC,Odisha,"Hi-Tech, Bhubaneswar",OPHTHALMOLOGY,"₹7,15,000*","₹30,000*",0,₹0,767,167(1),167(1),166(1),167(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",TBRD,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,100(1),100(1),171(1),129(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,75(1),79(1),87(1),175(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",DERMATOLOGY,"₹7,15,000*","₹30,000*",0,₹0,767,133(1),133(1),180(1),180(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,ST,Odisha,"SCB, Cuttack",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,31(1),-,-,181(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR-ExS,Odisha,"SCB, Cuttack",RADIATION ONCOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,182(1),-,-,185(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,EWS,Odisha,"MKCG, Berhampur",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,186(1),186(1),186(1),189(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,SC,Odisha,"MKCG, Berhampur",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,161(1),-,176(1),195(1),-,-,-,-,-,-,-
Odisha-Govt Quota,SC,Odisha,"SCB, Cuttack",DERMATOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,119(1),-,195(1),195(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,ST,Odisha,"MKCG, Berhampur",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,178(1),-,-,212(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,ST,Odisha,"SCB, Cuttack",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,207(1),-,-,213(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",FORENSIC MEDICINE,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,172(1),172(1),216(1),222(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR-ExS,Odisha,"MKCG, Berhampur",SPM,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,220(1),-,-,226(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech, Bhubaneswar",OPHTHALMOLOGY,"₹7,15,000*","₹30,000*",0,₹0,767,162(1),-,187(1),227(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,SC,Odisha,"VIMSAR, Burla",SPM,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,201(1),201(1),222(1),228(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"MKCG, Berhampur",DERMATOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,236(1),-,-,236(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,ST,Odisha,"VIMSAR, Burla",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,229(1),-,-,236(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,ST,Odisha,"VIMSAR, Burla",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,230(1),-,-,238(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR-GC,Odisha,"SCB, Cuttack",FORENSIC MEDICINE,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,215(1),-,-,251(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,ST,Odisha,"SCB, Cuttack",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,219(1),219(1),219(1),260(1),-,-,-,-,-,-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech Med Coll, Rourkela",OBG,"₹25,00,000*",Info not available*,0,₹0,420,-,-,-,270(1),-,-,-,-,-,-,-
Odisha-Govt Quota,SC,Odisha,"MKCG, Berhampur",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,219(1),219(1),270(1),270(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"SCB, Cuttack",BIOCHEMISTRY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,188(2),188(2),224(2),271(2),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",MICROBIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,193(1),-,-,275(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,ST,Odisha,"SCB, Cuttack",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,246(1),246(1),255(1),278(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR-PH,Odisha,"MKCG, Berhampur",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,212(1),265(1),-,292(1),-,-,-,-,-,-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",ENT,"₹25,00,000*","₹30,000*",0,₹0,767,-,-,-,293(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"MKCG, Berhampur",PSYCHIATRY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,79(1),160(1),227(1),297(1),-,-,-,-,-,-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech Med Coll, Rourkela",OPHTHALMOLOGY,"₹25,00,000*",Info not available*,0,₹0,420,156(1),156(1),-,315(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,SC,Odisha,"SCB, Cuttack",PHARMACOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,271(1),325(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"VIMSAR, Burla",PHARMACOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,240(2),195(1),256(1),341(2),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,ST,Odisha,"Hi-Tech, Bhubaneswar",OBG,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,345(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,ST,Odisha,"Hi-Tech, Bhubaneswar",GENERAL SURGERY,"₹7,15,000*","₹30,000*",0,₹0,767,-,-,-,358(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,ST,Odisha,"SCB, Cuttack",PHYSIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,-,-,-,365(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR-PH,Odisha,"SCB, Cuttack",PAEDIATRICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,265(1),-,-,369(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech Med Coll, Rourkela",PATHOLOGY,"₹7,15,000*",Info not available*,0,₹0,420,187(1),187(1),-,382(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,SC,Odisha,"Hi-Tech, Bhubaneswar",PATHOLOGY,"₹7,15,000*","₹16,000*",0,₹0,767,-,-,-,387(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,ST,Odisha,"Hi-Tech, Bhubaneswar",MICROBIOLOGY,"₹7,15,000*","₹16,000*",0,₹0,767,-,-,-,392(1),-,-,-,-,-,-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech Med Coll, Rourkela",PATHOLOGY,"₹10,00,000*",Info not available*,0,₹0,420,-,-,-,393(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR-GC,Odisha,"MKCG, Berhampur",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,284(1),284(1),404(1),404(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"Hi-Tech, Bhubaneswar",PHYSIOLOGY,"₹4,50,000*","₹16,000*",0,₹0,767,-,-,-,412(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"Acharya Harihar Cancer,Cuttack",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",-,191(1),265(1),315(1),414(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,ST,Odisha,"MKCG, Berhampur",ANATOMY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,-,-,-,426(1),-,-,-,-,-,-,-
Odisha-Govt Quota-InS,UR,Odisha,"MKCG, Berhampur",ANATOMY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,-,-,-,-,429(1),-,-,-,-,-,-
Odisha-Mgmt Quota- InS,UR,Odisha,"Hi-Tech, Bhubaneswar",PHYSIOLOGY,"₹8,00,000*","₹16,000*",0,₹0,767,-,-,-,430(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"MKCG, Berhampur",RADIO DIAGNOSIS,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,539(1),-,-,539(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"SCB, Cuttack",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,545(1),-,-,545(1),-,-,-,-,-,-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",DERMATOLOGY,"₹25,00,000*","₹30,000*",0,₹0,767,554(1),-,-,554(1),-,-,-,-,-,-,-
Odisha-Govt Quota,SC,Odisha,"SCB, Cuttack",ORTHOPAEDICS,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,195(1),-,299(1),559(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",ENT,"₹7,15,000*","₹30,000*",0,₹0,767,392(1),392(1),560(1),543(1),-,-,-,-,-,-,-
Odisha-Govt Quota,SC,Odisha,"SCB, Cuttack",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,317(1),317(1),346(1),572(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"SCB, Cuttack",OBG,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,580(1),-,-,580(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR-GC,Odisha,"SCB, Cuttack",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,288(1),-,-,583(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"VIMSAR, Burla",TBRD,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,585(1),-,-,585(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"PGIMER&CapitalHosp,Bhubaneswar",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",760,589(1),-,-,589(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"VIMSAR, Burla",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,504(1),504(1),492(1),615(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR-ExS,Odisha,"SCB, Cuttack",GENERAL SURGERY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,614(1),-,-,616(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",MICROBIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,513(1),513(1),565(1),620(1),-,-,-,-,-,-,-
Odisha-Govt Quota,EWS,Odisha,"SCB, Cuttack",FORENSIC MEDICINE,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,622(1),622(1),-,-,-,-,-,-,-,-,-
Odisha-Govt Quota,SC,Odisha,"VIMSAR, Burla",ANAESTHESIOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,553(1),553(1),586(1),635(1),-,-,-,-,-,-,-
Odisha-Govt Quota,SC,Odisha,"Hi-Tech, Bhubaneswar",PAEDIATRICS,"₹7,15,000*","₹30,000*",0,₹0,767,546(1),546(1),640(1),643(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech Med Coll, Rourkela",OPHTHALMOLOGY,"₹7,15,000*",Info not available*,0,₹0,420,407(1),429(1),434(1),645(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR-GC,Odisha,"Hi-Tech, Bhubaneswar",GENERAL SURGERY,"₹7,15,000*","₹30,000*",0,₹0,767,402(1),402(1),626(1),647(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"MKCG, Berhampur",OPHTHALMOLOGY,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,639(1),639(1),656(1),659(1),-,-,-,-,-,-,-
Odisha-Govt Quota,SC,Odisha,"Hi-Tech, Bhubaneswar",OBG,"₹7,15,000*","₹30,000*",0,₹0,767,588(1),588(1),655(1),660(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"SCB, Cuttack",PSYCHIATRY,"₹38,500*","₹70,686",2*,"₹53,30,000*",2106,658(1),658(1),667(1),670(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"SCB, Cuttack",SPM,"₹38,500*","₹88,686*",2*,"₹66,30,000*",2106,400(1),400(1),474(1),698(2),-,-,-,-,-,-,-
Odisha-Govt Quota,SC,Odisha,"MKCG, Berhampur",PATHOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,640(1),640(1),712(1),716(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"Hi-Tech Med Coll, Rourkela",OBG,"₹7,15,000*",Info not available*,0,₹0,420,-,-,-,718(1),-,-,-,-,-,-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech Med Coll, Rourkela",ORTHOPAEDICS,"₹25,00,000*",Info not available*,0,₹0,420,643(1),-,-,719(1),-,-,-,-,-,-,-
Odisha-Mgmt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",PSYCHIATRY,"₹25,00,000*","₹30,000*",0,₹0,767,701(1),701(1),631(1),732(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR-ExS,Odisha,"MKCG, Berhampur",TBRD,"₹38,500*","₹70,686",2*,"₹53,30,000*",1140,728(1),-,-,733(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"Hi-Tech, Bhubaneswar",PHYSIOLOGY,"₹4,50,000*","₹16,000*",0,₹0,767,766(1),766(1),-,-,-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"VIMSAR, Burla",BIOCHEMISTRY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,802(1),802(1),-,-,-,-,-,-,-,-,-
Odisha-Govt Quota,UR,Odisha,"MKCG, Berhampur",PHYSIOLOGY,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,788(1),-,-,803(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"VIMSAR, Burla",SPM,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1071,674(1),674(1),755(1),819(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"MKCG, Berhampur",SPM,"₹38,500*","₹88,686*",2*,"₹66,30,000*",1140,616(1),616(1),732(1),827(1),-,-,-,-,-,-,-
Odisha-Govt Quota,ST,Odisha,"Hi-Tech, Bhubaneswar",GENERAL MEDICINE,"₹7,15,000*","₹30,000*",0,₹0,767,806(1),806(1),-,832(1),-,-,-,-,-,-,-
Odisha-Govt Quota,UR-PH,Odisha,"VIMSAR, Burla",GENERAL MEDICINE,"₹38,500*","₹70,686",2*,"₹53,30,000*",1071,811(1),-,-,844(1),-,-,-,-,-,-,-
