Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5
TN Govt Quota,BCM Open,Tamil Nadu,"Madurai Med Coll, Madurai",GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",3518,202(1),202(1),202(1),-,-,250(1),250(1),250(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"PSG IMS, Coimbatore",OBG,"₹3,50,000*","₹25,000*",0,₹0,1130,233(1),233(1),1238(1),-,-,253(1),253(1),253(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"CMC, Vellore",GENERAL MEDICINE,"₹65,470*","₹51,000",2,"₹40,00,000",2879,-,-,-,-,-,200(1),256(1),256(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"Velammal Med Col, Madurai",RADIO DIAGNOSIS,"₹3,50,000*","₹37,000*",0,₹0,1024,-,-,-,-,-,126(1),189(1),261(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,Coimbatore Med Coll,GENERAL MEDICINE,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1182,-,-,-,-,-,165(1),178(1),262(1),-,-,-
TN-CMC Minority 20,CMC 20% Minority,Tamil Nadu,"CMC, Vellore",RADIO DIAGNOSIS,"₹65,470*","₹51,000",2,"₹40,00,000",2879,236(5),258(5),595(5),-,-,267(5),267(5),267(5),-,-,-
TN Govt Quota,MBC Serv,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,"₹50,000*","₹52,451*",2*,"₹40,00,000*",7285,192(1),192(1),192(1),-,-,-,268(1),268(1),-,-,-
TN-CMC Minority 20,CMC 20% Minority,Tamil Nadu,"CMC, Vellore",NEUROSURGERY 6 YRS,"₹42,416*","₹51,000*",4,"₹40,00,000",2879,1272(1),2388(1),2388(1),-,-,274(1),277(1),277(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,Govt Vellore Med Coll,DERMATOLOGY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",2858,268(1),267(1),267(1),-,-,228(1),280(1),280(1),-,-,-
TN Govt Quota,MBC Open,Tamil Nadu,"Stanley Med Coll, Chennai",GENERAL SURGERY,"₹50,000*","₹52,451*",2*,"₹40,00,000*",1661,597(1),1114(1),1114(1),-,-,282(1),282(1),282(1),-,-,-
TN Govt Quota,BC Open,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",RADIO DIAGNOSIS,"₹3,50,000*","₹35,000*",0,₹0,800,-,-,-,-,-,285(1),285(1),285(1),-,-,-
TN Govt Quota,OC Open,Tamil Nadu,"CMC, Vellore",ORTHOPAEDICS,"₹65,470*","₹51,000",2,"₹40,00,000",2879,688(1),1327(1),1530(1),-,-,288(1),288(1),288(1),-,-,-
