Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
PY-Govt Quota,UGE,Pondicherry,"SMVMCH, Pondicherry",ENT,"₹7,95,000",₹0*,0,₹0,900,121(1),263(1),266(1),-,-,-,-,162(1),227(1),227(1),-,-
PY-Govt Quota,USC,Pondicherry,"IGMC & RI, Pondicherry",OPHTHALMOLOGY,"₹1,10,000*","₹43,000",0,₹0,750,-,-,-,-,-,-,-,206(1),231(1),231(1),-,-
PY-Govt Quota,UGE,Pondicherry,"SriVenkateswaraa, Pondicherry",EMERGENCY MEDICINE,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,136(1),218(1),265(1),-,-,-,-,131(1),232(1),232(1),-,-
PY-Govt Quota,UGE,Pondicherry,"SriVenkateswaraa, Pondicherry",ORTHOPAEDICS,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,109(2),217(2),276(2),-,-,-,-,143(2),233(2),233(2),-,-
PY-Govt Quota,UGE,Pondicherry,"SriVenkateswaraa, Pondicherry",GENERAL SURGERY,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,178(5),276(5),264(5),-,-,-,-,180(5),235(5),235(5),-,-
PY-Govt Quota,UGE,Pondicherry,"SMVMCH, Pondicherry",ANAESTHESIOLOGY,"₹7,95,000",₹0*,0,₹0,900,134(3),207(3),268(3),-,-,-,-,116(3),219(3),236(3),-,-
PY-Govt Quota,UGE,Pondicherry,"SriVenkateswaraa, Pondicherry",ENT,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,-,-,-,-,-,-,-,175(1),243(1),243(1),-,-
PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",GENERAL MEDICINE,"₹23,90,000*",₹0*,0,₹0,900,48(9),454(9),508(9),-,-,-,-,32(9),218(9),245(9),-,-
PY-Govt Quota,USC,Pondicherry,"SriVenkateswaraa, Pondicherry",OBG,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,-,-,-,-,-,-,-,250(1),250(1),250(1),-,-
PY-Govt Quota,USC,Pondicherry,"IGMC & RI, Pondicherry",SPM,"₹1,10,000*","₹43,000",0,₹0,750,-,-,-,-,-,-,-,231(1),303(1),252(1),423(1),-
PY-Govt Quota,UMB,Pondicherry,"SriVenkateswaraa, Pondicherry",GENERAL MEDICINE,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,-,-,-,-,-,-,-,182(1),254(1),254(1),-,-
PY-Govt Quota,UGE,Pondicherry,"IGMC & RI, Pondicherry",PATHOLOGY,"₹1,10,000*","₹43,000",0,₹0,750,-,-,-,-,-,-,-,99(1),101(1),255(1),-,-
PY-Govt Quota,UMB,Pondicherry,"SMVMCH, Pondicherry",GENERAL SURGERY,"₹7,95,000",₹0*,0,₹0,900,119(1),285(1),433(1),-,-,-,-,150(1),165(1),259(1),-,-
PY-Govt Quota,UEB,Pondicherry,"SriVenkateswaraa, Pondicherry",GENERAL MEDICINE,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,286(1),286(1),286(1),-,-,-,-,256(1),262(1),262(1),-,-
PY-Govt Quota,USC,Pondicherry,"SMVMCH, Pondicherry",ORTHOPAEDICS,"₹7,95,000",₹0*,0,₹0,900,-,-,-,-,-,-,-,264(1),264(1),264(1),-,-
PY-Govt Quota,USC,Pondicherry,"SriVenkateswaraa, Pondicherry",GENERAL MEDICINE,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,-,-,-,-,-,-,-,283(2),283(2),265(2),-,-
PY-Govt Quota,UMB,Pondicherry,"IGMC & RI, Pondicherry",PATHOLOGY,"₹1,10,000*","₹43,000",0,₹0,750,-,-,-,-,-,-,-,145(1),145(1),266(1),-,-
PY-Govt Quota,UMB,Pondicherry,"SriVenkateswaraa, Pondicherry",GENERAL SURGERY,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,183(1),382(1),382(1),-,-,-,-,-,259(1),268(1),-,-
PY-Govt Quota,UMB,Pondicherry,"SriVenkateswaraa, Pondicherry",PAEDIATRICS,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,127(2),244(2),244(2),-,-,-,-,172(1),272(1),272(1),-,-
PY-Govt Quota,UMB,Pondicherry,"IGMC & RI, Pondicherry",SPM,"₹1,10,000*","₹43,000",0,₹0,750,-,-,-,-,-,-,-,136(1),187(1),276(1),-,-
PY-Govt Quota,USC,Pondicherry,"SMVMCH, Pondicherry",OBG,"₹7,95,000",₹0*,0,₹0,900,188(1),188(1),188(1),-,-,-,-,133(1),279(1),279(1),-,-
PY-Govt Quota,USC,Pondicherry,"PIMS, Pondicherry",ANAESTHESIOLOGY,"₹7,95,000","₹43,000",0,₹0,740,-,-,-,-,-,-,-,252(1),252(1),283(1),427(1),-
PY-Govt Quota,UST,Pondicherry,"IGMC & RI, Pondicherry",GENERAL SURGERY,"₹1,10,000*","₹43,000",0,₹0,750,-,-,-,-,-,-,-,286(1),286(1),286(1),-,-
PY-Govt Quota,USC,Pondicherry,"SMVMCH, Pondicherry",GENERAL MEDICINE,"₹7,95,000",₹0*,0,₹0,900,315(2),315(2),315(2),-,-,-,-,170(1),289(1),289(1),-,-
PY Mgmt-Open,AGE,Pondicherry,"PIMS, Pondicherry",ORTHOPAEDICS,"₹23,90,000","₹43,000",0,₹0,740,-,-,-,-,-,-,-,-,-,291(1),-,-
PY-Govt Quota,UGE,Pondicherry,"SriVenkateswaraa, Pondicherry",PATHOLOGY,"₹6,55,000*","₹7,000*",2*,Info not available*,1120,234(1),398(1),568(2),-,536(1),-,-,285(1),294(1),294(1),-,-
PY-Govt Quota,UGE,Pondicherry,"PIMS, Pondicherry",PHARMACOLOGY,"₹6,55,000","₹43,000",0,₹0,740,-,-,-,-,-,-,-,249(1),296(1),296(1),-,-
PY-Govt Quota,UMB,Pondicherry,"SMVMCH, Pondicherry",ENT,"₹7,95,000",₹0*,0,₹0,900,167(1),266(1),443(1),-,-,-,-,200(1),297(1),297(1),-,-
PY-Govt Quota,UGE,Pondicherry,"PIMS, Pondicherry",PSYCHIATRY,"₹7,95,000","₹43,000",0,₹0,740,81(1),163(1),163(1),-,-,-,-,81(1),168(1),304(1),-,-
PY-Govt Quota,UGE,Pondicherry,"SriVenkateswaraa, Pondicherry",ANAESTHESIOLOGY,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,158(3),272(3),283(3),-,-,-,-,173(3),273(3),306(3),-,-
PY-Govt Quota,UOB,Pondicherry,"SriVenkateswaraa, Pondicherry",GENERAL SURGERY,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,189(1),277(1),277(1),-,-,-,-,188(1),308(1),308(1),-,-
PY-Govt Quota,USC,Pondicherry,"SMVMCH, Pondicherry",ANAESTHESIOLOGY,"₹7,95,000",₹0*,0,₹0,900,270(1),413(1),413(1),-,-,-,-,279(1),310(1),310(1),-,-
PY-Govt Quota,USC,Pondicherry,"SriVenkateswaraa, Pondicherry",ANAESTHESIOLOGY,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,275(1),411(1),422(1),-,-,-,-,289(1),311(1),311(1),-,-
PY-Govt Quota,UGE,Pondicherry,"PIMS, Pondicherry",SPM,"₹6,55,000","₹43,000",0,₹0,740,91(1),224(1),319(2),-,-,-,-,229(1),239(1),317(1),-,-
PY-Govt Quota,USC-FF,Pondicherry,"SriVenkateswaraa, Pondicherry",GENERAL SURGERY,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,-,-,-,-,-,-,-,-,318(1),318(1),-,-
PY-Govt Quota,USC,Pondicherry,"SriVenkateswaraa, Pondicherry",PAEDIATRICS,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,205(1),205(1),205(1),-,-,-,-,265(1),265(1),325(1),-,-
PY-Govt Quota,UGE,Pondicherry,"IGMC & RI, Pondicherry",FORENSIC MEDICINE,"₹1,10,000*","₹43,000",0,₹0,750,125(1),313(1),313(1),-,-,-,-,103(1),281(1),330(1),-,-
PY-Govt Quota,UMB,Pondicherry,"SMVMCH, Pondicherry",ANAESTHESIOLOGY,"₹7,95,000",₹0*,0,₹0,900,-,305(1),316(1),-,-,-,-,155(1),276(1),331(1),-,-
PY-Govt Quota,UGE,Pondicherry,"SriVenkateswaraa, Pondicherry",PSYCHIATRY,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,170(1),317(1),342(1),-,-,-,-,193(1),317(1),333(1),-,-
PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",PAEDIATRICS,"₹23,90,000*",₹0*,0,₹0,900,84(6),577(6),679(6),-,-,-,-,61(6),306(6),334(6),-,-
PY-Govt Quota,UBM,Pondicherry,"SriVenkateswaraa, Pondicherry",GENERAL SURGERY,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,-,-,-,-,-,-,-,210(1),335(1),335(1),-,-
PY-Govt Quota,USC,Pondicherry,"SMVMCH, Pondicherry",ENT,"₹7,95,000",₹0*,0,₹0,900,294(1),395(1),395(1),-,-,-,-,274(1),327(1),338(1),-,-
PY-Govt Quota,UOB,Pondicherry,"SriVenkateswaraa, Pondicherry",ENT,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,140(1),265(1),377(1),-,-,-,-,194(1),339(1),339(1),-,-
PY-Govt Quota,UGE,Pondicherry,"SMVMCH, Pondicherry",PSYCHIATRY,"₹7,95,000",₹0*,0,₹0,900,163(1),170(1),170(1),435(1),-,-,-,168(1),282(1),341(1),422(1),-
PY-Govt Quota,USC,Pondicherry,"SriVenkateswaraa, Pondicherry",OPHTHALMOLOGY,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,329(1),422(1),411(1),-,-,-,-,310(1),325(1),346(1),-,-
PY-Govt Quota,UOB,Pondicherry,"SMVMCH, Pondicherry",ANAESTHESIOLOGY,"₹7,95,000",₹0*,0,₹0,900,138(1),-,-,-,-,-,-,129(1),236(1),348(1),-,-
PY-Govt Quota,USC,Pondicherry,"SriVenkateswaraa, Pondicherry",PATHOLOGY,"₹6,55,000*","₹7,000*",2*,Info not available*,1120,-,-,-,-,-,-,-,349(1),349(1),349(1),-,-
PY-Govt Quota,UOB,Pondicherry,"IGMC & RI, Pondicherry",PATHOLOGY,"₹1,10,000*","₹43,000",0,₹0,750,-,-,-,-,-,-,-,102(1),192(1),354(1),-,-
PY-Govt Quota,UMB,Pondicherry,"SriVenkateswaraa, Pondicherry",OPHTHALMOLOGY,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,191(1),206(1),206(1),-,-,-,-,124(1),326(1),355(1),-,-
PY Mgmt-Open,AGE,Pondicherry,"SMVMCH, Pondicherry",OBG,"₹23,90,000*",₹0*,0,₹0,900,36(3),372(3),449(3),-,-,-,-,88(3),357(3),357(3),-,-
PY-Govt Quota,UMB,Pondicherry,"SMVMCH, Pondicherry",PSYCHIATRY,"₹7,95,000",₹0*,0,₹0,900,198(1),443(1),553(1),-,-,-,-,263(1),304(1),358(1),-,-
PY-Govt Quota,UGE,Pondicherry,"PIMS, Pondicherry",PATHOLOGY,"₹6,55,000","₹43,000",0,₹0,740,-,-,-,-,-,-,-,248(1),255(1),360(1),-,-
PY-Govt Quota,UBM,Pondicherry,"SriVenkateswaraa, Pondicherry",ANAESTHESIOLOGY,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,-,-,-,-,-,-,-,335(1),362(1),362(1),-,-
PY-Govt Quota,USC,Pondicherry,"PIMS, Pondicherry",SPM,"₹6,55,000","₹43,000",0,₹0,740,-,-,-,-,-,-,-,361(1),372(1),372(1),-,-
PY-Govt Quota,USC,Pondicherry,"SriVenkateswaraa, Pondicherry",ORTHOPAEDICS,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,255(1),297(1),297(1),-,-,-,-,-,-,373(1),-,-
PY-Govt Quota,UMB,Pondicherry,"SriVenkateswaraa, Pondicherry",ANAESTHESIOLOGY,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,160(1),351(1),393(1),-,-,-,-,216(1),280(1),375(1),-,-
PY-Govt Quota,UMB-MSP,Pondicherry,"SriVenkateswaraa, Pondicherry",ORTHOPAEDICS,"₹7,95,000*","₹7,000*",2*,Info not available*,1120,-,-,-,-,-,-,-,376(1),376(1),376(1),-,-
PY-Govt Quota,USC,Pondicherry,"SMVMCH, Pondicherry",OPHTHALMOLOGY,"₹7,95,000",₹0*,0,₹0,900,-,-,-,-,-,-,-,-,338(1),378(1),-,-
