Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
JHKND Govt Quota,BC-II,Jharkhand,"MGM Med Coll, Jamshedpur",ANAESTHESIOLOGY,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,138(1),-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",GENERAL MEDICINE,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,183(2),203(1),-,173(3),-,-,-,-
JHKND Govt Quota,BC-I,Jharkhand,"MGM Med Coll, Jamshedpur",DCH,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,176(1),-,-,-,-
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",ANATOMY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,333(1),-,-,-,-,-,188(1)
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",DERMATOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,116(1),-,-,-,-,191(1),-,-,-
JHKND Govt Quota,BC-II,Jharkhand,"Rajendra IMS, Ranchi",FORENSIC MEDICINE,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,196(1),-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"Rajendra IMS, Ranchi",ORTHOPAEDICS,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,147(1),-,-,-,206(1),-,-,-,-
JHKND Govt Quota,UR,Jharkhand,"Rajendra IMS, Ranchi",PATHOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,202(3),121(1),230(1),-,159(2),208(2),-,-,-
JHKND Govt Quota,SC,Jharkhand,"Rajendra IMS, Ranchi",PAEDIATRICS,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,109(1),127(1),160(1),-,214(1),-,-,-,-
JHKND Govt Quota,SC,Jharkhand,"MGM Med Coll, Jamshedpur",PAEDIATRICS,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,155(1),-,-,217(1),-,-,-,-
JHKND Govt Quota,SC,Jharkhand,"Rajendra IMS, Ranchi",OBG,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,72(1),-,-,-,154(2),220(1),-,-,-
JHKND Govt Quota,SC,Jharkhand,"Rajendra IMS, Ranchi",GENERAL SURGERY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,161(1),-,-,-,220(1),-,-,-,-
JHKND Govt Quota,SC,Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL MEDICINE,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,-,-,-,-,-,223(1),-,-,-
JHKND Govt Quota,SC,Jharkhand,"Rajendra IMS, Ranchi",OPHTHALMOLOGY,"₹1,500*","₹96,000*",3*,"₹30,00,000*",1754,-,-,-,-,224(1),-,-,-,-
JHKND Govt Quota,ST,Jharkhand,"MGM Med Coll, Jamshedpur",GENERAL MEDICINE,"₹1,500*","₹54,500",3*,"₹30,00,000*",540,175(1),-,-,-,229(1),-,-,-,-
JHKND Govt Quota,SC,Jharkhand,"Shaheed Nirmal Mahto, Dhanbad",ORTHOPAEDICS,"₹1,500*","₹54,500",3*,"₹30,00,000*",560,-,-,-,-,-,230(1),-,-,-
