Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
GUJ Mgmt Quota,MQ-MQ,Gujarat,"GMERS, Sola",RADIO DIAGNOSIS,"₹16,88,000*","₹84,000*",0,₹0,900,-,-,-,-,-,-,-,118(1),131(1),131(1),-,-
GUJ Govt-AllGujStud.,GQ-EW,Gujarat,"MP Shah, Jamnagar",DERMATOLOGY,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,-,-,-,-,-,-,-,98(1),133(1),133(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"Govt Med Coll, Surat",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,-,-,-,-,-,-,-,138(2),138(2),138(2),-,-
GUJ Govt-AllGujStud.,GQ-EW,Gujarat,"AMCET, Ahmedabad",DERMATOLOGY,"₹9,67,000*","₹1,00,800*",0,₹0,1050,-,-,-,-,-,-,-,217(1),206(1),142(1),-,-
GUJ Mgmt Quota,MQ-MQ,Gujarat,"GMERS, Gotri, Vadodara",GENERAL MEDICINE,"₹16,88,000*","₹84,000*",0,₹0,730,-,-,-,-,-,-,-,243(1),243(1),146(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"PDU Med Coll, Rajkot",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",750,82(1),92(1),161(1),-,-,-,-,62(2),102(2),149(2),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"GMERS, Gotri, Vadodara",GENERAL MEDICINE,"₹11,25,000*","₹84,000*",0,₹0,730,-,-,-,-,-,-,-,177(3),153(3),153(3),-,-
GUJ Govt-Inst. Pref,UQ-SE,Gujarat,"Medical College, Baroda",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,53(1),144(1),144(1),-,-,-,-,156(1),156(1),156(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"AMCET, Ahmedabad",GENERAL MEDICINE,"₹9,67,000*","₹1,00,800*",0,₹0,1050,69(3),69(3),69(3),-,-,-,-,110(2),110(2),157(2),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"MP Shah, Jamnagar",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,111(1),196(1),205(1),-,-,-,-,159(2),159(2),159(2),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"PDU Med Coll, Rajkot",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",750,261(1),261(1),261(1),-,-,-,-,87(1),168(1),168(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"BJMC, Ahmedabad",GENERAL SURGERY,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,87(2),260(2),260(2),-,-,-,-,66(1),169(1),169(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Govt Med Coll, Surat",DERMATOLOGY,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,70(1),133(1),133(1),-,-,-,-,45(1),172(1),172(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"PDU Med Coll, Rajkot",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",750,-,-,-,-,-,-,-,74(1),175(1),175(1),-,-
GUJ Govt-Inst. Pref,UQ-EW,Gujarat,"Govt Med Coll, Surat",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,-,-,-,-,-,-,-,50(1),68(1),182(1),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"Govt Med Coll, Bhavnagar",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",720,196(1),274(1),274(1),-,-,-,-,183(1),183(1),183(1),-,-
GUJ Govt-Inst. Pref,UQ-EW,Gujarat,"MP Shah, Jamnagar",DERMATOLOGY,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,-,-,-,-,-,-,-,192(1),192(1),192(1),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"Govt Med Coll, Surat",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,187(2),205(2),298(2),-,-,-,-,162(2),195(2),195(2),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"GCS Med Coll, Ahmedabad",RADIO DIAGNOSIS,"₹29,00,000*","₹84,000*",0,₹0,750,288(1),340(1),340(1),-,-,-,-,196(1),196(1),196(1),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"MP Shah, Jamnagar",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,246(1),267(1),267(1),-,-,-,-,128(1),203(1),203(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"NHL Med Coll, Ahmedabad",DERMATOLOGY,"₹7,93,000*","₹84,000*",0,₹0,2220,137(2),160(2),203(2),-,-,-,-,167(2),204(2),204(2),-,-
GUJ Govt-Inst. Pref,UQ-SE,Gujarat,"BJMC, Ahmedabad",OBG,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,207(1),434(1),434(1),-,-,-,-,205(1),205(1),205(1),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"PDU Med Coll, Rajkot",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",750,194(2),316(2),316(2),-,-,-,-,175(1),207(1),207(1),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"Govt Med Coll, Surat",RADIO DIAGNOSIS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,240(1),246(1),246(1),-,-,-,-,189(1),208(1),208(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Surat Municipal, Surat",RADIO DIAGNOSIS,"₹18,64,000*","₹84,000*",0,₹0,750,145(2),145(2),302(2),-,-,-,-,185(2),214(2),214(2),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"NHL Med Coll, Ahmedabad",GENERAL MEDICINE,"₹7,93,000*","₹84,000*",0,₹0,2220,151(6),181(6),234(6),-,-,-,-,142(7),182(7),218(7),-,-
GUJ Mgmt Quota,MQ-MQ,Gujarat,"Surat Municipal, Surat",RADIO DIAGNOSIS,"₹41,50,000*","₹84,000*",0,₹0,750,621(1),719(2),719(2),-,-,-,-,221(1),221(1),221(1),-,-
GUJ Mgmt Quota,MQ-MQ,Gujarat,"GMERS, Gotri, Vadodara",DERMATOLOGY,"₹15,00,000*","₹84,000*",0,₹0,730,-,360(1),360(1),-,-,-,-,222(1),222(1),222(1),-,-
GUJ Govt-Inst. Pref,UQ-SE,Gujarat,"BJMC, Ahmedabad",DERMATOLOGY,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,-,-,-,-,-,-,-,225(1),225(1),225(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"BJMC, Ahmedabad",PAEDIATRICS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,54(1),177(1),177(1),-,-,-,-,120(1),219(1),228(1),-,-
GUJ Govt-Inst. Pref,UQ-SE,Gujarat,"NHL Med Coll, Ahmedabad",RADIO DIAGNOSIS,"₹7,93,000*","₹84,000*",0,₹0,2220,475(1),475(1),475(1),-,-,-,-,168(1),229(1),229(1),-,-
GUJ Govt-Inst. Pref,UQ-EW,Gujarat,"PDU Med Coll, Rajkot",GENERAL MEDICINE,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",750,-,-,-,-,-,-,-,84(1),232(1),232(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Surat Municipal, Surat",DERMATOLOGY,"₹18,64,000*","₹84,000*",0,₹0,750,235(1),348(1),463(1),-,-,-,-,239(1),239(1),239(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"Medical College, Baroda",PAEDIATRICS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,134(2),193(2),321(2),-,-,-,-,89(1),240(1),240(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"NHL Med Coll, Ahmedabad",GENERAL MEDICINE,"₹7,93,000*","₹84,000*",0,₹0,2220,124(2),136(2),185(2),-,-,-,-,141(3),155(3),242(3),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"AMCET, Ahmedabad",GENERAL MEDICINE,"₹9,67,000*","₹1,00,800*",0,₹0,1050,126(8),153(8),211(8),-,-,-,-,146(9),197(9),244(9),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"GCS Med Coll, Ahmedabad",RADIO DIAGNOSIS,"₹29,00,000*","₹84,000*",0,₹0,750,336(1),336(1),336(1),-,-,-,-,214(1),251(1),251(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"Govt Med Coll, Surat",OBG,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1150,408(2),491(2),491(2),-,-,-,-,256(1),256(1),256(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"GMERS, Gandhinagar",GENERAL MEDICINE,"₹11,25,000*","₹84,000*",0,₹0,980,-,-,-,-,-,-,-,184(1),244(1),258(1),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"NHL Med Coll, Ahmedabad",RADIO DIAGNOSIS,"₹7,93,000*","₹84,000*",0,₹0,2220,416(2),416(2),409(2),-,-,-,-,229(2),260(2),260(2),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"AMCET, Ahmedabad",RADIO DIAGNOSIS,"₹9,67,000*","₹1,00,800*",0,₹0,1050,412(1),412(1),412(1),-,-,-,-,208(1),266(1),266(1),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"BJMC, Ahmedabad",DERMATOLOGY,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,115(1),115(1),115(1),-,-,-,-,231(1),267(1),267(1),-,-
GUJ Govt-AllGujStud.,GQ-SE,Gujarat,"GMERS, Sola",RADIO DIAGNOSIS,"₹11,25,000*","₹84,000*",0,₹0,900,-,-,-,-,-,-,-,272(1),272(1),272(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"BJMC, Ahmedabad",PAEDIATRICS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,88(2),162(2),296(2),-,-,-,-,171(3),228(3),275(3),-,-
GUJ Govt-AllGujStud.,GQ-EW,Gujarat,"GMERS, Sola",DERMATOLOGY,"₹10,00,000*","₹84,000*",0,₹0,900,265(1),265(1),265(1),-,-,-,-,276(1),276(1),276(1),-,-
GUJ Govt-Inst. Pref,UQ-OP,Gujarat,"Medical College, Baroda",PAEDIATRICS,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1250,97(1),125(1),125(1),-,-,-,-,223(1),275(1),278(1),-,-
GUJ Govt-AllGujStud.,GQ-OP,Gujarat,"BJMC, Ahmedabad",GENERAL SURGERY,"₹30,000*","₹1,00,800",1*,"₹40,00,000*",1557,167(4),257(5),257(5),-,-,-,-,169(4),264(6),280(6),-,-
