Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2023 8,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6
MAHA-Govt Quota,OPEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",OBG,"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,100(2),100(2),100(2),100(2),100(2),-,-,-,128(2),128(2),128(2),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Indira Gandhi MedColl, Nagpur",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",822,164(1),183(1),183(1),183(1),183(1),-,-,-,74(1),135(1),135(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Topiwala, Mumbai",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1300,110(1),110(1),110(1),110(1),110(1),-,-,-,69(1),139(1),139(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"NKP Salve IMS, Nagpur",RADIO DIAGNOSIS,"₹9,00,000*","₹64,551",0,₹0,1272,287(3),287(3),366(3),366(3),366(3),-,-,-,143(1),143(1),143(1),-,-,-
MAHA-Govt Quota,NT3,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",2250,-,-,-,-,-,-,-,-,147(1),147(1),147(1),-,-,-
MAHA-Govt Quota,EWS,Maharashtra,"Govt Med Coll, Nagpur",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",1866,88(1),133(1),133(1),133(1),133(1),-,-,-,101(2),149(2),149(2),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Govt Med Coll, Miraj",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",725,75(1),107(1),107(1),107(1),107(1),-,-,-,37(1),48(1),150(1),-,-,-
MAHA-Govt Quota,EWS,Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1866,97(1),97(1),97(1),97(1),97(1),-,-,-,156(1),156(1),156(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",1300,109(1),125(1),125(1),125(1),125(1),-,-,-,113(2),166(2),169(2),-,-,-
MAHA-Govt Quota,EWS,Maharashtra,"Tata Memorial, Mumbai",RADIO DIAGNOSIS,"₹1,05,500*","₹1,00,800",1*,"₹25,00,000*",614,124(1),135(1),135(1),135(1),135(1),-,-,-,170(1),170(1),170(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Kashibai Navale, Pune",DERMATOLOGY,"₹12,94,000*","₹76,429",0,₹0,1094,-,-,-,-,-,-,-,-,173(1),173(1),173(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Tata Memorial, Mumbai",RADIO DIAGNOSIS,"₹1,05,500*","₹1,00,800",1*,"₹25,00,000*",614,102(1),102(1),102(1),102(1),102(1),-,-,-,75(1),174(1),174(1),-,-,-
MAHA-Govt Quota,EWS,Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",1300,90(1),158(1),158(1),158(1),158(1),-,-,-,149(1),176(1),176(1),-,-,-
MAHA-Govt Quota,EWS,Maharashtra,"Govt Med Coll, Aurangabad",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",1177,121(1),178(1),178(1),178(1),178(1),-,-,-,180(1),180(1),180(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Seth GS, Mumbai",OPHTHALMOLOGY,"₹1,43,300*","₹92,522",1,"₹50,00,000",2250,256(1),494(1),811(1),811(1),811(1),-,-,-,181(1),181(1),181(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Indira Gandhi MedColl, Nagpur",DERMATOLOGY,"₹1,43,300*","₹92,522",1,"₹50,00,000",822,70(1),222(1),254(1),254(1),254(1),-,-,-,124(1),185(1),185(1),-,-,-
MAHA-Govt Quota,EWS,Maharashtra,"BJMC, Pune",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",1296,129(1),214(1),231(1),231(1),231(1),-,-,-,189(1),201(1),189(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Govt Med Coll, Aurangabad",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",1177,63(3),112(3),229(3),229(3),229(3),-,-,-,87(3),151(3),191(3),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"BJMC, Pune",OPHTHALMOLOGY,"₹1,43,300*","₹92,522",1,"₹50,00,000",1296,494(1),665(1),665(1),665(1),665(1),-,-,-,194(1),194(1),194(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",PAEDIATRICS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,114(1),210(1),210(1),210(1),210(1),-,-,-,195(2),195(2),195(2),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Indira Gandhi MedColl, Nagpur",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",822,66(1),98(1),269(1),269(1),269(1),-,-,-,91(1),107(1),198(1),-,-,-
MAHA-Govt Quota,VJ,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,-,-,-,-,-,-,-,-,202(1),202(1),202(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"HBT & RN Cooper, Mumbai",ENT,"₹1,43,300*","₹92,522",1,"₹50,00,000",940,-,-,-,-,-,-,-,-,204(1),204(1),204(1),-,-,-
MAHA-Govt Quota,SEBC,Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1866,-,-,-,-,-,-,-,-,159(1),207(1),207(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Vithalrao Patil, Ahmednagar",RADIO DIAGNOSIS,"₹10,00,000*","₹76,629",0,₹0,960,417(1),458(1),496(1),496(1),496(1),-,-,-,164(1),208(1),208(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"BJMC, Pune",DERMATOLOGY,"₹1,43,300*","₹92,522",1,"₹50,00,000",1296,240(1),302(1),302(1),302(1),302(1),-,-,-,123(1),209(1),209(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Grant Med Coll, Mumbai",GENERAL SURGERY,"₹1,43,300*","₹92,522",1,"₹50,00,000",2844,83(5),91(5),94(5),94(5),94(5),-,-,-,102(4),190(4),215(4),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",ORTHOPAEDICS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,220(3),279(3),279(3),279(3),279(3),-,-,-,216(1),216(1),216(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Pimpri Chinchwad, Pimpri",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",750,-,-,-,-,-,-,-,-,60(1),172(1),217(1),-,-,-
MAHA-Govt Quota,EWS,Maharashtra,"Grant Med Coll, Mumbai",GENERAL SURGERY,"₹1,43,300*","₹92,522",1,"₹50,00,000",2844,143(1),546(1),546(1),546(1),546(1),-,-,-,201(1),220(1),220(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Govt Med Coll, Nagpur",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",1866,151(4),224(4),230(4),230(4),230(4),-,-,-,79(1),169(1),222(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"MGIMS, Wardha",RADIO DIAGNOSIS,"₹1,43,300*","₹89,698",1,"₹50,00,000",1000,81(1),99(1),99(1),99(1),99(1),-,-,-,68(1),124(1),226(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"MGIMS, Wardha",GENERAL MEDICINE,"₹1,43,300*","₹89,698",1,"₹50,00,000",1000,89(1),161(1),288(1),288(1),288(1),-,-,-,103(1),191(1),227(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"VMMC, Solapur",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",763,71(2),150(2),316(2),316(2),316(2),-,-,-,73(1),171(1),231(1),-,-,-
MAHA-Govt Quota,SEBC,Maharashtra,"Grant Med Coll, Mumbai",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",2844,-,-,-,-,-,-,-,-,155(1),244(1),244(1),-,-,-
MAHA-Govt Quota,SEBC,Maharashtra,"Govt Med Coll, Nagpur",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",1866,-,-,-,-,-,-,-,-,86(2),155(2),246(2),-,-,-
MAHA-Govt Quota,SEBC,Maharashtra,"BJMC, Pune",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",1296,-,-,-,-,-,-,-,-,244(1),248(1),248(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Bombay Hospital IMS, Mumbai",RADIO DIAGNOSIS,"₹8,92,858*","₹70,000",0,₹0,725,60(1),60(1),60(1),60(1),60(1),-,-,-,71(1),249(1),249(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Bombay Hospital IMS, Mumbai",GENERAL MEDICINE,"₹8,92,858*","₹70,000",0,₹0,725,168(2),243(2),489(2),893(2),893(2),-,-,-,142(1),142(1),250(1),-,-,-
MAHA-Govt Quota,OBC,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",OBG,"₹1,43,300*","₹92,522",1,"₹50,00,000",1462,371(2),371(2),493(2),493(2),493(2),-,-,-,210(1),251(1),251(1),-,-,-
MAHA-Govt Quota,EWS,Maharashtra,"Govt Med Coll, Nagpur",DERMATOLOGY,"₹1,43,300*","₹92,522",1,"₹50,00,000",1866,-,-,-,-,-,-,-,-,257(1),257(1),257(1),-,-,-
MAHA-Govt Quota,NT2,Maharashtra,"Govt Med Coll, Aurangabad",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1177,-,-,-,-,-,-,-,-,258(1),258(1),258(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Seth GS, Mumbai",OBG,"₹1,43,300*","₹92,522",1,"₹50,00,000",2250,229(6),247(6),247(6),247(6),247(6),-,-,-,233(4),259(4),259(4),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Rajarshee CSM Govt MC,Kolhapur",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",665,96(2),159(2),326(2),326(2),326(2),-,-,-,107(1),198(1),267(1),-,-,-
MAHA-Govt Quota,OBC-PH,Maharashtra,"Govt Med Coll, Nagpur",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",1866,-,-,-,-,-,-,-,-,6567(1),6567(1),270(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Govt Med Coll, Miraj",GENERAL MEDICINE,"₹1,43,300*","₹92,522",1,"₹50,00,000",725,101(1),163(1),339(1),339(1),339(1),-,-,-,117(1),217(1),281(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Govt Med Coll, Akola",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",840,107(1),137(1),137(1),137(1),137(1),-,-,-,72(1),137(1),283(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Govt Med Coll, Nanded",DERMATOLOGY,"₹1,43,300*","₹92,522",1,"₹50,00,000",750,-,-,-,-,-,-,-,-,168(1),268(1),284(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Topiwala, Mumbai",OBG,"₹1,43,300*","₹92,522",1,"₹50,00,000",1300,239(1),307(1),307(1),307(1),307(1),-,-,-,259(1),290(1),290(1),-,-,-
MAHA-Govt Quota,SEBC,Maharashtra,"Govt Med Coll, Aurangabad",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",1177,-,-,-,-,-,-,-,-,207(1),293(1),293(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Govt Med Coll, Nanded",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",750,99(1),129(1),170(1),170(1),170(1),-,-,-,131(1),164(1),294(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"VMMC, Solapur",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",763,-,-,-,-,-,-,-,-,129(1),150(1),300(1),-,-,-
MAHA-Govt Quota,OPEN,Maharashtra,"Govt Med Coll, Latur",RADIO DIAGNOSIS,"₹1,43,300*","₹92,522",1,"₹50,00,000",750,-,-,-,-,-,-,-,-,93(1),93(1),301(1),-,-,-
