Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2024 1,CR 2024 2,CR 2024 3
DNB Sponsored,GEN,West Bengal,"District Hospital, Howrah",DNBGENERAL MEDICINE,"₹1,25,000","₹46,384",0,₹0,642,32717(1),32717(1),-,34315(1),56629(1),-
DNB Sponsored,GEN,Jharkhand,"Tata Main Hospital, Jamshedpur",DNBANAESTHESIOLOGY,"₹1,25,000","₹52,000",0,₹0,915,72105(1),76241(2),-,56923(1),-,-
DNB Sponsored,GEN,Andhra Pradesh,"Dr Ramesh Cardiac Hosp, Guntur",DNBGENERAL MEDICINE,-,-,-,-,350,-,-,-,57150(1),-,-
DNB Sponsored,GEN,West Bengal,"Raiganj GovtMedC,UttarDinajpur",DNBGENERAL MEDICINE,-,-,-,-,500,-,-,-,49527(1),57492(1),-
DNB Sponsored,GEN,Kerala,"Little Flower Hosp, Angamaly",DNBGENERAL MEDICINE,-,-,-,-,690,-,-,-,57825(1),-,-
DNB Sponsored,GEN,Karnataka,"Sagar Hosp, Jayanagar, BLR",DNBGENERAL MEDICINE,-,-,-,-,200,-,-,-,57975(1),-,-
DNB Sponsored,GEN,Tamil Nadu,"Southern Railway Hosp, Chennai",DNBGENERAL MEDICINE,"₹1,25,000","₹48,000*",0,₹0,505,38790(1),38790(1),84288(1),58741(1),-,-
DNB Sponsored,GEN,Tamil Nadu,"GKNM Hospital, Coimbatore",DNBGENERAL MEDICINE,"₹1,25,000","₹49,440",0,₹0,600,52030(1),52030(1),-,59318(1),59318(1),-
DNB Sponsored,GEN,Maharashtra,"Rajiv Gandhi MedColl,Thane,MUM",DNBGENERAL SURGERY,-,-,-,-,500,-,-,-,58353(1),59485(1),-
DNB Sponsored,GEN,Kerala,"Mar Sleeva Medicity, Kottayam",DNBGENERAL MEDICINE,-,-,-,-,-,-,-,-,59940(1),-,-
DNB Sponsored,GEN,Punjab,"SBLS Civil Hospital, Jalandhar",DNBGENERAL SURGERY,-,-,-,-,470,-,-,-,60182(1),-,-
DNB Sponsored,GEN,Kerala,"Rajagiri Hospital, Ernakulam",DNBGENERAL MEDICINE,-,-,-,-,530,-,-,-,60352(1),-,-
DNB Sponsored,GEN,Tamil Nadu,"Ganga Med Centre, Coimbatore",DNBORTHOPAEDICS,"₹1,25,000","₹50,000",0,₹0,500,53048(1),67164(2),73941(1),60419(1),-,-
DNB Sponsored,GEN,Assam,"SriSankaradevaNethr,Guwahati",DNBOPHTHALMOLOGY,"₹1,25,000","₹48,000",0,₹0,177,58821(1),-,-,61541(1),-,-
DNB Sponsored,GEN,Pondicherry,"IG GovtGenHosp&PGI,Pondicherry",DNBGENERAL SURGERY,"₹1,25,000","₹43,000",0,₹0,626,58951(1),-,93738(1),61623(1),-,-
DNB Sponsored,GEN,Jammu and Kashmir,"JLNM Hosp, Rainawari",DNBGENERAL MEDICINE,-,-,-,-,200,-,-,-,62229(1),-,-
DNB Sponsored,GEN,Punjab,"Amandeep Hospital, Amritsar",DNBORTHOPAEDICS,"₹1,25,000","₹49,000",0,₹0,200,43252(1),-,-,62654(1),-,-
DNB Sponsored,GEN,Tamil Nadu,"Dr Jeyasekharan Hosp,Nagercoil",DNBGENERAL SURGERY,"₹1,25,000","₹48,000",0,₹0,200,72417(1),86623(2),146638(1),62836(1),-,-
DNB Sponsored,GEN,Jammu and Kashmir,"Govt Med Coll Hosp, Anantnag",DNBGENERAL MEDICINE,"₹1,25,000","₹57,000*",0,₹0,363,44607(1),-,-,62924(1),-,-
DNB Sponsored,GEN,Gujarat,"Gujarat IMH Hosp, Ahmedabad",DNBPSYCHIATRY,-,-,-,-,312,-,-,-,63558(1),-,-
DNB Sponsored,GEN,Jammu and Kashmir,"Assoc Hosp Govt MC, Baramulla",DNBGENERAL MEDICINE,"₹1,25,000","₹48,000*",0,₹0,300,48994(1),58731(2),81938(1),63760(1),-,-
DNB Sponsored,GEN,Tamil Nadu,"Aravind Eye Hospital, Theni",DNBOPHTHALMOLOGY,-,-,-,-,163,-,-,-,63772(1),-,-
DNB Sponsored,GEN,Jammu and Kashmir,"Govt Med Coll Hosp, Anantnag",DNBGENERAL SURGERY,-,-,-,-,363,-,-,-,63838(1),-,-
DNB Sponsored,GEN,Karnataka,"NarayanaHrudyalaya,Bommasandra",DNBCARDIOTHORACIC 6 YRS,"₹1,25,000","₹45,000",0,₹0,2000,62261(1),65320(1),-,64098(1),-,-
DNB Sponsored,GEN,Andhra Pradesh,"BalajiInstitute-BIRRD,Tirupati",DNBORTHOPAEDICS,-,-,-,-,250,-,-,-,65161(1),-,-
DNB Sponsored,GEN,Karnataka,"Nethradhama SS Eye Hosp, BLR",DNBOPHTHALMOLOGY,"₹1,25,000","₹45,000",0,₹0,127,17423(1),-,-,65837(1),-,-
DNB Sponsored,GEN,Karnataka,"Manipal Hosp, Rustum Bagh, BLR",DNBNEUROSURGERY 6 YRS,-,-,-,-,600,-,-,-,66100(1),-,-
DNB Sponsored,GEN,Delhi,"Indraprastha Apollo Hosp,Delhi",DNBANAESTHESIOLOGY,-,-,-,-,718,-,-,-,66461(1),-,-
DNB Sponsored,GEN,Jammu and Kashmir,"JLNM Hosp, Rainawari",DNBGENERAL SURGERY,-,-,-,-,200,-,-,-,66686(1),-,-
DNB Sponsored,GEN,Delhi,"MaxSmart SS(SaketCityH),Delhi",DNBANAESTHESIOLOGY,-,-,-,-,250,-,-,-,66872(1),-,-
DNB Sponsored,GEN,Jammu and Kashmir,"District Hospital, Ganderbal,JK",DNBGENERAL SURGERY,-,-,-,-,200,-,-,-,67759(1),-,-
