Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Tripura Govt Quota,SC,Tripura,"Agartala Med Coll, Agartala",ORTHOPAEDICS,"₹1,50,000*","₹55,200*",1*,"₹50,00,000*",580,33(1),-,-,-,-,-,-,-,-
Tripura Govt Quota,ST,Tripura,"Agartala Med Coll, Agartala",RADIO DIAGNOSIS,"₹1,50,000*","₹55,200*",1*,"₹50,00,000*",580,39(1),-,-,-,-,-,-,-,-
Tripura Govt Quota,SC,Tripura,"Agartala Med Coll, Agartala",GENERAL SURGERY,"₹1,50,000*","₹55,200*",1*,"₹50,00,000*",580,43(1),-,-,-,-,-,-,-,-
Tripura DNB Serv,SC,Tripura,"IGM Hospital, Agartala",DO(NBEMS),"₹1,25,000","₹42,000*",Info Not Available,Info not available,Info Not Available,-,-,45(1),-,-,-,-,-,-
Tripura Govt Quota,ST,Tripura,"Agartala Med Coll, Agartala",OPHTHALMOLOGY,"₹1,50,000*","₹55,200*",1*,"₹50,00,000*",580,47(1),28(1),46(1),-,-,-,-,-,-
Tripura Mgmt Quota,ST,Tripura,"Tripura Med Coll, Agartala",GENERAL MEDICINE,"₹23,65,500*","₹55,200",3*,"₹50,00,000*",490,-,-,54(1),-,-,-,-,-,-
Tripura Govt Quota,ST,Tripura,"Agartala Med Coll, Agartala",ENT,"₹1,50,000*","₹55,200*",1*,"₹50,00,000*",580,54(1),31(1),40(1),-,-,-,-,-,-
Tripura Govt Quota,UR-EWS,Tripura,"Agartala Med Coll, Agartala",PATHOLOGY,"₹1,50,000*","₹55,200*",1*,"₹35,00,000*",580,-,-,56(1),-,-,-,-,-,-
Tripura Govt Quota,SC,Assam,"Lokopriya (LGBRIMH),Tezpur",PSYCHIATRY,-,-,-,-,336,58(1),-,-,-,-,-,-,-,-
Tripura DNB Serv,ST,Tripura,"IGM Hospital, Agartala",DCH(NBEMS),"₹1,25,000","₹42,000*",Info Not Available,Info not available,Info Not Available,63(1),37(1),-,50(1),-,-,-,-,-
Tripura Mgmt Quota,SC,Tripura,"Tripura Med Coll, Agartala",GENERAL MEDICINE,"₹23,65,500*","₹55,200",3*,"₹50,00,000*",490,66(1),-,-,-,-,-,-,-,-
Tripura Govt Quota,SC,Tripura,"Agartala Med Coll, Agartala",RADIATION ONCOLOGY,"₹1,50,000*","₹55,200*",1*,"₹50,00,000*",580,67(1),36(1),-,-,-,-,-,-,-
Tripura Govt Quota,UR,Tripura,"Tripura Med Coll, Agartala",PHARMACOLOGY,"₹8,00,000*","₹55,200",3*,"₹50,00,000*",490,68(1),-,-,-,-,-,-,-,-
Tripura Govt Quota,ST,Tripura,"Agartala Med Coll, Agartala",FORENSIC MEDICINE,"₹1,50,000*","₹55,200*",1*,"₹35,00,000*",580,79(1),-,52(1),-,-,-,-,-,-
Tripura Govt Quota,SC,Tripura,"Agartala Med Coll, Agartala",SPM,"₹1,50,000*","₹55,200*",1*,"₹35,00,000*",580,80(1),-,53(1),44(1),-,-,-,-,-
