Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7
KER Govt Quota,BH,Kerala,"Medical College, Trivandrum",ORTHOPAEDICS,"₹69,470*","₹57,876",1*,"₹50,00,000*",2126,357(1),357(1),357(1),-,-,803(1),803(1),1526(1),-,-,-,-
KER Govt Quota,EZ,Kerala,"Govt Med Coll, Thrissur",OBG,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,-,-,-,-,-,819(1),899(1),1529(1),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"KMCT Med Coll, Kozhikode",EMERGENCY MEDICINE,"₹18,49,748*","₹53,000",0,₹0,790,1590(2),2302(2),2302(2),-,-,1414(1),1414(1),1546(1),-,-,-,-
KER Self Fin. Seats,SM,Kerala,"Pushpagiri IMS, Tiruvalla",PAEDIATRICS,"₹18,49,748*","₹43,000",0,₹0,955,1043(3),1605(3),1540(3),-,-,1098(1),1098(1),1576(1),-,-,-,-
KER Govt Quota,SC,Kerala,"TD Med Coll, Allepey",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,-,-,-,-,-,845(1),845(1),1614(1),-,-,-,-
KER Govt Quota,SM,Kerala,"RCC, Thiruvananthapuram",RADIATION ONCOLOGY,"₹3,00,000*","₹57,876",1*,"₹50,00,000*",432,1055(2),1209(2),2036(3),2149(1),-,944(2),1346(2),1630(2),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Thrissur",RADIATION ONCOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,1239(1),1560(1),2111(1),-,-,768(1),1507(1),1662(1),-,-,-,-
KER Govt Quota,SM,Kerala,"TD Med Coll, Allepey",OPHTHALMOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1050,-,-,-,-,-,908(2),1076(2),1673(2),-,-,-,-
KER Govt Quota,SM,Kerala,"Govt Med Coll, Thrissur",ANAESTHESIOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1400,918(6),1070(6),1137(6),-,-,905(4),1068(4),1680(4),-,-,-,-
KER Govt Quota,BH,Kerala,"Govt of Med Sci, Pariyaram",OPHTHALMOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,-,-,-,-,-,1636(1),1636(1),1718(1),2574(1),-,-,-
KER Govt Quota,SC,Kerala,"Govt of Med Sci, Pariyaram",GENERAL MEDICINE,"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,-,-,-,-,-,1129(1),1612(1),1719(1),-,-,-,-
