Counselling,Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,Fee Session,CR 2023 0,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 0,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5,CR 2024 6
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Career Instt of MS, Lucknow",MICROBIOLOGY,"₹1,00,000*",Info not available*,0,₹0,600,2024,-,-,-,4395(2),-,-,-,-,-,-,-,10028(1),-,-,10752(3),-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"FH Med Coll, Agra",SPM,"₹10,000*","₹45,000",0,₹0,932,2024,-,-,-,3812(2),1510(1),-,-,-,-,-,-,10036(3),-,-,9961(1),-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"TS Misra Med Coll, Lucknow",SPM,₹0*,"₹10,000",0,₹0,735,2024,-,-,-,3481(3),1491(1),-,-,-,-,-,-,10061(3),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Hind IMS, Barabanki",PHARMACOLOGY,₹0*,"₹35,000",1*,₹0*,580,2024,-,-,-,4261(4),1850(1),-,-,-,-,-,-,10063(1),-,-,10552(3),-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Rohilkhand Med Coll, Bareilly",MICROBIOLOGY,"₹1,00,000*","₹24,000*",0,₹0,720,2024,-,-,-,3986(2),1804(1),-,-,-,-,-,-,10072(1),-,-,10749(1),-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Heritage IMS, Varanasi",PHARMACOLOGY,"₹5,00,000*","₹21,000",0,₹0,735,2024,-,-,-,4452(2),1921(1),1172(1),-,-,-,-,-,10091(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"SMSR, Greater Noida",PHARMACOLOGY,"₹9,77,116*","₹32,000",0,₹0,1200,2024,-,-,-,3613(2),-,-,-,-,-,-,-,10109(2),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Rajshree MRI, Bareilly",SPM,"₹11,000*","₹32,000",1*,₹0*,740,2024,-,-,-,3654(3),-,-,-,-,-,-,-,10117(2),-,9910(1),-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Rajshree MRI, Bareilly",MICROBIOLOGY,"₹11,000*","₹32,000",1*,₹0*,740,2024,-,-,-,4116(3),-,-,-,-,-,-,-,10129(1),-,-,10795(2),-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"SRMS IMS, Bareilly",MICROBIOLOGY,"₹36,000*","₹32,000*",1*,₹0*,950,2024,-,-,-,4096(3),-,-,-,-,-,7142(1),7142(1),10146(3),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Career Instt of MS, Lucknow",ANATOMY,"₹1,00,000*",Info not available*,0,₹0,600,2024,-,-,-,4541(1),-,1196(1),-,-,-,-,-,10194(1),-,-,10596(1),-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Career Instt of MS, Lucknow",PHARMACOLOGY,"₹1,00,000*",Info not available*,0,₹0,600,2024,-,-,-,3133(1),-,-,-,-,-,-,-,10207(2),-,-,10547(1),-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Hind IMS, Barabanki",MICROBIOLOGY,"₹6,00,000*","₹35,000",1*,₹0*,580,2024,-,-,-,4462(4),-,-,-,-,-,-,-,10225(3),-,-,10186(1),-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Hind IMS, Barabanki",PHYSIOLOGY,₹0*,"₹35,000",1*,₹0*,580,2024,-,-,-,4471(2),2075(1),-,-,-,-,-,-,10252(1),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"SRMS IMS, Bareilly",FORENSIC MEDICINE,"₹36,000*","₹32,000*",1*,₹0*,950,2024,-,-,-,3604(3),927(2),866(2),-,-,-,-,-,10253(3),-,-,-,-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"IIMSR, Lucknow",SPM,"₹6,00,000*",Info not available*,0,₹0,540,2024,-,-,-,3723(2),1488(1),-,-,-,-,-,-,10258(2),-,-,10649(3),-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Rama Med Coll, Kanpur",SPM,"₹40,000*","₹30,000",0,₹0,730,2024,-,-,-,3580(6),1719(3),-,-,-,-,-,-,10259(4),-,-,10658(4),-
UP PG,UP Priv-Open Quota,UR,Uttar Pradesh,"Career Instt of MS, Lucknow",PHYSIOLOGY,"₹1,00,000*",Info not available*,0,₹0,600,2024,-,-,-,-,2003(1),-,-,-,-,-,-,10262(1),-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"VIMS (Vydehi), Bangalore",GENERAL MEDICINE,"₹13,88,744*","₹29,000*",1*,"₹50,00,000*",1600,2024,5810(2),4593(2),9231(2),-,-,-,-,-,6108(1),2758(1),7210(1),10274(1),-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"AJIMS, Mangalore",GENERAL MEDICINE,"₹13,88,744*","₹30,000",1*,"₹50,00,000*",910,2024,5435(1),4794(1),7617(1),-,-,-,-,-,5554(1),4835(1),6302(1),14097(1),-,18705(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Kempegowda IMS, Bangalore",PAEDIATRICS,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1100,2024,7073(2),7073(2),13607(2),-,-,-,-,-,8002(4),7657(4),12310(3),14138(1),-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Oxford Med Coll, Bangalore",GENERAL MEDICINE,"₹13,88,744*","₹30,000*",1*,"₹50,00,000*",770,2024,9677(1),6546(1),16185(1),17809(1),-,-,-,-,8681(1),6622(1),13883(1),15206(1),-,22744(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"SDM College, Dharwad",PAEDIATRICS,"₹28,75,650*","₹45,000*",1*,"₹50,00,000*",670,2024,16052(2),16052(2),30478(2),-,-,-,-,-,14761(1),8693(1),16150(1),18870(1),-,41125(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Navodaya Med Coll, Raichur",PAEDIATRICS,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",1110,2024,12391(1),11840(1),17072(1),-,-,-,-,-,14149(1),12544(1),18834(1),23289(1),-,23289(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Kempegowda IMS, Bangalore",TBRD,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1100,2024,-,-,-,-,-,-,-,-,9990(1),9990(1),-,26655(1),-,31148(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"SMC, Shimoga",OBG,"₹13,88,744*",Info not available,1*,"₹50,00,000*",1250,2024,-,-,-,22899(1),-,-,-,-,15130(1),14519(1),20071(1),28575(1),-,28575(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"SSIMS & RC, Davangere",TBRD,"₹13,88,744*","₹30,000",1*,"₹50,00,000*",1190,2024,14402(1),10459(1),22382(1),-,-,-,-,-,14727(1),14657(1),22943(1),29174(1),-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Kempegowda IMS, Bangalore",ORTHOPAEDICS,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1100,2024,13174(1),11083(1),17913(1),-,-,-,-,-,17007(3),16553(3),21205(3),29580(1),-,34672(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Father Mullers, Mangalore",PSYCHIATRY,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1250,2024,-,-,-,-,-,-,-,-,10763(1),10763(1),10763(1),30299(1),-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Shridevi IMS, Tumkur",OPHTHALMOLOGY,"₹13,88,744*",Info not available*,1*,"₹50,00,000*",750,2024,28280(1),24693(1),33349(1),79089(1),-,-,-,-,21262(1),21262(1),40115(1),31175(1),-,37192(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Al-Ameen, Bijapur",OBG,"₹13,88,744*","₹9,000*",1*,"₹50,00,000*",1040,2024,15039(1),11512(1),22013(1),20432(1),-,-,-,-,16076(1),15314(1),20896(1),33222(1),-,28111(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"MRMC, Gulbarga",PSYCHIATRY,"₹13,88,744*","₹8,000*",1*,"₹50,00,000*",1038,2024,-,-,-,-,-,-,-,-,23084(1),23084(1),23084(1),34239(1),-,34239(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"VIMS (Vydehi), Bangalore",ANAESTHESIOLOGY,"₹13,88,744*","₹29,000*",1*,"₹50,00,000*",1600,2024,-,-,-,-,-,-,-,-,26043(1),21258(1),36261(1),34266(1),-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"MVJMC&RH, Bangalore",GENERAL SURGERY,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",833,2024,14468(1),14468(1),25402(1),-,-,-,-,-,16848(1),16848(1),29289(1),35925(1),-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Kempegowda IMS, Bangalore",ANAESTHESIOLOGY,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1100,2024,23823(1),23114(1),35860(1),-,-,-,-,-,25435(4),24621(4),34702(4),36260(1),-,36932(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"MS Ramaiah, Bangalore",PATHOLOGY,"₹4,40,750*","₹45,000",1*,"₹50,00,000*",1331,2024,34341(1),32098(1),50176(1),-,-,-,-,-,36932(2),36040(2),36932(2),36932(1),-,40136(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Al-Ameen, Bijapur",ORTHOPAEDICS,"₹13,88,744*","₹9,000*",1*,"₹50,00,000*",1040,2024,18827(1),18236(1),37463(1),-,-,-,-,-,24615(1),24615(1),36729(1),37782(1),-,39987(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Oxford Med Coll, Bangalore",ANAESTHESIOLOGY,"₹13,88,744*","₹30,000*",1*,"₹50,00,000*",770,2024,33043(1),30858(1),55491(1),-,-,-,-,-,33936(1),29178(1),44958(1),40634(1),-,37782(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"East Point College,Bangalore",ANAESTHESIOLOGY,"₹13,88,744*","₹20,000",1*,"₹50,00,000*",-,2024,-,-,-,-,-,-,-,-,33942(2),31358(2),48023(2),40769(1),-,40769(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Akash IMS,Devanhalli,Bangalore",ENT,"₹13,88,744*","₹20,000",1*,"₹50,00,000*",760,2024,-,-,-,-,-,-,-,-,26492(1),26085(1),45182(1),42524(1),-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Srinivasa IMS, Srinivasanagar",PAEDIATRICS,"₹45,40,750*","₹29,000*",1*,"₹50,00,000*",660,2024,-,-,-,-,-,-,-,-,13124(1),19521(1),40058(1),44878(1),-,103884(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Nijalingappa, Bagalkot",PSYCHIATRY,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",1140,2024,-,-,-,-,-,-,-,-,30168(1),29995(1),52604(1),45818(1),-,57116(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Sapthagiri IMS&RC, Bangalore",DERMATOLOGY,"₹70,41,500*","₹10,000*",1*,"₹50,00,000*",500,2024,7125(1),15462(1),30628(1),80557(1),-,-,-,-,20195(1),20263(1),35692(1),53674(1),-,62193(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"DR BR Ambedkar, Bangalore",PATHOLOGY,"₹3,59,003*","₹10,000*",1*,"₹50,00,000*",570,2024,52743(2),52743(2),86104(3),-,121515(1),-,-,-,40852(1),40852(1),54364(1),54364(1),-,54364(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Srinivasa IMS, Srinivasanagar",OBG,"₹50,40,750*","₹29,000*",1*,"₹50,00,000*",660,2024,14463(1),9938(1),17447(1),-,-,-,-,-,16462(1),19766(1),67360(1),55817(1),-,102712(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Srinivasa IMS, Srinivasanagar",ANAESTHESIOLOGY,"₹35,40,750*","₹29,000*",1*,"₹50,00,000*",660,2024,29837(1),27964(1),46036(1),61995(1),-,-,-,-,38097(1),29220(1),77367(1),57389(1),-,71745(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"JJM Med Coll, Davangere",PATHOLOGY,"₹3,59,003*","₹30,000*",1*,"₹50,00,000*",1930,2024,57117(7),50176(7),153808(9),200121(4),129405(2),-,-,-,52307(6),42664(6),56209(5),59075(3),-,59075(2),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"SSIMS & RC, Davangere",ENT,"₹25,15,750*","₹30,000",1*,"₹50,00,000*",1190,2024,-,-,-,-,-,-,-,-,45215(1),39515(1),74525(2),60115(1),-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Father Mullers, Mangalore",RADIO DIAGNOSIS,"₹75,15,750*","₹35,000*",1*,"₹50,00,000*",1250,2024,-,-,63899(1),-,-,-,-,-,8547(1),17337(1),58255(1),61373(1),-,68540(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"SSIMS & RC, Davangere",PATHOLOGY,"₹3,59,003*","₹30,000",1*,"₹50,00,000*",1190,2024,58666(1),48321(1),151673(2),151673(1),170265(2),-,-,-,55822(2),53259(2),63200(2),63200(1),-,72365(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"JJM Med Coll, Davangere",EMERGENCY MEDICINE,"₹50,15,750*","₹30,000*",1*,"₹50,00,000*",1930,2024,-,-,-,118515(1),-,-,-,-,-,-,121210(1),64241(1),-,105693(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"BGS IMS, Bangalore",PATHOLOGY,"₹3,59,003*","₹25,000*",1*,"₹50,00,000*",766,2024,-,-,-,-,-,-,-,-,47610(1),43514(1),67547(1),67547(1),-,46659(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"JJM Med Coll, Davangere",PATHOLOGY,"₹3,59,003*","₹30,000*",1*,"₹50,00,000*",1930,2024,-,-,100430(1),188136(3),100430(1),-,-,-,49000(1),53992(1),78321(3),67720(1),-,105717(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Srinivasa IMS, Srinivasanagar",RADIO DIAGNOSIS,"₹70,40,750*","₹29,000*",1*,"₹50,00,000*",660,2024,-,-,-,-,-,-,-,-,5892(1),14731(1),51832(1),68540(1),-,70117(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"SDM College, Dharwad",PATHOLOGY,"₹5,40,750*","₹45,000*",1*,"₹50,00,000*",670,2024,-,-,-,-,141003(1),-,-,-,53190(1),53190(1),88230(2),69025(1),-,117714(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Kempegowda IMS, Bangalore",PATHOLOGY,"₹10,15,750*","₹35,000*",1*,"₹50,00,000*",1100,2024,-,-,-,-,-,-,-,-,57626(1),48819(1),99968(2),71583(1),-,108808(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Sapthagiri IMS&RC, Bangalore",GENERAL SURGERY,"₹32,41,500*","₹10,000*",1*,"₹50,00,000*",500,2024,24931(5),30228(5),80053(5),82306(1),-,-,-,-,28949(4),40813(4),70700(4),74226(2),-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Basaveswara, Chitradurga",TBRD,"₹65,15,750*","₹5,000*",1*,"₹50,00,000*",500,2024,-,-,-,-,-,-,-,-,-,-,-,76931(1),-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Sapthagiri IMS&RC, Bangalore",PAEDIATRICS,"₹60,41,500*","₹10,000*",1*,"₹50,00,000*",500,2024,18953(1),18953(1),58324(1),-,-,-,-,-,14558(1),14845(1),50832(1),78115(1),-,121776(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Sapthagiri IMS&RC, Bangalore",OPHTHALMOLOGY,"₹40,41,500*","₹10,000*",1*,"₹50,00,000*",500,2024,31436(2),35571(2),55056(2),-,-,-,-,-,31442(1),32127(1),69451(1),79247(1),-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"East Point College,Bangalore",PATHOLOGY,"₹3,59,003*","₹20,000",1*,"₹50,00,000*",-,2024,-,-,113070(1),199426(1),-,-,-,-,57935(1),47213(1),82954(1),82954(1),-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"JJM Med Coll, Davangere",GENERAL MEDICINE,"₹80,15,750*","₹30,000*",1*,"₹50,00,000*",1930,2024,-,-,129463(2),-,-,-,-,-,24074(4),52533(4),93013(6),82967(2),-,97434(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Father Mullers, Mangalore",GENERAL MEDICINE,"₹65,15,750*","₹35,000*",1*,"₹50,00,000*",1250,2024,-,-,62072(2),-,-,-,-,-,5253(1),5253(1),56747(1),84730(1),-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"MS Ramaiah, Bangalore",PHARMACOLOGY,"₹2,32,777*","₹45,000",1*,"₹50,00,000*",1331,2024,97328(1),45423(1),99034(1),-,-,-,-,-,46223(1),53463(1),84827(1),84827(2),-,66172(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"BGS IMS, Bangalore",OPHTHALMOLOGY,"₹45,15,750*","₹25,000*",1*,"₹50,00,000*",766,2024,-,-,47531(1),139677(1),-,-,-,-,-,-,102113(1),87727(1),-,108355(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Srinivasa IMS, Srinivasanagar",GENERAL MEDICINE,"₹55,40,750*","₹29,000*",1*,"₹50,00,000*",660,2024,-,-,-,-,-,-,-,-,10985(3),17058(3),54695(3),90412(3),-,87176(2),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Nijalingappa, Bagalkot",PATHOLOGY,"₹3,59,003*","₹10,000*",1*,"₹50,00,000*",1140,2024,86067(2),53993(2),175496(5),-,187073(3),-,-,-,62687(3),61100(3),87295(3),90695(2),-,105450(2),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Sapthagiri IMS&RC, Bangalore",OBG,"₹62,41,500*","₹10,000*",1*,"₹50,00,000*",500,2024,18858(2),19917(2),89401(2),-,-,-,-,-,18723(4),34594(4),83908(4),91400(1),-,91400(1),127138(1),-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"St John's, Bangalore",MICROBIOLOGY,"₹3,09,025*","₹45,000",1*,"₹5,00,000*",1720,2024,44548(1),44548(1),-,-,-,-,-,-,47189(1),47189(1),99930(2),92500(2),-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"St John's, Bangalore",SPM,"₹7,59,025*","₹45,000",1*,"₹5,00,000*",1720,2024,55917(2),62951(2),196672(7),180425(2),178460(1),-,-,-,48724(3),50754(3),66814(4),93629(2),-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"MS Ramaiah, Bangalore",GENERAL MEDICINE,"₹95,40,750*","₹45,000",1*,"₹50,00,000*",1331,2024,-,-,102775(2),-,-,-,-,-,15419(2),55927(2),104179(3),94708(1),-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Kempegowda IMS, Bangalore",ANAESTHESIOLOGY,"₹40,15,750*","₹35,000*",1*,"₹50,00,000*",1100,2024,-,-,-,-,-,-,-,-,53243(2),66722(2),126926(6),95037(2),-,87028(1),120530(1),-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"AIMS, Adichunchanagiri, Bellur",PAEDIATRICS,"₹70,15,750*","₹23,750",1*,"₹50,00,000*",1120,2024,-,-,-,-,-,-,-,-,62525(1),74808(1),126108(1),96569(1),-,120159(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"JJM Med Coll, Davangere",PAEDIATRICS,"₹80,15,750*","₹30,000*",1*,"₹50,00,000*",1930,2024,-,-,131720(1),-,-,-,-,-,17973(2),40067(2),116302(4),97176(2),-,135866(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"SSIMS & RC, Davangere",GENERAL MEDICINE,"₹70,15,750*","₹30,000",1*,"₹50,00,000*",1190,2024,-,-,113713(1),131938(1),-,-,-,-,21259(1),24230(1),84083(2),97434(2),-,117415(2),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Navodaya Med Coll, Raichur",PATHOLOGY,"₹10,15,750*","₹10,000*",1*,"₹50,00,000*",1110,2024,-,-,-,-,158228(1),-,-,-,-,-,-,97584(1),-,97584(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"AIMS, Adichunchanagiri, Bellur",ENT,"₹40,15,750*","₹23,750",1*,"₹50,00,000*",1120,2024,-,-,106018(1),-,-,-,-,-,-,-,103292(1),97751(1),-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Sapthagiri IMS&RC, Bangalore",GENERAL MEDICINE,"₹62,41,500*","₹10,000*",1*,"₹50,00,000*",500,2024,14125(4),18510(4),87138(4),95063(2),-,-,-,-,17244(4),23528(4),59463(4),98343(2),-,89795(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"SSIMS & RC, Davangere",OBG,"₹70,15,750*","₹30,000",1*,"₹50,00,000*",1190,2024,-,-,-,-,-,-,-,-,16026(1),48985(1),106107(2),100088(1),-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"SSIMS & RC, Davangere",PATHOLOGY,"₹3,59,003*","₹30,000",1*,"₹50,00,000*",1190,2024,-,-,-,-,153904(1),-,-,-,-,-,100272(1),100272(1),-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"DR BR Ambedkar, Bangalore",ENT,"₹45,15,750*","₹10,000*",1*,"₹50,00,000*",570,2024,-,-,-,-,-,-,-,-,55012(1),86029(1),94140(1),100749(1),-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"MRMC, Gulbarga",GENERAL SURGERY,"₹60,15,750*","₹8,000*",1*,"₹50,00,000*",1038,2024,-,-,134338(1),-,-,-,-,-,38224(1),57201(1),-,102025(1),-,130331(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"BGS IMS, Bangalore",PAEDIATRICS,"₹80,15,750*","₹25,000*",1*,"₹50,00,000*",766,2024,-,-,26268(1),162927(1),-,-,-,-,10824(1),44216(1),-,102649(1),-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"SSIMS & RC, Davangere",OPHTHALMOLOGY,"₹40,15,750*","₹30,000",1*,"₹50,00,000*",1190,2024,-,-,-,-,-,-,-,-,-,-,-,102994(1),-,104211(1),-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Sapthagiri IMS&RC, Bangalore",ORTHOPAEDICS,"₹40,41,500*","₹10,000*",1*,"₹50,00,000*",500,2024,22240(2),23263(2),74826(2),-,-,-,-,-,34592(2),36322(2),62822(2),103442(2),-,103442(2),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Sapthagiri IMS&RC, Bangalore",OPHTHALMOLOGY,"₹40,41,500*","₹10,000*",1*,"₹50,00,000*",500,2024,-,-,106062(1),-,-,-,-,-,-,-,-,103495(1),-,120177(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Father Mullers, Mangalore",ANAESTHESIOLOGY,"₹50,15,750*","₹35,000*",1*,"₹50,00,000*",1250,2024,-,-,127204(1),125206(1),-,-,-,-,42361(1),69865(1),70432(1),105229(2),-,-,-,-
KAR PG (KEA),KAR Priv Seats-Open,OPN,Karnataka,"Nijalingappa, Bagalkot",DCP,"₹3,59,003*","₹10,000*",1*,"₹50,00,000*",1140,2024,-,-,-,-,192650(1),-,-,-,105450(1),67720(1),-,105450(1),-,179633(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"SDM College, Dharwad",SPM,"₹1,15,750*","₹45,000*",1*,"₹50,00,000*",670,2024,-,-,-,-,-,-,188063(1),-,86703(1),62804(1),106096(1),106096(1),-,106096(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"BGS IMS, Bangalore",GENERAL MEDICINE,"₹85,15,750*","₹25,000*",1*,"₹50,00,000*",766,2024,-,-,-,-,-,-,-,-,17325(1),68136(1),115763(2),106239(1),-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"MS Ramaiah, Bangalore",SPM,"₹2,32,777*","₹45,000",1*,"₹50,00,000*",1331,2024,-,-,146522(1),-,-,-,-,-,-,-,108060(1),108060(1),-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"VIMS (Vydehi), Bangalore",OBG,"₹80,15,750*","₹29,000*",1*,"₹50,00,000*",1600,2024,-,-,29194(1),130316(1),-,-,-,-,35058(2),54175(2),119856(3),108283(3),-,97170(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"AJIMS, Mangalore",ENT,"₹50,15,750*","₹30,000",1*,"₹50,00,000*",910,2024,-,-,-,-,-,-,-,-,-,-,102616(1),108554(1),-,102798(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"DR BR Ambedkar, Bangalore",OBG,"₹90,15,750*","₹10,000*",1*,"₹50,00,000*",570,2024,-,-,112625(1),-,-,-,-,-,44832(1),63595(1),96332(1),108557(1),-,144132(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"SDM College, Dharwad",GENERAL SURGERY,"₹60,15,750*","₹45,000*",1*,"₹50,00,000*",670,2024,-,-,-,-,-,-,-,-,-,-,-,109614(1),-,-,-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"VIMS (Vydehi), Bangalore",DERMATOLOGY,"₹1,25,15,750*","₹29,000*",1*,"₹50,00,000*",1600,2024,-,-,142391(1),-,-,-,-,-,17751(1),31175(1),92680(2),109841(3),-,145400(1),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"Al-Ameen, Bijapur",GENERAL MEDICINE,"₹65,15,750*","₹9,000*",1*,"₹50,00,000*",1040,2024,-,-,105223(1),96184(1),-,-,-,-,57102(3),61405(3),107637(6),110103(2),-,114584(2),-,-
KAR PG (KEA),KAR Others (Inst.Q),MNG,Karnataka,"MRMC, Gulbarga",PATHOLOGY,"₹7,15,750*","₹8,000*",1*,"₹50,00,000*",1038,2024,-,-,151636(1),-,189556(3),-,-,-,57799(1),57799(1),-,110218(3),-,98337(2),-,-
