Counselling,Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,Fee Session,CR 2023 0,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 0,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5,CR 2024 6
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",PAEDIATRICS,"₹14,02,000*","₹56,100",0,₹0,-,2024,-,496(2),497(2),303(2),139(1),384(1),-,-,-,747(2),464(2),145(2),-,68(1),-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"NC Med Coll, Panipat",GENERAL SURGERY,"₹14,02,000*","₹40,000",0,₹0,680,2024,-,596(2),402(2),379(1),-,-,-,-,-,1014(3),558(3),148(1),-,-,-,-
Punjab PG,PB Priv-DMC Mgmt,GEN,Punjab,"DMC, Ludhiana",ORTHOPAEDICS,"₹6,50,000*","₹50,000",0,₹0,1326,2024,-,108(1),126(1),123(1),-,-,-,-,-,106(1),184(1),149(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"Al Falah SchooloffMS,Faridabad",GENERAL MEDICINE,"₹29,90,000*","₹55,000",0,₹0,-,2024,-,459(3),542(5),346(5),143(2),234(1),-,-,-,837(4),685(4),151(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Bhaskar Med Coll, Yenkapally",GENERAL MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",850,2024,-,188(2),223(2),227(2),227(2),227(2),227(2),-,-,115(2),152(2),152(2),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"Adesh Med Coll, Shahabad",PSYCHIATRY,"₹14,02,000*","₹44,000",0,₹0,775,2024,-,643(2),413(1),-,-,-,-,-,-,881(1),519(1),152(1),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"PES IMS, Kuppam",GENERAL MEDICINE,"₹9,93,600*","₹30,000*",1*,Info not available*,975,2024,-,20(1),88(1),-,-,-,-,-,-,23(1),78(1),153(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Bhaskar Med Coll, Yenkapally",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",850,2024,-,93(2),96(2),96(2),96(2),96(2),96(2),-,-,77(2),92(2),153(2),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"SGGST Med Coll, Gurgaon",PAEDIATRICS,"₹32,00,000*","₹56,100",Info Not Available,Info not available,720,2024,-,647(2),493(2),260(1),-,-,-,-,-,1042(2),521(2),154(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"Adesh Med Coll, Shahabad",TBRD,"₹14,02,000*","₹44,000",0,₹0,775,2024,-,-,-,-,-,-,-,-,-,840(1),522(1),155(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Apollo IMSR, Hyderabad",PAEDIATRICS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",570,2024,-,144(1),155(1),155(1),155(1),155(1),155(1),-,-,42(1),159(1),159(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"NC Med Coll, Panipat",OPHTHALMOLOGY,"₹14,02,000*","₹40,000",0,₹0,680,2024,-,-,-,-,-,-,-,-,-,871(1),540(1),164(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"Al Falah SchooloffMS,Faridabad",DERMATOLOGY,"₹32,90,000*","₹55,000",0,₹0,-,2024,-,493(2),454(2),-,-,-,-,-,-,687(2),609(2),178(1),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Narayana Med Coll, Nellore",GENERAL MEDICINE,"₹9,93,600*","₹40,000*",1*,Info not available*,1430,2024,-,10(1),70(1),-,-,-,-,-,-,22(1),22(1),182(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata Med Coll, Khammam",RADIO DIAGNOSIS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1080,2024,-,78(2),129(2),129(2),129(2),129(2),129(2),-,-,78(3),112(3),182(3),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",OBG,"₹14,02,000*","₹56,100",0,₹0,-,2024,-,653(3),570(3),357(3),145(1),-,-,-,-,828(4),467(4),182(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni IMS, Narketpally",GENERAL MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,145(2),190(2),233(2),233(2),233(2),233(2),-,-,180(2),184(2),184(2),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Alluri Sitaram Raju, Eluru",GENERAL MEDICINE,"₹9,93,600*","₹30,000*",1*,Info not available*,1200,2024,-,15(1),141(1),-,-,-,-,-,-,8(1),29(1),188(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Bhaskar Med Coll, Yenkapally",DERMATOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",850,2024,-,123(1),131(1),139(1),139(1),139(1),139(1),-,-,193(1),193(1),193(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Prathima IMS, Karimnagar",GENERAL MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,2024,-,157(6),181(6),193(6),193(6),193(6),193(6),-,-,110(5),109(5),194(5),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"Adesh Med Coll, Shahabad",ENT,"₹14,02,000*","₹44,000",0,₹0,775,2024,-,871(1),721(1),-,153(1),-,-,-,-,800(1),600(1),197(1),-,-,-,-
AP Mgmt PG,APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",GENERAL MEDICINE,"₹9,93,600*","₹27,000*",1*,Info not available*,790,2024,-,23(1),152(1),-,-,-,-,-,-,25(1),47(1),200(1),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"SGGST Med Coll, Gurgaon",GENERAL MEDICINE,"₹35,00,000*","₹56,100",Info Not Available,Info not available,720,2024,-,613(5),406(4),-,-,-,-,-,-,945(5),610(5),202(2),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni (KAMSRC), Hyderabad",DERMATOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",650,2024,-,44(1),117(1),117(1),117(1),117(1),117(1),-,-,111(1),104(1),206(1),-,-,-,-
UK PG,UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",RADIO DIAGNOSIS,"₹32,00,000*","₹59,065",1,"₹10,00,000",750,2024,-,124(3),98(2),22(2),-,-,-,-,-,107(6),200(4),207(4),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Dr Patnam MRInstofMS,Chevella",GENERAL MEDICINE,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",-,2024,-,208(2),299(2),384(2),647(2),647(2),647(2),-,-,187(2),208(2),208(2),-,-,-,-
Haryana PG,HAR Priv-Mgmt,MNG,Haryana,"Al Falah SchooloffMS,Faridabad",PAEDIATRICS,"₹29,90,000*","₹55,000",0,₹0,-,2024,-,502(1),577(1),373(1),-,-,-,-,-,948(1),688(1),209(1),-,94(1),45(1),-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mamata Med Coll, Khammam",DERMATOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1080,2024,-,73(1),94(1),94(1),94(1),94(1),94(1),-,-,212(1),212(1),212(1),-,-,-,-
TEL Mgmt PG,TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni (KAMSRC), Hyderabad",PAEDIATRICS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",650,2024,-,187(1),204(1),274(1),274(1),274(1),274(1),-,-,44(1),215(1),215(1),-,-,-,-
