Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4
AP Govt-NS LOC (AU),OPEN-FEM,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1450,201(1),-,-,-,-,-,-,131(1),266(1),295(1),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"Rajiv Gandhi IMS, Ongole",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",500,-,-,-,-,-,-,-,90(1),160(1),299(1),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1450,190(1),484(1),-,-,-,-,-,165(1),267(2),301(2),-
AP Govt-NS LOC (SVU),OPEN-GEN,Andhra Pradesh,"Govt Med Coll, Ananthapuram",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",500,-,-,-,-,-,-,-,126(1),172(1),310(2),-
AP Govt-NS APUR,BCD-GEN,Andhra Pradesh,"Guntur Med Coll, Guntur",DERMATOLOGY,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,-,-,-,-,-,-,-,248(1),309(1),311(1),-
AP Govt-NS LOC (SVU),OPEN-GEN-PHO,Andhra Pradesh,"ACSR Medical College, Nellore",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",355,-,-,-,-,-,-,-,-,189(1),314(1),-
AP Govt-NS LOC (AU),BCA-GEN,Andhra Pradesh,"Guntur Med Coll, Guntur",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,-,-,-,-,-,-,-,168(1),313(1),315(1),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"NRI Med Coll, Guntur",GENERAL MEDICINE,"₹4,96,800*","₹27,000*",1*,"₹40,00,000*",1050,161(1),430(2),-,-,-,-,-,169(1),169(1),317(2),-
AP Govt-NS LOC (AU),BCD-FEM,Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",532,-,-,-,-,-,-,-,-,117(1),324(1),-
AP Govt-NS LOC (AU),OPEN-FEM,Andhra Pradesh,"Andhra Med Coll, Vizag",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1030,179(1),192(1),-,-,-,-,-,110(1),210(1),327(1),-
AP Govt-NS LOC (SVU),BCE-FEM,Andhra Pradesh,"SV Med Coll, Tirupati",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",940,-,-,-,-,-,-,-,326(1),326(1),328(1),-
AP Govt-NS LOC (SVU),BCA-GEN,Andhra Pradesh,"Kurnool Med Coll, Kurnool",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1150,-,-,-,-,-,-,-,329(1),329(1),331(1),-
AP Govt-NS LOC (AU),OPEN-FEM,Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",GENERAL MEDICINE,"₹4,96,800*","₹28,000*",1*,"₹40,00,000*",790,300(1),661(2),-,-,-,-,-,-,-,333(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"Guntur Med Coll, Guntur",PAEDIATRICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1170,-,-,-,-,-,-,-,118(1),246(1),339(1),-
AP Govt-NS LOC (SVU),OPEN-GEN,Andhra Pradesh,"ACSR Medical College, Nellore",ORTHOPAEDICS,"₹48,600*","₹60,823",1*,"₹40,00,000*",355,-,-,-,-,-,-,-,-,-,341(1),-
AP Govt-NS APUR,OPEN-FEM,Andhra Pradesh,"Maharajah IMS, Vizianagaram",RADIO DIAGNOSIS,"₹4,96,800*",Info not available*,1*,"₹40,00,000*",850,-,-,-,-,-,-,-,342(1),439(1),344(1),-
AP Govt-NS LOC (SVU),OPEN-FEM,Andhra Pradesh,"ACSR Medical College, Nellore",GENERAL MEDICINE,"₹48,600*","₹60,823",1*,"₹40,00,000*",355,-,-,-,-,-,-,-,140(1),178(1),351(1),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"GVP Med Coll, Vizag",RADIO DIAGNOSIS,"₹4,96,800*","₹30,000*",1*,"₹40,00,000*",750,-,-,-,-,-,-,-,497(1),351(1),353(1),-
AP Govt-NS LOC (AU),OPEN-GEN,Andhra Pradesh,"GVP Med Coll, Vizag",DERMATOLOGY,"₹4,96,800*","₹30,000*",1*,"₹40,00,000*",750,-,-,-,-,-,-,-,352(1),352(1),354(1),-
AP Govt-NS APUR,OPEN-GEN,Andhra Pradesh,"GSL Med Coll, Rajahmundry",RADIO DIAGNOSIS,"₹4,96,800*","₹30,000*",1*,"₹40,00,000*",1140,-,-,-,-,-,-,-,191(1),355(1),357(1),-
AP Govt-NS LOC (AU),BCB-GEN,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",RADIO DIAGNOSIS,"₹48,600*","₹60,823",1*,"₹40,00,000*",1450,-,-,-,-,-,-,-,114(1),143(1),360(1),-
AP Govt-NS APUR,BCD-GEN,Andhra Pradesh,"Govt Siddhartha, Vijaywada",DERMATOLOGY,"₹48,600*","₹60,823",1*,"₹40,00,000*",707,-,-,-,-,-,-,-,306(1),359(1),361(1),-
