Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 3.5,CR 2024 4,CR 2024 5
TN Mgmt Quota,GEN,Tamil Nadu,"KarpagaVinayaga,Maduranthagam",TBRD,"₹15,50,000*","₹10,000*",0,₹0,550,-,-,-,-,-,758(1),922(1),922(1),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",PAEDIATRICS,"₹65,470*","₹51,000",3,"₹40,00,000",2879,482(7),544(7),544(7),-,-,810(7),932(7),932(7),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",OPHTHALMOLOGY,"₹65,470*","₹51,000",2,"₹40,00,000",2879,1161(1),1161(1),1161(1),-,-,940(1),940(1),940(1),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",SPM,"₹65,470*","₹51,000",2,"₹40,00,000",2879,1304(1),1755(1),1755(1),-,-,943(1),943(1),943(1),-,-,-
TN CMC-Minority Network,CMC-Minority Network,Tamil Nadu,"CMC, Vellore",ORTHOPAEDICS,"₹65,470*","₹51,000",3,"₹40,00,000",2879,1096(4),1096(4),1178(4),-,-,969(4),969(4),969(4),-,-,-
TN Mgmt-Telugu Min,Telugu Minority,Tamil Nadu,"Sri Muthukumaran, Chennai",OBG,"₹15,50,000*","₹25,000",0,₹0,720,793(1),617(1),617(1),-,-,976(1),976(1),976(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Dhanalakshmi Srin, Perambalur",GENERAL MEDICINE,"₹15,50,000*","₹35,000*",0,₹0,800,144(1),679(1),514(1),-,-,259(1),441(1),990(1),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"Tagore Med Coll, Chennai",PAEDIATRICS,"₹15,50,000*","₹35,000*",0,₹0,818,-,-,-,-,-,561(1),561(1),1013(1),-,-,-
TN CMC-Service,CMC-Service,Tamil Nadu,"CMC, Vellore",ANAESTHESIOLOGY,"₹65,470*","₹51,000",2,"₹40,00,000",2879,1076(2),1076(2),1076(2),-,-,1030(2),1030(2),1030(2),-,-,-
TN Mgmt Quota,GEN,Tamil Nadu,"PSG IMS, Coimbatore",ENT,"₹15,50,000*","₹25,000*",0,₹0,1130,338(1),567(1),567(1),-,-,518(1),702(1),1041(1),-,2354(1),-
