Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2024 1,CR 2024 2,CR 2024 3
JNIMS-Spons (Common),OBC M,Manipur,"JNIMS, Imphal",ORTHOPAEDICS,"₹1,00,000","₹50,000",0*,₹0*,643,6(1),-,-,-,-,-,-
JNIMS-Spons (Common),UR,Manipur,"JNIMS, Imphal",DERMATOLOGY,"₹1,00,000","₹50,000",0*,₹0*,643,8(1),-,-,-,-,-,-
JNIMS-Open,UR,Manipur,"JNIMS, Imphal",RADIO DIAGNOSIS,"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,3(1),9(1),-,-,-,-,-
JNIMS-Open,OBC MP,Manipur,"JNIMS, Imphal",OBG,"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,15(1),-,-,-,-,-,-
JNIMS-Spons (Common),UR,Manipur,"JNIMS, Imphal",OPHTHALMOLOGY,"₹1,00,000","₹50,000",0*,₹0*,643,18(1),-,-,-,-,-,-
JNIMS-Open,UR,Manipur,"JNIMS, Imphal",PSYCHIATRY,"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,13(1),13(1),20(1),-,-,-,-
JNIMS-Spons (Common),ST,Manipur,"JNIMS, Imphal",OBG,"₹1,00,000","₹50,000",0*,₹0*,643,13(1),-,21(1),-,-,-,-
JNIMS-Spons (Common),ST,Manipur,"JNIMS, Imphal",GENERAL SURGERY,"₹1,00,000","₹50,000",0*,₹0*,643,21(1),-,22(1),-,-,-,-
JNIMS-Open,OBC M,Manipur,"JNIMS, Imphal",GENERAL SURGERY,"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,10(1),25(1),-,27(1),-,-,-
JNIMS-Spons (Common),ST,Manipur,"JNIMS, Imphal",ANAESTHESIOLOGY,"₹1,00,000","₹50,000",0*,₹0*,643,29(1),-,-,-,-,-,-
JNIMS-Spons (Common),ST,Manipur,"JNIMS, Imphal",SPM,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,32(1),-,-,-,-
JNIMS-Spons (Common),OBC M,Manipur,"JNIMS, Imphal",PATHOLOGY,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,45(1),-,-,-
JNIMS-Spons (Common),UR,Manipur,"JNIMS, Imphal",MICROBIOLOGY,"₹1,00,000","₹50,000",0*,₹0*,643,53(1),-,-,-,-,-,-
JNIMS-Open,UR,Manipur,"JNIMS, Imphal",PATHOLOGY,"₹1,00,000","₹50,000",0*,₹0*,643,55(1),-,-,-,-,-,-
JNIMS-Spons (Common),OBC M,Manipur,"JNIMS, Imphal",PHARMACOLOGY,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,59(1),-,-,-,-
JNIMS-Open,OBC M,Manipur,"JNIMS, Imphal",ANAESTHESIOLOGY,"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,36(1),-,41(1),62(1),-,-,-
JNIMS-Open,SC,Manipur,"JNIMS, Imphal",OBG,"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,83(1),-,-,-,-,-,-
JNIMS-Open,ST,Manipur,"JNIMS, Imphal",OPHTHALMOLOGY,"₹1,00,000","₹50,000",1*,"₹20,00,000*",643,98(1),-,-,-,-,-,-
JNIMS-Open,OBC M,Manipur,"JNIMS, Imphal",COMMUNITY & FAMILY MEDICINE,-,-,-,-,643,-,107(1),-,-,-,-,-
JNIMS-Open,UR,Manipur,"JNIMS, Imphal",BIOCHEMISTRY,"₹1,00,000","₹50,000",0*,₹0*,643,94(1),-,133(1),-,-,-,-
JNIMS-Open,UR,Manipur,"JNIMS, Imphal",FORENSIC MEDICINE,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,142(1),-,-,-
JNIMS-Open,UR,Manipur,"JNIMS, Imphal",ANATOMY,"₹1,00,000","₹50,000",0*,₹0*,643,-,-,-,143(1),-,-,-
