Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Malla Reddy(Women), Hyderabad",OPHTHALMOLOGY,-,-,-,-,1050,410(1),599(1),599(1),599(1),599(1),599(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Bhaskar Med Coll, Yenkapally",TBRD,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",850,424(1),488(1),604(1),627(1),627(1),627(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni IMS, Narketpally",TBRD,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1060,391(1),517(1),629(1),629(1),629(1),629(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Malla Reddy(Women), Hyderabad",GENERAL SURGERY,-,-,-,-,1050,448(1),498(1),633(1),633(1),633(1),633(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1-MSM,Telangana,"DrVRK Womens MedColl,Aziznagar",TBRD,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",500,691(1),772(1),772(1),772(1),772(1),772(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Kamineni (KAMSRC), Hyderabad",RADIATION ONCOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",650,722(1),806(1),806(1),806(1),806(1),806(1),-,-,-,-,-,-
TELMgmt-MQ3-CatC-Inst,MQ3,Telangana,"Apollo IMSR, Hyderabad",GENERAL SURGERY,"₹69,00,000*",Info not available*,1*,"₹20,00,000*",570,-,-,-,-,-,819(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"RVM IMSRC, Siddipet",ORTHOPAEDICS,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1110,464(1),822(1),822(1),822(1),822(1),822(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Malla Reddy(Women), Hyderabad",ORTHOPAEDICS,-,-,-,-,1050,347(1),515(1),830(1),830(1),830(1),830(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Bhaskar Med Coll, Yenkapally",PSYCHIATRY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",850,810(1),906(1),906(1),906(1),906(1),906(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"SVS Med Coll, Mehboobnagar",ENT,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",760,684(1),765(1),941(1),941(1),941(1),941(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"SVS Med Coll, Mehboobnagar",TBRD,"₹72,00,000*",Info not available*,1*,"₹20,00,000*",760,847(1),947(1),947(1),947(1),947(1),947(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"SVS Med Coll, Mehboobnagar",PSYCHIATRY,"₹24,00,000*",Info not available*,1*,"₹20,00,000*",760,771(1),981(1),981(1),981(1),981(1),981(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mahavir Inst of MS, Vikarabad",GENERAL SURGERY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",700,565(1),633(1),982(1),982(1),982(1),982(1),-,-,-,-,-,-
TELMgmt-MQ2-CatC-NRI,MQ2,Telangana,"Malla Reddy IMS, Hyderabad",RADIO DIAGNOSIS,-,-,-,-,940,732(2),993(2),993(2),993(2),993(2),993(2),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Malla Reddy IMS, Hyderabad",PSYCHIATRY,-,-,-,-,940,840(1),1051(1),933(1),933(1),933(1),933(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Malla Reddy IMS, Hyderabad",ANAESTHESIOLOGY,-,-,-,-,940,713(6),803(6),1102(6),1102(6),1102(6),1102(6),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"RVM IMSRC, Siddipet",OPHTHALMOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",1110,490(1),735(1),1103(1),1103(1),1103(1),1103(1),-,-,-,-,-,-
TELMgmt-MQ1-CatB-All,MQ1,Telangana,"Mediciti IMS, Ghanpur",OPHTHALMOLOGY,"₹23,00,000*",Info not available*,1*,"₹20,00,000*",720,481(1),714(1),1110(1),1110(1),1110(1),1110(1),-,-,-,-,-,-
