Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
HP Govt Quota,SC-GDO,Himachal Pradesh,"IGMC, Shimla",DERMATOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,111(1),-,-,-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"IGMC, Shimla",RADIO DIAGNOSIS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,11(4),23(4),-,-,-,117(3),-,-,-,-
HP Govt Quota,EWS,Himachal Pradesh,"RPG, Tanda",ORTHOPAEDICS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,100(1),138(1),-,-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"RPG, Tanda",DERMATOLOGY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,109(2),163(1),-,-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"RPG, Tanda",RADIO DIAGNOSIS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,17(1),30(1),-,-,-,173(1),-,-,-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"RPG, Tanda",GENERAL MEDICINE,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,19(2),36(2),-,-,-,209(2),-,-,-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"IGMC, Shimla",ORTHOPAEDICS,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,21(1),40(1),-,-,-,237(1),-,-,-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"IGMC, Shimla",ENT,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,46(1),86(1),50(1),-,-,245(1),-,-,-,-
HP Private-StateQuota,GEN,Himachal Pradesh,"MMU, Solan",RADIO DIAGNOSIS,"₹33,39,600*","₹40,000",1,"₹10,00,000",720,-,-,-,-,-,201(1),250(1),-,-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"RPG, Tanda",PSYCHIATRY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",802,-,-,-,-,-,163(1),278(1),-,-,-
HP Priv All,GEN,Himachal Pradesh,"MMU, Solan",RADIO DIAGNOSIS,"₹33,39,600*","₹40,000",1,"₹10,00,000",720,4(1),317(3),-,-,-,66(3),298(3),-,-,-
HP Govt Quota,SC,Himachal Pradesh,"IGMC, Shimla",GENERAL SURGERY,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,-,-,-,-,-,78(1),312(1),-,-,-
HP Govt Quota,GEN-GDO,Himachal Pradesh,"IGMC, Shimla",TBRD,"₹39,000*","₹40,000*",3*,"₹40,00,000*",1031,35(1),-,-,-,-,285(1),351(1),-,-,-
