Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Alluri Sitaram Raju, Eluru",OBG,"₹9,93,600*","₹30,000*",1*,Info not available*,1200,35(1),356(1),-,-,-,-,-,147(1),149(1),520(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",PAEDIATRICS,"₹9,93,600*","₹27,000*",1*,Info not available*,790,199(1),885(1),-,-,-,-,-,310(1),256(1),521(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Santhiram Med Coll, Nandyal",GENERAL MEDICINE,"₹9,93,600*","₹30,000*",1*,Info not available*,930,120(2),267(2),-,-,-,-,-,169(1),186(1),530(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"NRI Med Coll, Guntur",OPHTHALMOLOGY,"₹9,93,600*","₹27,000*",1*,Info not available*,1050,647(1),1697(1),2403(1),-,-,-,-,539(1),539(1),545(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"GreatEastern MedSch,Srikakulam",RADIO DIAGNOSIS,"₹9,93,600*",Info not available*,1*,Info not available*,780,123(3),454(3),-,-,-,-,-,116(2),182(2),550(2),87(1)
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"NRI Inst of Med Sci, Vizag",GENERAL MEDICINE,"₹9,93,600*","₹40,000*",1*,Info not available*,980,142(3),423(3),-,-,-,-,-,165(3),199(3),557(3),96(1)
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Konaseema IMS, Amalapuram",GENERAL MEDICINE,"₹9,93,600*","₹30,000*",1*,Info not available*,840,146(3),609(3),-,-,-,-,-,164(3),164(3),561(3),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"GVP Med Coll, Vizag",OBG,"₹9,93,600*","₹30,000*",1*,Info not available*,750,326(1),1575(1),-,-,-,-,-,408(1),590(1),596(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"NRI Inst of Med Sci, Vizag",RADIO DIAGNOSIS,"₹9,93,600*","₹40,000*",1*,Info not available*,980,67(1),391(1),-,-,-,-,-,97(1),162(1),604(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Konaseema IMS, Amalapuram",RADIO DIAGNOSIS,"₹9,93,600*","₹30,000*",1*,Info not available*,840,132(3),318(3),-,-,-,-,-,106(3),180(3),606(3),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Katuri Med Coll, Guntur",RADIO DIAGNOSIS,"₹9,93,600*",Info not available*,1*,Info not available*,1100,61(1),258(1),-,-,-,-,-,112(1),140(1),625(1),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"GSL Med Coll, Rajahmundry",PAEDIATRICS,"₹9,93,600*","₹30,000*",1*,Info not available*,1140,107(1),826(1),-,-,-,-,-,71(1),207(1),643(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"GSL Med Coll, Rajahmundry",DERMATOLOGY,"₹9,93,600*","₹30,000*",1*,Info not available*,1140,130(1),931(1),-,-,-,-,-,149(1),279(1),650(1),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"GSL Med Coll, Rajahmundry",OBG,"₹9,93,600*","₹30,000*",1*,Info not available*,1140,161(1),589(1),-,-,-,-,-,130(1),221(1),652(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Apollo IMS&R, Chittoor",PAEDIATRICS,"₹9,93,600*","₹30,000*",1*,Info not available*,850,111(1),350(1),-,-,-,-,-,237(1),260(1),667(1),106(1)
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Maharajah IMS, Vizianagaram",RADIO DIAGNOSIS,"₹9,93,600*",Info not available*,1*,Info not available*,850,157(3),757(3),-,-,-,-,-,139(3),209(3),679(3),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"VMC, Kurnool",GENERAL MEDICINE,"₹9,93,600*","₹30,000*",1*,Info not available*,650,186(1),889(1),1252(1),801(1),1302(1),-,-,195(1),201(1),691(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",DERMATOLOGY,"₹9,93,600*","₹27,000*",1*,Info not available*,790,167(1),180(1),-,-,-,-,-,90(1),90(1),694(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"NRI Med Coll, Guntur",TBRD,"₹9,93,600*","₹27,000*",1*,Info not available*,1050,172(1),1316(1),-,-,-,-,-,412(1),345(1),703(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Katuri Med Coll, Guntur",GENERAL MEDICINE,"₹9,93,600*",Info not available*,1*,Info not available*,1100,164(3),849(2),-,-,-,-,-,172(2),231(2),710(2),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Maharajah IMS, Vizianagaram",GENERAL MEDICINE,"₹9,93,600*",Info not available*,1*,Info not available*,850,195(3),949(3),-,-,-,-,-,231(3),247(3),712(3),91(1)
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"PES IMS, Kuppam",PAEDIATRICS,"₹9,93,600*","₹30,000*",1*,Info not available*,975,184(2),870(2),-,-,-,-,-,229(2),229(2),724(2),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"PES IMS, Kuppam",DERMATOLOGY,"₹9,93,600*","₹30,000*",1*,Info not available*,975,128(1),210(1),-,-,-,-,-,89(1),232(1),730(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"GreatEastern MedSch,Srikakulam",DERMATOLOGY,"₹9,93,600*",Info not available*,1*,Info not available*,780,234(1),972(1),-,-,-,-,-,232(1),290(1),750(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"VMC, Kurnool",DERMATOLOGY,"₹9,93,600*","₹30,000*",1*,Info not available*,650,259(1),893(1),-,-,-,-,-,191(1),191(1),785(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Maharajah IMS, Vizianagaram",DERMATOLOGY,"₹9,93,600*",Info not available*,1*,Info not available*,850,193(1),946(1),-,-,-,-,-,75(1),109(1),788(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"NRI Inst of Med Sci, Vizag",OBG,"₹9,93,600*","₹40,000*",1*,Info not available*,980,309(1),1303(1),-,-,-,-,-,285(1),461(1),789(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"GreatEastern MedSch,Srikakulam",PAEDIATRICS,"₹9,93,600*",Info not available*,1*,Info not available*,780,185(1),907(1),-,-,-,-,-,233(1),233(1),794(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"NRI Med Coll, Guntur",GENERAL SURGERY,"₹9,93,600*","₹27,000*",1*,Info not available*,1050,325(3),1487(3),-,-,-,-,-,395(3),497(3),802(3),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Apollo IMS&R, Chittoor",TBRD,"₹9,93,600*","₹30,000*",1*,Info not available*,850,475(1),1438(1),-,-,-,-,-,461(1),586(1),807(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Alluri Sitaram Raju, Eluru",PAEDIATRICS,"₹9,93,600*","₹30,000*",1*,Info not available*,1200,228(3),1089(3),1187(1),-,-,-,-,256(3),330(3),812(3),99(1)
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"PES IMS, Kuppam",OBG,"₹9,93,600*","₹30,000*",1*,Info not available*,975,213(3),1119(3),-,-,-,-,-,254(3),254(3),816(3),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Apollo IMS&R, Chittoor",OBG,"₹9,93,600*","₹30,000*",1*,Info not available*,850,183(1),1386(1),-,-,-,-,-,129(1),129(1),820(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Katuri Med Coll, Guntur",DERMATOLOGY,"₹9,93,600*",Info not available*,1*,Info not available*,1100,239(1),898(1),-,-,-,-,-,219(1),310(1),828(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Apollo IMS&R, Chittoor",GENERAL SURGERY,"₹9,93,600*","₹30,000*",1*,Info not available*,850,242(1),261(1),-,-,-,-,-,421(1),364(1),830(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"NRI Inst of Med Sci, Vizag",DERMATOLOGY,"₹9,93,600*","₹40,000*",1*,Info not available*,980,266(1),973(1),-,-,-,-,-,87(1),307(1),834(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"GVP Med Coll, Vizag",DERMATOLOGY,"₹9,93,600*","₹30,000*",1*,Info not available*,750,250(1),269(1),-,-,-,-,-,212(1),318(1),842(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Dr PSI Med Coll, Chinoutpalli",OBG,"₹9,93,600*","₹27,000*",1*,Info not available*,790,137(2),530(2),-,-,-,-,-,374(2),334(2),872(2),126(1)
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Santhiram Med Coll, Nandyal",OBG,"₹9,93,600*","₹30,000*",1*,Info not available*,930,226(1),1403(1),-,-,-,-,-,401(1),429(1),878(1),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"GSL Med Coll, Rajahmundry",ORTHOPAEDICS,"₹9,93,600*","₹30,000*",1*,Info not available*,1140,458(1),1385(1),-,-,-,-,-,483(1),618(1),903(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Santhiram Med Coll, Nandyal",PAEDIATRICS,"₹9,93,600*","₹30,000*",1*,Info not available*,930,232(1),252(1),-,-,-,-,-,326(1),326(1),911(1),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Fathima IMS,Kadapa",GENERAL MEDICINE,"₹9,93,600*","₹25,000*",1*,Info not available*,750,597(2),1410(2),-,-,-,-,-,396(2),396(2),931(2),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Konaseema IMS, Amalapuram",PAEDIATRICS,"₹9,93,600*","₹30,000*",1*,Info not available*,840,264(2),1132(2),-,-,-,-,-,331(2),353(2),932(2),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"NRI Med Coll, Guntur",PSYCHIATRY,"₹9,93,600*","₹27,000*",1*,Info not available*,1050,1278(1),1331(1),-,-,-,-,-,1023(1),926(1),941(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"VMC, Kurnool",PAEDIATRICS,"₹9,93,600*","₹30,000*",1*,Info not available*,650,233(1),1075(1),-,-,-,-,-,385(1),397(1),967(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"GSL Med Coll, Rajahmundry",PAEDIATRICS,"₹9,93,600*","₹30,000*",1*,Info not available*,1140,276(4),1212(4),1255(1),-,-,-,-,337(4),389(4),969(4),166(3)
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"NRI Inst of Med Sci, Vizag",PAEDIATRICS,"₹9,93,600*","₹40,000*",1*,Info not available*,980,248(1),1223(1),-,-,-,-,-,260(1),386(1),982(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"GVP Med Coll, Vizag",PAEDIATRICS,"₹9,93,600*","₹30,000*",1*,Info not available*,750,284(1),1214(1),-,-,-,-,-,322(1),322(1),989(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"NRI Med Coll, Guntur",ORTHOPAEDICS,"₹9,93,600*","₹27,000*",1*,Info not available*,1050,333(1),1298(1),-,-,-,-,-,715(1),715(1),991(1),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Narayana Med Coll, Nellore",ORTHOPAEDICS,"₹9,93,600*","₹40,000*",1*,Info not available*,1430,316(1),1432(1),-,-,-,-,-,406(1),443(1),994(1),-
APMgmt-S1-All-CatB,S1A,Andhra Pradesh,"Narayana Med Coll, Nellore",GENERAL SURGERY,"₹9,93,600*","₹40,000*",1*,Info not available*,1430,171(1),1248(1),-,-,-,-,-,282(1),349(1),998(1),-
APMgmt-S1B-LOC-CatB,S1B,Andhra Pradesh,"Katuri Med Coll, Guntur",PAEDIATRICS,"₹9,93,600*",Info not available*,1*,Info not available*,1100,267(1),1034(1),-,-,-,-,-,368(1),400(1),1003(1),-
