Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Assam Govt Quota,OBC/MOBC,Assam,"Tezpur Med Coll, Tezpur",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,118(1),118(1),118(1),-,-,-,132(1),217(2),217(2),-,-
Assam Govt Quota,UR,Assam,"Gauhati Med Coll, Guwahati",ORTHOPAEDICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,149(6),152(6),221(6),-,-,-,90(3),188(2),218(4),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Gauhati Med Coll, Guwahati",PAEDIATRICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,-,-,-,-,-,-,147(1),223(1),223(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Fakhruddin Ali Ahmed, Barpeta",GENERAL MEDICINE,"₹17,900*","₹55,200*",2*,"₹20,00,000*",470,-,-,-,-,-,-,-,235(1),235(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Assam Med Coll, Dibrugarh",OBG,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,182(1),182(1),182(1),-,-,-,198(1),239(2),239(2),-,-
Assam Govt Quota,UR,Assam,"Jorhat Med Coll, Jorhat",ORTHOPAEDICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,166(1),166(1),181(1),326(1),-,-,122(1),122(1),243(1),-,-
Assam Govt Quota,UR,Assam,"Jorhat Med Coll, Jorhat",GENERAL SURGERY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",814,238(2),255(2),255(2),-,-,-,186(2),247(2),247(2),-,-
Assam Govt Quota,EWS,Assam,"Tezpur Med Coll, Tezpur",OBG,"₹17,900*","₹55,200*",2*,"₹20,00,000*",500,-,-,-,-,-,-,-,249(1),249(1),-,-
Assam Govt Quota,UR,Assam,"Silchar Med Coll, Silchar",ORTHOPAEDICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1256,164(2),164(2),180(2),-,-,-,111(2),189(2),256(2),-,-
Assam Govt Quota,EWS,Assam,"Gauhati Med Coll, Guwahati",GENERAL SURGERY,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,221(1),221(1),236(1),-,-,-,155(1),162(1),260(1),-,-
Assam Govt Quota,OBC/MOBC,Assam,"Gauhati Med Coll, Guwahati",OBG,"₹17,900*","₹55,200*",2*,"₹20,00,000*",2185,129(1),129(1),129(1),-,-,-,175(1),261(2),261(2),-,-
Assam Govt Quota,UR,Assam,"Assam Med Coll, Dibrugarh",ORTHOPAEDICS,"₹17,900*","₹55,200*",2*,"₹20,00,000*",1365,171(3),189(3),237(3),312(1),-,-,143(2),204(2),263(3),-,325(1)
