Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7
Tel Govt-NS LOC,BCB-GEN,Telangana,"Osmania Med Coll, Hyderabad",DERMATOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,285(1),377(1),872(1),872(1),872(1),872(1),140(1),140(1),140(1),140(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Rajiv Gandhi IMS, Adilabad",DERMATOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",Info Not Available,372(1),472(1),623(1),623(1),623(1),623(1),141(1),141(1),141(1),141(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Govt Med Coll, Siddipet",DERMATOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",780,-,-,-,-,-,-,131(1),142(1),142(1),142(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Osmania Med Coll, Hyderabad",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",4800,153(2),153(2),336(2),336(2),336(2),336(2),98(4),150(4),150(4),150(4),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Gandhi Med Coll, Secunderabad",GENERAL SURGERY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,168(3),168(3),226(3),226(3),226(3),226(3),151(3),151(3),151(3),151(3),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Kamineni (KAMSRC), Hyderabad",RADIO DIAGNOSIS,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",650,-,-,-,-,-,-,152(1),152(1),152(1),152(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"NIMS, Hyderabad",EMERGENCY MEDICINE,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,578(1),716(1),717(1),717(1),717(1),717(1),158(1),158(1),158(1),158(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Kamineni (KAMSRC), Hyderabad",GENERAL MEDICINE,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",650,-,-,-,-,-,-,164(1),164(1),164(1),164(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Apollo IMSR, Hyderabad",GENERAL MEDICINE,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",570,-,-,-,-,-,-,165(1),165(1),165(1),165(1),-,-,-
Tel Govt-NS LOC,BCD-FEM,Telangana,"Govt Med Coll, Nizamabad",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",500,-,-,-,-,-,-,-,169(1),169(1),169(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Osmania Med Coll, Hyderabad",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",4800,223(6),289(7),289(7),289(7),289(7),289(7),124(7),124(7),170(7),170(7),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Gandhi Med Coll, Secunderabad",OBG,"₹25,000*","₹58,289",1,"₹20,00,000",1200,258(2),258(2),423(2),423(2),423(2),423(2),100(1),166(2),171(2),171(2),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Osmania Med Coll, Hyderabad",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",4800,307(1),307(1),307(1),307(1),307(1),307(1),173(1),173(1),173(1),173(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Kamineni (KAMSRC), Hyderabad",GENERAL MEDICINE,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",650,376(1),376(1),376(1),376(1),376(1),376(1),180(1),180(1),180(1),180(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Osmania Med Coll, Hyderabad",GENERAL SURGERY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,381(4),381(4),680(4),680(4),680(4),680(4),181(4),182(5),182(5),182(5),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Gandhi Med Coll, Secunderabad",OBG,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,185(1),185(1),185(1),185(1),-,-,-
Tel Govt-NS LOC,BCB-FEM,Telangana,"Osmania Med Coll, Hyderabad",PAEDIATRICS,"₹25,000*","₹58,289",1,"₹20,00,000",4800,272(1),272(1),272(1),272(1),272(1),272(1),186(1),186(1),186(1),186(1),-,-,-
