Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7
Tel Govt-NS LOC,SC-FEM,Telangana,"CAIMS, Karimnagar",ENT,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",1000,-,-,-,-,-,-,2223(1),2223(1),2441(1),2441(1),-,-,-
Tel Govt-NS LOC,BCC-FEM,Telangana,"Kakatiya Med Coll, Warangal",ORTHOPAEDICS,"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,-,-,-,-,-,-,1676(1),2442(1),2442(1),-,-,-
Tel Govt-NS LOC,SC-FEM,Telangana,"Kakatiya Med Coll, Warangal",ORTHOPAEDICS,"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,-,-,-,-,-,1806(1),1806(1),2451(1),2451(1),-,-,-
Tel Govt-NS LOC,BCA-FEM,Telangana,"MNR Med Coll, Sangareddy",ENT,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,1864(1),1864(1),2453(1),2453(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"NIMS, Hyderabad",ANAESTHESIOLOGY,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,2958(1),2958(1),3427(1),3427(1),3427(1),3427(1),1831(1),1831(1),2455(1),2455(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Mediciti IMS, Ghanpur",ANAESTHESIOLOGY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",720,-,-,-,-,-,-,-,-,2457(1),2457(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Govt Med Coll, Siddipet",PSYCHIATRY,"₹25,000*","₹58,289",1,"₹20,00,000",780,-,-,-,-,-,-,-,-,2464(1),2464(1),-,-,-
Tel Govt-NS LOC,SC-FEM,Telangana,"Gandhi Med Coll, Secunderabad",PATHOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,2470(1),2470(1),2468(1),2527(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Mediciti IMS, Ghanpur",ENT,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",720,-,-,-,-,-,-,2484(1),2484(1),2482(1),2899(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Prathima IMS, Karimnagar",PATHOLOGY,"₹4,62,250*",Info not available*,1*,"₹20,00,000*",1060,-,4048(1),4221(1),4998(1),4998(1),4998(1),-,-,2484(1),2484(1),-,-,-
Tel Govt-NS LOC,BCA-FEM,Telangana,"CAIMS, Karimnagar",PSYCHIATRY,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",1000,-,-,-,-,-,-,1693(1),1693(1),2487(1),2487(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Govt Med Coll, Mahabubnagar",SPM,"₹25,000*","₹58,289",1,"₹20,00,000",900,-,-,-,-,-,-,2490(1),2490(1),2488(1),3111(1),-,-,-
Tel Govt-NS LOC,BCA-GEN,Telangana,"Osmania Med Coll, Hyderabad",SPM,"₹25,000*","₹58,289",1,"₹20,00,000",4800,-,-,-,-,-,-,2493(1),2493(1),2491(1),2491(1),-,-,-
Tel Govt-NS LOC,ST-FEM,Telangana,"SVS Med Coll, Mehboobnagar",OBG,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,2104(1),2104(1),2496(1),2496(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Osmania Med Coll, Hyderabad",PATHOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,3137(1),3137(2),3993(3),3993(3),3993(3),3993(3),2278(1),2278(1),2501(2),2501(2),-,-,-
Tel Govt-NS LOC,BCA-GEN,Telangana,"RVM IMSRC, Siddipet",ORTHOPAEDICS,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",1110,-,-,-,-,-,-,1742(1),1742(1),2505(1),2753(1),-,-,-
Tel Govt-Serv LOC,OPEN-FEM,Telangana,"Gandhi Med Coll, Secunderabad",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,2510(1),2510(1),2507(1),2507(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Kamineni IMS, Narketpally",PATHOLOGY,"₹4,30,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,-,2517(1),2514(1),2514(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"SVS Med Coll, Mehboobnagar",ORTHOPAEDICS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,2442(1),2288(1),2515(1),2515(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Dr Patnam MRInstofMS,Chevella",ANAESTHESIOLOGY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,2401(1),2401(1),2517(1),2740(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"SVS Med Coll, Mehboobnagar",GENERAL SURGERY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,-,3933(1),4182(1),4727(1),4727(1),4727(1),2522(1),2522(1),2519(1),2519(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Govt Med Coll, Siddipet",SPM,"₹25,000*","₹58,289",1,"₹20,00,000",780,-,-,-,-,-,-,1053(1),2524(1),2521(1),2521(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Govt Med Coll, Siddipet",PATHOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",780,-,-,-,-,-,-,2530(1),2530(1),2527(1),2767(1),-,-,-
Tel Govt-NS LOC,MIN-GEN-MSM,Telangana,"DCMS, Hyderabad",PATHOLOGY,"₹4,30,000*",Info not available*,1*,"₹20,00,000*",1400,3242(1),3242(1),3572(1),3572(1),3572(1),3572(1),1684(1),2071(1),2530(2),2530(2),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Surabhi InstituteofMS,Siddipet",GENERAL SURGERY,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,-,-,2539(1),3016(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"CAIMS, Karimnagar",PATHOLOGY,"₹4,30,000*",Info not available*,1*,"₹20,00,000*",1000,-,-,-,-,-,-,-,2550(1),2547(1),3187(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Osmania Med Coll, Hyderabad",BIOCHEMISTRY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,3926(1),3926(1),3965(1),3965(1),3965(1),3965(1),2647(1),2553(1),2550(1),2550(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Gandhi Med Coll, Secunderabad",PHYSIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,2570(1),2570(1),2567(1),2567(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Gandhi Med Coll, Secunderabad",ANAESTHESIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,2578(1),2578(1),2575(1),2575(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Mamata Med Coll, Khammam",ORTHOPAEDICS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1080,-,-,-,-,-,-,2288(1),2518(1),2583(1),2583(1),-,-,-
Tel Govt-NS LOC,ST-FEM,Telangana,"Kamineni IMS, Narketpally",PAEDIATRICS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,2592(1),2592(1),2589(1),2589(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"ESIC Med Coll,Sanath Nagar",ANAESTHESIOLOGY,"₹2,50,000*","₹1,26,927*",2*,"₹10,00,000*",690,-,-,-,-,-,-,2593(1),2593(1),2590(1),2590(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Osmania Med Coll, Hyderabad",FORENSIC MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",4800,-,-,-,-,-,-,2599(1),2599(1),2596(1),2596(1),-,-,-
Tel Govt-NS LOC,BCA-FEM,Telangana,"Mediciti IMS, Ghanpur",ORTHOPAEDICS,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",720,-,-,-,-,-,-,1994(1),2391(1),2599(1),2599(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"ESIC Med Coll,Sanath Nagar",PHYSIOLOGY,"₹2,50,000*","₹1,26,927*",2*,"₹10,00,000*",690,4120(1),4327(1),4318(1),4318(1),4318(1),4318(1),2604(1),2604(1),2601(1),2601(1),-,-,-
Tel Govt-NS LOC,BCA-GEN,Telangana,"Prathima IMS, Karimnagar",PATHOLOGY,"₹4,62,250*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,2614(1),2614(1),2611(1),2611(1),-,-,-
Tel Govt-NS LOC,BCA-GEN,Telangana,"Mediciti IMS, Ghanpur",ORTHOPAEDICS,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",720,-,-,3058(1),3058(1),3058(1),3058(1),-,-,2617(1),1741(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Kamineni (KAMSRC), Hyderabad",ORTHOPAEDICS,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",650,-,-,-,-,-,-,1482(1),1482(1),2626(1),2626(1),-,-,-
Tel Govt-NS LOC,SC-FEM,Telangana,"RVM IMSRC, Siddipet",OPHTHALMOLOGY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",1110,-,-,-,-,-,-,2186(1),2632(1),2629(1),2629(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN-PHO,Telangana,"ESIC Med Coll,Sanath Nagar",PAEDIATRICS,"₹2,50,000*","₹1,26,927*",2*,"₹10,00,000*",690,-,-,-,-,-,-,2635(1),2635(1),2632(1),2632(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Govt Med Coll, Mahabubnagar",SPM,"₹25,000*","₹58,289",1,"₹20,00,000",900,3566(1),3566(1),3888(1),3888(1),3888(1),3888(1),2638(1),2638(1),2635(1),2635(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Kakatiya Med Coll, Warangal",ANAESTHESIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,-,-,-,-,-,2579(1),2639(1),2636(1),2636(1),-,-,-
Tel Govt-NS LOC,SC-FEM,Telangana,"Kakatiya Med Coll, Warangal",PSYCHIATRY,"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,-,-,-,-,-,1797(1),1985(1),2649(1),2649(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Osmania Med Coll, Hyderabad",PHARMACOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,-,-,-,-,-,-,-,2656(1),2653(1),2653(1),-,-,-
Tel Govt-NS LOC,ST-FEM,Telangana,"Apollo IMSR, Hyderabad",OBG,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",570,-,-,-,-,-,-,2660(1),2660(1),2657(1),2657(1),-,-,-
Tel Govt-NS LOC,ST-FEM,Telangana,"SVS Med Coll, Mehboobnagar",GENERAL MEDICINE,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,2662(1),2662(1),2659(1),2659(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Mamata AcadofMedSci,Bachupally",PSYCHIATRY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,2730(1),2664(1),2661(1),2661(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"MNR Med Coll, Sangareddy",ANAESTHESIOLOGY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",760,3330(1),3636(1),3742(1),3742(1),3742(1),3742(1),2459(1),2459(1),2662(2),3561(2),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Mamata Med Coll, Khammam",PAEDIATRICS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1080,-,-,-,-,-,-,2680(1),2680(1),2677(1),2677(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Osmania Med Coll, Hyderabad",MICROBIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,3018(1),3018(1),3203(2),3203(2),3203(2),3203(2),1435(1),1435(1),2681(1),2681(1),-,-,-
Tel Govt-NS LOC,SC-FEM,Telangana,"Kamineni (KAMSRC), Hyderabad",EMERGENCY MEDICINE,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",650,-,-,-,-,-,-,2325(1),2688(1),2685(1),2685(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Osmania Med Coll, Hyderabad",MICROBIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,3026(1),3026(1),3042(1),3042(1),3042(1),3042(1),2000(2),2000(2),2687(3),2687(3),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"SVS Med Coll, Mehboobnagar",PSYCHIATRY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,2623(1),2696(1),2693(1),3554(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Osmania Med Coll, Hyderabad",ANAESTHESIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,2985(1),3400(1),3941(1),3941(1),3941(1),3941(1),2457(1),2457(1),2705(1),2705(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Osmania Med Coll, Hyderabad",MICROBIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,3781(1),3781(1),5104(1),5104(1),5104(1),5104(1),2650(1),2650(1),2715(2),2715(2),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Gandhi Med Coll, Secunderabad",MICROBIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,3181(1),3181(1),4093(1),4093(1),4093(1),4093(1),2085(1),2085(1),2726(2),2726(2),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Osmania Med Coll, Hyderabad",ORTHOPAEDICS,"₹25,000*","₹58,289",1,"₹20,00,000",4800,3080(1),3080(1),3099(1),3099(1),3099(1),3099(1),1870(1),1870(1),2731(1),2731(1),-,-,-
Tel Govt-NS LOC,SC-FEM,Telangana,"Surabhi InstituteofMS,Siddipet",ANAESTHESIOLOGY,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,2487(1),2487(1),2740(1),1843(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Osmania Med Coll, Hyderabad",MICROBIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,-,-,5020(1),5020(1),5020(1),5020(1),2706(1),2706(1),2746(1),2746(1),-,-,-
Tel Govt-NS LOC,ST-FEM,Telangana,"Kakatiya Med Coll, Warangal",ORTHOPAEDICS,"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,-,-,-,-,-,2750(1),2750(1),2747(1),2747(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Rajiv Gandhi IMS, Adilabad",OPHTHALMOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",Info Not Available,-,-,-,-,-,-,2338(1),2754(1),2751(1),2751(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Gandhi Med Coll, Secunderabad",BIOCHEMISTRY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,2758(1),2758(1),2755(1),2755(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Prathima IMS, Karimnagar",PAEDIATRICS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,3817(1),3817(1),4096(1),4096(1),4096(1),4096(1),2182(1),2182(1),2756(1),2756(1),-,-,-
Tel Govt-NS LOC,ST-FEM,Telangana,"ESIC Med Coll,Sanath Nagar",OPHTHALMOLOGY,"₹2,50,000*","₹1,26,927*",2*,"₹10,00,000*",690,-,-,-,-,-,-,2307(1),2762(1),2759(1),2759(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"MNR Med Coll, Sangareddy",GENERAL MEDICINE,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,2395(1),2767(1),2764(1),2764(1),-,-,-
Tel Govt-NS LOC,ST-FEM,Telangana,"Osmania Med Coll, Hyderabad",ANAESTHESIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,-,-,-,-,-,-,2089(1),2772(1),2769(1),2769(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Osmania Med Coll, Hyderabad",TBRD,"₹25,000*","₹58,289",1,"₹20,00,000",4800,2890(1),2890(1),2905(1),2905(1),2905(1),2905(1),1892(1),1892(1),2785(1),2785(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Osmania Med Coll, Hyderabad",ENT,"₹25,000*","₹58,289",1,"₹20,00,000",4800,3545(1),3545(1),3573(1),3573(1),3573(1),3573(1),2354(1),2793(1),2790(1),2790(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Osmania Med Coll, Hyderabad",PHARMACOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,-,-,-,-,-,-,-,2718(1),2794(1),2794(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Kamineni (KAMSRC), Hyderabad",SPM,"₹4,30,000*",Info not available*,1*,"₹20,00,000*",650,-,-,-,-,-,-,2511(1),2798(1),2795(1),2795(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Mamata AcadofMedSci,Bachupally",OBG,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,2802(1),2802(1),2799(1),2799(1),-,-,-
Tel Govt-NS LOC,BCA-GEN,Telangana,"NIMS, Hyderabad",HOSPITAL ADMINISTRATION,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,-,-,-,-,-,-,2815(1),2815(1),2812(1),2812(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"CAIMS, Karimnagar",PATHOLOGY,"₹4,30,000*",Info not available*,1*,"₹20,00,000*",1000,2982(1),3995(1),4037(1),4037(1),4037(1),4037(1),1721(1),2249(1),2823(2),3109(2),-,-,-
Tel Govt-Serv LOC,OPEN-GEN,Telangana,"Apollo IMSR, Hyderabad",PAEDIATRICS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",570,-,-,-,-,-,-,-,-,2831(1),2831(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Gandhi Med Coll, Secunderabad",MICROBIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,-,-,2834(1),2834(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Kamineni IMS, Narketpally",IHBT,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,-,2101(1),2836(1),3020(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Gandhi Med Coll, Secunderabad",PHARMACOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,3353(1),3353(1),3377(1),3377(1),3377(1),3377(1),2195(1),2195(1),2838(1),2838(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"NIMS, Hyderabad",HOSPITAL ADMINISTRATION,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,3526(1),4080(1),4196(1),4199(1),4199(1),4199(1),2843(1),2843(1),2840(1),2840(1),-,-,-
Tel Govt-NS LOC,SC-FEM,Telangana,"Mediciti IMS, Ghanpur",ORTHOPAEDICS,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",720,-,-,-,-,-,-,2504(1),2623(1),2841(1),2841(1),-,-,-
Tel Govt-NS LOC,ST-FEM,Telangana,"Mamata Med Coll, Khammam",GENERAL MEDICINE,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1080,-,-,-,-,-,-,2669(1),2759(1),2847(1),2847(1),-,-,-
Tel Govt-NS LOC,SC-FEM,Telangana,"CAIMS, Karimnagar",ORTHOPAEDICS,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",1000,3771(1),3771(1),3807(1),3807(1),3807(1),3807(1),-,-,2858(1),2858(1),-,-,-
Tel Govt-NS LOC,MIN-FEM-MSM,Telangana,"DrVRK Womens MedColl,Aziznagar",PATHOLOGY,"₹4,30,000*",Info not available*,1*,"₹20,00,000*",500,3722(1),3544(1),4467(1),4467(1),4467(1),4467(1),2302(1),2302(1),2863(1),2863(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Dr Patnam MRInstofMS,Chevella",GENERAL MEDICINE,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,2759(1),2850(1),2880(1),2880(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Govt Med Coll, Nizamabad",MICROBIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",500,-,-,-,-,-,-,2749(1),1631(1),2884(1),2203(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"Gandhi Med Coll, Secunderabad",MICROBIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,4119(1),4119(1),4166(1),4166(1),4166(1),4166(1),2309(1),2309(1),2891(1),2891(1),-,-,-
Tel Govt-NS LOC,BCC-GEN,Telangana,"Osmania Med Coll, Hyderabad",MICROBIOLOGY,"₹25,000*","₹58,289",1,"₹20,00,000",4800,-,-,-,-,-,-,2582(1),2895(1),2892(1),2892(1),-,-,-
Tel Govt-NS LOC,SC-FEM,Telangana,"Prathima IMS, Karimnagar",ORTHOPAEDICS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,2542(1),2542(1),2899(1),3188(1),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"RVM IMSRC, Siddipet",PATHOLOGY,"₹4,30,000*",Info not available*,1*,"₹20,00,000*",1110,-,-,-,-,-,-,1662(1),2486(1),2905(1),2905(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Mamata Med Coll, Khammam",GENERAL SURGERY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1080,-,-,-,-,-,-,2909(1),2909(1),2906(1),2906(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Gandhi Med Coll, Secunderabad",BIOCHEMISTRY,"₹25,000*","₹58,289",1,"₹20,00,000",1200,4055(1),4215(1),4181(1),4648(1),4648(1),4648(1),2553(1),2914(1),2911(1),2911(1),-,-,-
Tel Govt-NS LOC,BCD-GEN,Telangana,"CAIMS, Karimnagar",PATHOLOGY,"₹4,30,000*",Info not available*,1*,"₹20,00,000*",1000,-,-,-,-,-,-,2290(1),2290(1),2914(1),3161(1),-,-,-
Tel Govt-NS LOC,BCB-GEN,Telangana,"Mamata AcadofMedSci,Bachupally",PATHOLOGY,"₹4,30,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,2514(1),2919(2),2916(2),2916(2),-,-,-
Tel Govt-NS LOC,OPEN-FEM,Telangana,"Dr Patnam MRInstofMS,Chevella",PATHOLOGY,"₹4,30,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,-,-,2917(1),3157(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Maheshwara Med Coll, Medak",OPHTHALMOLOGY,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",745,-,-,-,-,-,-,2613(1),2733(1),2951(1),2951(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Mamata Med Coll, Khammam",DERMATOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1080,-,-,-,-,-,-,-,-,2956(1),2956(1),-,-,-
Tel Govt-NS LOC,ST-GEN,Telangana,"Prathima IMS, Karimnagar",GENERAL SURGERY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,4286(1),4670(1),5499(1),5499(1),5499(1),5499(1),2834(1),2111(1),2965(1),2965(1),-,-,-
Tel Govt-NS LOC,BCB-FEM,Telangana,"RVM IMSRC, Siddipet",PATHOLOGY,"₹4,30,000*",Info not available*,1*,"₹20,00,000*",1110,-,-,-,-,-,-,-,-,2968(1),2968(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"NIMS, Hyderabad",BIOCHEMISTRY,"₹72,000*","₹1,11,780",1,"₹50,00,000",1498,4116(1),4116(1),4162(1),4162(1),4162(1),4162(1),2972(1),2972(1),2969(1),2969(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Kamineni IMS, Narketpally",OPHTHALMOLOGY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",1060,-,-,-,-,-,-,2559(1),2629(1),2971(1),2984(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Apollo IMSR, Hyderabad",MICROBIOLOGY,"₹4,30,000*",Info not available*,1*,"₹20,00,000*",570,-,-,-,-,-,-,-,-,2972(1),2638(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"CAIMS, Karimnagar",ORTHOPAEDICS,"₹7,75,000*",Info not available*,1*,"₹20,00,000*",1000,-,-,-,-,-,-,2149(1),2149(1),2981(1),3014(1),-,-,-
Tel Govt-Serv LOC,OPEN-GEN,Telangana,"Gandhi Med Coll, Secunderabad",RADIO DIAGNOSIS,"₹25,000*","₹58,289",1,"₹20,00,000",1200,-,-,-,-,-,-,3009(1),3009(1),3005(1),3005(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN,Telangana,"Kamineni (KAMSRC), Hyderabad",BIOCHEMISTRY,"₹2,16,000*",Info not available*,1*,"₹20,00,000*",650,-,-,-,-,-,-,3024(1),3024(1),3020(1),-,-,-,-
Tel Govt-NS LOC,ST-FEM,Telangana,"Mamata AcadofMedSci,Bachupally",GENERAL SURGERY,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,3025(1),3025(1),3021(1),3021(1),-,-,-
Tel Govt-NS LOC,BCA-FEM,Telangana,"Mamata AcadofMedSci,Bachupally",ORTHOPAEDICS,"₹7,50,000*",Info not available*,1*,"₹20,00,000*",-,-,-,-,-,-,-,-,1994(1),3023(1),3023(1),-,-,-
Tel Govt-NS LOC,OPEN-GEN-PHO,Telangana,"Rajiv Gandhi IMS, Adilabad",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",Info Not Available,-,-,-,-,-,-,3031(1),3031(1),3027(1),3027(1),-,-,-
Tel Govt-NS LOC,ST-FEM,Telangana,"MNR Med Coll, Sangareddy",GENERAL MEDICINE,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,-,-,3033(1),3033(1),-,-,-
Tel Govt-Serv LOC,OPEN-GEN,Telangana,"Kakatiya Med Coll, Warangal",GENERAL MEDICINE,"₹25,000*","₹58,289",1,"₹20,00,000",1150,-,-,-,-,-,-,3042(1),3042(1),3037(1),3037(1),-,-,-
Tel Govt-NS LOC,ST-FEM,Telangana,"MNR Med Coll, Sangareddy",PAEDIATRICS,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",760,-,-,-,-,-,-,2708(1),2708(1),3042(1),3042(1),-,-,-
Tel Govt-NS LOC,SC-GEN,Telangana,"Kamineni (KAMSRC), Hyderabad",IHBT,"₹7,00,000*",Info not available*,1*,"₹20,00,000*",650,-,-,-,-,-,-,2743(1),2743(1),3077(1),2306(1),-,-,-
