Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",ORTHOPAEDICS,"₹30,00,000*","₹40,000",1,"₹2,50,00,000",1200,343(3),460(2),-,-,-,463(3),547(2),565(1),-,-
UK DNB Serv,UR-WOMEN,Uttarakhand,"VCSG MedCollHosp,PauriGarhwal",DNBGENERAL MEDICINE,"₹1,25,000","₹76,600",2*,"₹2,50,00,000*",774,-,-,-,-,-,148(1),549(1),570(1),-,-
UK-Govt Quota,SC-WOMEN,Uttarakhand,"Govt Med Coll, Haldwani",PAEDIATRICS,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600,-,-,-,-,-,222(1),570(1),591(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",PAEDIATRICS,"₹28,00,000*","₹59,065",1,"₹10,00,000",750,280(3),376(3),108(2),-,-,324(2),496(1),594(2),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",OBG,"₹30,00,000*","₹40,000",1,"₹2,50,00,000",1200,188(3),178(1),58(1),-,-,374(3),492(3),600(2),-,-
UK-Govt Quota,UR-OPEN,Uttarakhand,"Govt Med Coll, Haldwani",PATHOLOGY,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",600,-,-,-,-,-,405(1),430(1),604(2),936(1),-
UK DNB Serv,UR-OPEN,Uttarakhand,"VCSG MedCollHosp,PauriGarhwal",DNBGENERAL SURGERY,"₹1,25,000","₹76,600",2*,"₹2,50,00,000*",774,80(1),28(1),69(1),-,-,304(1),584(1),605(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"SGRRI, Dehradun",ORTHOPAEDICS,"₹31,00,000*","₹59,065",1,"₹10,00,000",750,386(4),471(4),114(3),-,-,511(2),585(2),606(1),-,-
UK Priv-Govt Quota,OBC-WOMEN,Uttarakhand,"HIMS, Dehradun",GENERAL MEDICINE,"₹26,00,000*","₹40,000",1,"₹2,50,00,000",1200,-,-,-,-,-,309(1),588(1),609(1),-,-
UK Priv-Govt Quota,UR-OPEN,Uttarakhand,"HIMS, Dehradun",TBRD,"₹25,00,000*","₹40,000",1,"₹2,50,00,000",1200,-,-,-,-,-,544(2),601(1),622(1),-,-
UK-Govt Quota,EWS-OPEN,Uttarakhand,"Doon Med Coll, Dehradun",GENERAL SURGERY,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,-,-,-,-,-,402(1),-,632(1),-,-
UK-Govt Quota,SC-WOMEN,Uttarakhand,"Doon Med Coll, Dehradun",GENERAL SURGERY,"₹60,000*","₹71,257*",2*,"₹2,50,00,000*",436,-,-,-,-,-,570(1),616(1),638(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",ENT,"₹17,00,000*","₹40,000",1,"₹10,00,000",1200,247(2),397(2),127(2),-,-,505(2),627(1),649(1),-,-
UK Priv-AllIndia/Mgmt,UR-MNG,Uttarakhand,"HIMS, Dehradun",GENERAL SURGERY,"₹25,00,000*","₹40,000",1,"₹2,50,00,000",1200,375(7),372(5),135(3),-,-,578(8),631(5),664(3),-,-
UK Priv-Govt Quota,UR-WOMEN,Uttarakhand,"HIMS, Dehradun",GENERAL SURGERY,"₹25,00,000*","₹40,000",1,"₹2,50,00,000",1200,411(2),571(1),-,-,-,660(2),660(2),683(2),-,-
