Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
Bihar Govt Quota,EBC-FEM,Bihar,"Darbhanga, Lehriasarai",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,164(1),164(1),-,-,-,141(1),141(1),73(1),207(1),-
Bihar Govt Quota,EWS-GEN,Bihar,"Patna Med Coll, Patna",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,155(1),155(1),-,-,-,143(1),143(1),74(1),-,-
Bihar Govt Quota,UR-FEM,Bihar,"Darbhanga, Lehriasarai",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,140(2),165(2),-,-,-,130(2),144(1),75(1),-,-
Bihar Govt Quota,BC-FEM,Bihar,"Nalanda Med Coll, Patna",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,149(1),149(1),141(1),-,-,124(1),145(1),76(1),-,-
Bihar Govt Quota,EWS-FEM,Bihar,"Patna Med Coll, Patna",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,175(1),175(1),-,-,-,150(1),150(1),77(1),154(1),-
Bihar Govt Quota,EWS-FEM,Bihar,"Govt Med Coll, Bettiah",RADIO DIAGNOSIS,"₹9,000*","₹82,000",3*,"₹25,00,000*",470,-,-,-,-,-,153(1),153(1),78(1),-,-
Bihar Govt Quota,EBC-GEN,Bihar,"Patna Med Coll, Patna",PAEDIATRICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,120(1),120(1),116(1),-,-,105(1),154(1),79(1),-,-
Bihar Govt Quota,UR-FEM,Bihar,"AN Magadh, Gaya",PAEDIATRICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",425,113(1),141(1),271(1),-,-,145(1),157(1),80(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"Jawaharlal Nehru, Bhagalpur",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,170(1),209(1),202(1),-,-,144(1),158(1),81(1),162(1),-
Bihar Govt Quota,EBC-GEN,Bihar,"Patna Med Coll, Patna",ORTHOPAEDICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,105(1),-,-,-,-,120(1),160(1),83(1),164(1),-
Bihar Govt Quota,EBC-GEN,Bihar,"Nalanda Med Coll, Patna",PAEDIATRICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,168(1),182(1),174(1),-,-,154(1),161(1),84(1),165(1),-
Bihar Govt Quota,RCG,Bihar,"Nalanda Med Coll, Patna",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,162(1),162(1),155(1),-,-,162(1),162(1),85(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"Darbhanga, Lehriasarai",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,148(2),200(2),192(2),-,-,134(2),171(2),88(1),175(1),-
Bihar Govt Quota,BC-GEN,Bihar,"Darbhanga, Lehriasarai",ORTHOPAEDICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,-,-,-,-,-,179(1),174(1),91(1),346(1),-
Bihar Govt Quota,RCG,Bihar,"Jawaharlal Nehru, Bhagalpur",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,251(1),251(1),241(1),-,-,175(1),175(1),92(1),-,-
Bihar Govt Quota,EBC-FEM,Bihar,"Darbhanga, Lehriasarai",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,180(1),180(1),247(1),-,-,176(1),176(1),93(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"IGIMS, Patna",ORTHOPAEDICS,"₹1,60,000*","₹1,05,000*",0,₹0,1062,114(1),121(1),171(1),-,-,113(1),121(1),95(1),183(1),-
Bihar Govt Quota,EWS-GEN,Bihar,"Nalanda Med Coll, Patna",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,176(1),176(1),-,-,-,182(1),182(1),98(1),-,-
Bihar Govt Quota,BC-GEN,Bihar,"Darbhanga, Lehriasarai",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,241(1),241(1),231(1),-,-,183(1),183(1),99(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"Nalanda Med Coll, Patna",ORTHOPAEDICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,62(1),130(1),183(1),-,-,49(1),139(1),100(1),188(1),-
Bihar Govt Quota,UR-FEM,Bihar,"Patna Med Coll, Patna",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,122(1),42(1),138(1),-,-,185(1),185(1),101(1),189(1),-
Bihar Govt Quota,UR-FEM,Bihar,"Nalanda Med Coll, Patna",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,209(1),224(1),253(1),-,-,186(1),186(1),102(1),-,-
Bihar Govt Quota,BC-GEN,Bihar,"Nalanda Med Coll, Patna",ORTHOPAEDICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,112(1),136(1),128(1),-,-,121(1),179(1),103(1),191(1),-
Bihar Govt Quota,EBC-GEN,Bihar,"Patna Med Coll, Patna",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,143(1),143(1),-,-,-,189(1),189(1),105(1),193(1),-
Bihar Govt Quota,UR-GEN,Bihar,"Nalanda Med Coll, Patna",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,174(2),198(2),211(2),-,-,184(2),184(2),106(1),196(1),-
Bihar Govt Quota,BC-GEN,Bihar,"Nalanda Med Coll, Patna",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,169(1),204(1),265(1),-,-,193(1),193(1),107(1),197(1),-
Bihar Govt Quota,UR-GEN,Bihar,"Govt Med Coll, Bettiah",PAEDIATRICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",470,142(1),185(1),-,-,-,157(1),194(1),108(1),-,-
Bihar Govt Quota,EWS-GEN,Bihar,"Darbhanga, Lehriasarai",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,194(1),194(1),-,-,-,196(1),196(1),110(1),-,-
Bihar Govt Quota,UR-FEM,Bihar,"Sri Krishna, Muzzafarpur",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",610,165(1),178(1),170(1),-,-,171(1),198(1),111(1),202(1),-
Bihar Govt Quota,UR-GEN,Bihar,"AN Magadh, Gaya",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",425,178(1),211(1),214(1),-,-,158(1),199(1),112(1),203(1),-
Bihar Govt Quota,EBC-GEN,Bihar,"Darbhanga, Lehriasarai",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,199(1),199(1),191(1),-,-,202(1),202(1),115(1),-,-
Bihar Govt Quota,EBC-FEM,Bihar,"Sri Krishna, Muzzafarpur",GENERAL MEDICINE,"₹9,000*","₹82,000",3*,"₹25,00,000*",610,332(1),333(1),327(1),-,-,215(1),203(1),116(1),419(1),-
Bihar Govt Quota,UR-GEN,Bihar,"Darbhanga, Lehriasarai",ORTHOPAEDICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,133(1),150(1),193(1),53(1),-,139(1),167(1),117(1),208(1),-
Bihar Govt Quota,UR-GEN,Bihar,"Darbhanga, Lehriasarai",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,153(2),190(2),261(1),-,-,205(2),205(2),118(2),209(1),-
Bihar Govt Quota,BC-GEN,Bihar,"IGIMS, Patna",GENERAL SURGERY,"₹1,60,000*","₹1,05,000*",0,₹0,1062,-,-,-,-,-,210(1),210(1),122(1),214(1),-
Bihar Govt Quota,BC-GEN,Bihar,"AN Magadh, Gaya",PAEDIATRICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",425,186(1),186(1),235(1),-,-,155(1),164(1),123(1),276(1),-
Bihar Govt Quota,EBC-FEM,Bihar,"Patna Med Coll, Patna",PAEDIATRICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",1748,109(1),-,-,-,-,98(1),98(1),126(1),-,-
Bihar Govt Quota,EBC-GEN,Bihar,"Nalanda Med Coll, Patna",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,179(1),179(1),299(1),17(1),-,-,220(1),130(1),224(1),-
Bihar Govt Quota,EBC-GEN,Bihar,"Darbhanga, Lehriasarai",PAEDIATRICS,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,171(1),171(1),298(1),-,-,161(1),217(1),133(1),-,-
Bihar Govt Quota,UR-GEN,Bihar,"IGIMS, Patna",PSYCHIATRY,"₹1,60,000*","₹1,05,000*",0,₹0,1062,-,-,-,-,-,-,227(1),135(1),-,-
Bihar Govt Quota,UR-FEM,Bihar,"Jawaharlal Nehru, Bhagalpur",GENERAL SURGERY,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,227(1),228(1),259(1),-,-,236(1),236(1),140(1),240(1),-
Bihar Govt Quota,RCG,Bihar,"AN Magadh, Gaya",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",425,256(1),256(1),276(1),-,-,208(1),208(1),141(1),241(1),-
Bihar Govt Quota,EWS-FEM,Bihar,"Jawaharlal Nehru, Bhagalpur",OBG,"₹9,000*","₹82,000",3*,"₹25,00,000*",800,-,-,-,-,-,246(1),246(1),147(1),316(1),-
Bihar Govt Quota,UR-GEN,Bihar,"Nalanda Med Coll, Patna",TBRD,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,-,-,-,-,-,159(1),159(1),148(1),252(1),-
Bihar Govt Quota,EBC-GEN,Bihar,"IGIMS, Patna",OBG,"₹1,60,000*","₹1,05,000*",0,₹0,1062,253(1),253(1),-,-,-,214(1),215(1),149(1),-,-
Bihar Govt Quota,SC-GEN,Bihar,"Darbhanga, Lehriasarai",RADIO DIAGNOSIS,"₹9,000*","₹82,000",3*,"₹25,00,000*",1030,-,-,-,-,-,253(1),253(1),151(1),-,-
Bihar Govt Quota,SC-GEN,Bihar,"Nalanda Med Coll, Patna",DERMATOLOGY,"₹9,000*","₹82,000",3*,"₹25,00,000*",750,288(1),516(1),533(1),-,-,129(1),254(1),152(1),-,-
