Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
PB Priv-SGRDGener.,GEN,Punjab,"SDRD, Amritsar",TBRD,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,565(1),461(1),-,-,-,-,-,600(1),-,-
PB Priv-AdeshGenMerit,BC,Punjab,"Adesh IMS, Bhatinda",ANAESTHESIOLOGY,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,-,-,-,-,-,-,-,607(1),-,-
PB Priv-DMC Mgmt,SC,Punjab,"DMC, Ludhiana",ANAESTHESIOLOGY,"₹6,50,000*","₹50,000",0,₹0,1326,763(2),492(2),440(1),-,-,970(2),655(1),610(1),114(1),-
Punjab DNB Serv,GEN,Punjab,"Lord MahavirCivilHosp,Ludhiana",DGO(NBEMS),"₹1,25,000","₹50,190*",1*,"₹10,00,000*",250,1110(2),542(1),526(1),-,-,1168(1),-,622(1),-,-
PB Priv-AdeshGenMerit,Adesh-IP-GEN,Punjab,"Adesh IMS, Bhatinda",ENT,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,747(1),695(1),576(1),-,-,888(1),534(1),631(1),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Patiala",PATHOLOGY,"₹1,25,000*","₹67,968*",1*,"₹10,00,000*",1130,443(1),416(1),429(2),-,-,843(5),691(5),632(1),-,-
PB Priv-AdeshGenMerit,Adesh-IP-GEN,Punjab,"Adesh IMS, Bhatinda",ANAESTHESIOLOGY,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,973(2),727(2),573(1),-,-,1161(5),707(2),634(1),-,-
PB Priv-SGRDGener.,GEN,Punjab,"SDRD, Amritsar",ANAESTHESIOLOGY,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,1129(3),-,789(3),-,-,781(3),681(2),656(1),-,-
Punjab DNB Serv,GEN,Punjab,"SBLS Civil Hospital, Jalandhar",DNBANAESTHESIOLOGY,"₹1,25,000","₹50,190*",1*,"₹10,00,000*",470,777(1),499(1),399(1),-,-,826(1),-,665(1),162(1),-
PB Priv-SGRDSikhMin.,GEN,Punjab,"SDRD, Amritsar",ANAESTHESIOLOGY,"₹14,00,000*","₹65,000",1*,"₹15,00,000*",800,755(5),699(5),631(3),-,-,851(5),609(4),667(3),-,-
Punjab DNB Serv,GEN,Punjab,"SBLS Civil Hospital, Jalandhar",DCH(NBEMS),"₹1,25,000","₹50,190*",1*,"₹10,00,000*",470,913(2),-,-,-,-,1090(1),-,668(1),-,-
PB Priv-AdeshAllIndia,SC,Punjab,"Adesh IMS, Bhatinda",OBG,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,-,-,-,-,-,1256(2),747(2),679(1),-,-
PB Priv-AdeshAllIndia,GEN,Punjab,"Adesh IMS, Bhatinda",PATHOLOGY,"₹14,90,000*","₹56,100*",1*,"₹25,00,000*",750,688(1),765(1),-,-,-,-,-,703(1),-,-
PB - Govt Quota,GEN,Punjab,"Govt Med Coll, Amritsar",SPM,"₹1,00,000*","₹67,968*",1*,"₹10,00,000*",951,880(1),-,657(1),199(1),-,1369(1),866(1),708(1),-,-
