Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
HAR Govt-Inst. Pref,IP-UR Service,Haryana,"ESIC Med Coll, Faridabad",EMERGENCY MEDICINE,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,-,-,-,-,-,1499(1),561(1),175(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"Al Falah SchooloffMS,Faridabad",DERMATOLOGY,"₹32,90,000*","₹55,000",0,₹0,-,493(2),454(2),-,-,-,-,687(2),609(2),178(1),-,-
HAR Govt-All,UR Service,Haryana,"Pt BD Sharma, Rohtak",GENERAL SURGERY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,350(2),312(2),174(2),-,-,-,1318(1),-,181(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",OBG,"₹14,02,000*","₹56,100",0,₹0,-,653(3),570(3),357(3),145(1),-,-,828(4),467(4),182(2),-,-
HAR Govt-All,UR,Haryana,"SHKM, Nalhar",PATHOLOGY,"₹1,25,000*","₹1,00,980*",0*,₹0*,500,736(1),424(1),360(1),-,-,-,756(1),511(1),183(1),-,-
HAR Govt-Inst. Pref,IP-SC,Haryana,"Pt BD Sharma, Rohtak",RADIATION ONCOLOGY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,-,-,-,-,-,-,1147(1),520(1),188(1),-,-
HAR Govt-All,UR,Haryana,"Pt BD Sharma, Rohtak",SPM,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,-,-,292(1),-,-,-,689(1),597(1),194(1),-,-
HAR Govt-All,BCB Service,Haryana,"Kalpana Chawala Govt MC,Karnal",PAEDIATRICS,"₹1,25,000*","₹1,00,980*",0*,₹0*,500,-,-,-,-,-,-,1380(1),-,195(1),-,-
HAR Govt-All,SCD,Haryana,"ESIC Med Coll, Faridabad",OPHTHALMOLOGY,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,-,-,-,-,-,1294(1),599(1),196(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"Adesh Med Coll, Shahabad",ENT,"₹14,02,000*","₹44,000",0,₹0,775,871(1),721(1),-,153(1),-,-,800(1),600(1),197(1),-,-
HAR Govt-All,BCB,Haryana,"BPS Govt Med Coll, Sonepat",PATHOLOGY,"₹1,25,000*","₹1,00,980*",0*,₹0*,506,1024(1),619(1),409(1),-,-,-,1243(1),544(1),199(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"SGGST Med Coll, Gurgaon",GENERAL MEDICINE,"₹35,00,000*","₹56,100",Info Not Available,Info not available,720,613(5),406(4),-,-,-,-,945(5),610(5),202(2),-,-
HAR Priv-Govt Quota,UR,Haryana,"World College of MS&RC, Jhajjar",PSYCHIATRY,"₹14,02,000*","₹56,100",0,₹0,-,-,-,460(1),-,-,-,1031(1),611(1),203(1),-,-
HAR Priv-Govt Quota,UR Service,Haryana,"Maharaja Agrasen, Agroha",GENERAL SURGERY,"₹1,00,000*","₹95,594",0*,₹0*,550,440(1),256(1),138(1),-,-,-,362(1),176(1),205(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"Al Falah SchooloffMS,Faridabad",PAEDIATRICS,"₹29,90,000*","₹55,000",0,₹0,-,502(1),577(1),373(1),-,-,-,948(1),688(1),209(1),94(1),45(1)
HAR Govt-All,UR Service,Haryana,"Pt BD Sharma, Rohtak",TBRD,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,-,-,-,-,-,-,1453(1),-,215(1),-,-
HAR Priv-Govt Quota,UR Service,Haryana,"NC Med Coll, Panipat",GENERAL MEDICINE,"₹14,02,000*","₹40,000",0,₹0,680,-,-,-,-,-,-,1472(1),-,218(1),-,-
Haryana Priv IP,IP-UR,Haryana,"Adesh Med Coll, Shahabad",ANAESTHESIOLOGY,"₹14,02,000*","₹44,000",0,₹0,775,-,-,-,-,-,-,1495(1),1007(1),222(1),-,-
HAR Priv-Govt Quota,UR,Haryana,"World College of MS&RC, Jhajjar",TBRD,"₹14,02,000*","₹56,100",0,₹0,-,-,-,-,-,-,-,1109(1),645(1),223(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"Adesh Med Coll, Shahabad",ANAESTHESIOLOGY,"₹14,02,000*","₹44,000",0,₹0,775,818(2),511(2),368(2),-,-,-,1181(2),726(2),224(1),95(1),58(1)
HAR Govt-Inst. Pref,IP-UR Service,Haryana,"Pt BD Sharma, Rohtak",GENERAL SURGERY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,-,-,-,-,-,-,1524(1),-,228(1),-,-
HAR Priv-Govt Quota,UR,Haryana,"World College of MS&RC, Jhajjar",PAEDIATRICS,"₹14,02,000*","₹56,100",0,₹0,-,620(1),465(1),-,-,-,-,876(1),657(1),231(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",GENERAL SURGERY,"₹14,02,000*","₹56,100",0,₹0,-,706(2),603(5),477(4),276(4),-,-,1111(4),622(3),236(2),85(1),25(1)
HAR Priv-Mgmt,MNG,Haryana,"World College of MS&RC, Jhajjar",PSYCHIATRY,"₹14,02,000*","₹56,100",0,₹0,-,781(1),606(1),396(1),271(2),590(2),-,1110(1),514(1),242(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"NC Med Coll, Panipat",ENT,"₹14,02,000*","₹40,000",0,₹0,680,888(1),741(1),522(1),331(1),902(1),-,960(1),687(1),243(1),134(1),-
HAR Priv-Mgmt,MNG,Haryana,"Al Falah SchooloffMS,Faridabad",OBG,"₹29,90,000*","₹55,000",0,₹0,-,752(2),585(2),-,-,-,-,985(2),679(2),245(2),-,-
HAR Govt-All,UR,Haryana,"Pt BD Sharma, Rohtak",MICROBIOLOGY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,-,-,-,-,-,-,478(1),684(1),248(1),-,-
HAR Priv-Minority,MINORITY,Haryana,"Al Falah SchooloffMS,Faridabad",GENERAL MEDICINE,"₹29,90,000*","₹55,000",0,₹0,-,938(1),755(2),-,-,-,-,1462(3),791(2),251(1),-,-
HAR Priv-Govt Quota,UR,Haryana,"NC Med Coll, Panipat",OPHTHALMOLOGY,"₹14,02,000*","₹40,000",0,₹0,680,-,-,-,-,-,-,-,-,254(1),-,-
HAR Priv-Govt Quota,UR,Haryana,"SGGST Med Coll, Gurgaon",PAEDIATRICS,"₹32,00,000*","₹56,100",Info Not Available,Info not available,720,639(1),462(1),-,-,-,-,813(1),711(1),266(1),-,-
HAR Govt-All,UR Service,Haryana,"ESIC Med Coll, Faridabad",ENT,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,-,-,-,-,-,1676(1),-,267(1),-,-
HAR Priv-Minority,MINORITY,Haryana,"Al Falah SchooloffMS,Faridabad",PAEDIATRICS,"₹29,90,000*","₹55,000",0,₹0,-,869(1),-,381(1),-,-,-,1681(1),-,269(1),-,-
HAR Govt-All,UR Service,Haryana,"Pt BD Sharma, Rohtak",ANAESTHESIOLOGY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,710(3),430(3),267(3),-,-,-,1793(4),-,272(2),-,-
HAR Govt-Inst. Pref,IP-UR,Haryana,"Pt BD Sharma, Rohtak",SPM,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,-,-,-,-,-,-,723(1),-,275(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"SGGST Med Coll, Gurgaon",TBRD,"₹29,00,000*","₹56,100",Info Not Available,Info not available,720,767(1),605(1),371(1),-,-,-,1138(1),727(1),278(1),-,-
HAR Priv-Govt Quota,UR,Haryana,"NC Med Coll, Panipat",GENERAL SURGERY,"₹14,02,000*","₹40,000",0,₹0,680,413(1),357(1),535(2),-,-,-,1120(1),732(1),282(2),-,-
HAR Priv-Govt Quota,BCA,Haryana,"World College of MS&RC, Jhajjar",OBG,"₹14,02,000*","₹56,100",0,₹0,-,-,-,-,-,-,-,932(1),737(1),287(1),-,-
HAR Priv-Govt Quota,UR Service,Haryana,"World College of MS&RC, Jhajjar",GENERAL MEDICINE,"₹14,02,000*","₹56,100",0,₹0,-,-,-,-,-,-,-,1755(1),-,290(1),-,-
Haryana Priv NRI,NRI,Haryana,"World College of MS&RC, Jhajjar",TBRD,"₹14,02,000*","₹56,100",0,₹0,-,-,898(1),663(1),-,-,-,2178(1),746(1),291(1),-,-
HAR Priv-Govt Quota,UR,Haryana,"Adesh Med Coll, Shahabad",PATHOLOGY,"₹5,52,000*","₹44,000",0,₹0,775,-,-,318(1),-,-,-,1779(1),-,297(1),-,-
HAR Priv-Govt Quota,UR,Haryana,"SGGST Med Coll, Gurgaon",OPHTHALMOLOGY,"₹29,00,000*","₹56,100",Info Not Available,Info not available,720,-,-,-,-,-,-,1115(1),756(1),298(1),-,-
HAR Priv-Govt Quota,UR Service,Haryana,"Maharaja Agrasen, Agroha",ANAESTHESIOLOGY,"₹1,00,000*","₹95,594",0*,₹0*,550,732(1),450(1),282(1),-,-,-,1794(1),-,304(1),-,-
HAR Priv-Mgmt,MNG,Haryana,"SGGST Med Coll, Gurgaon",ENT,"₹22,00,000*","₹56,100",Info Not Available,Info not available,720,890(1),-,-,-,-,-,1203(2),775(2),312(1),145(1),-
HAR Govt-All,BCA,Haryana,"Pt BD Sharma, Rohtak",FORENSIC MEDICINE,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,-,-,-,-,-,-,1824(1),-,314(1),-,-
HAR Priv-Govt Quota,SC,Haryana,"World College of MS&RC, Jhajjar",DERMATOLOGY,"₹14,02,000*","₹56,100",0,₹0,-,714(1),-,-,-,-,-,-,-,315(1),329(1),-
HAR Priv-Mgmt,MNG,Haryana,"SGGST Med Coll, Gurgaon",OPHTHALMOLOGY,"₹29,00,000*","₹56,100",Info Not Available,Info not available,720,864(2),736(2),453(2),231(1),-,-,997(1),778(1),316(1),-,-
HAR Govt-Inst. Pref,IP-BCA Service,Haryana,"Pt BD Sharma, Rohtak",GENERAL SURGERY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,1452(1),887(1),654(1),-,-,-,1841(1),-,320(1),-,-
HAR Priv-Govt Quota,UR,Haryana,"World College of MS&RC, Jhajjar",GENERAL SURGERY,"₹14,02,000*","₹56,100",0,₹0,-,-,469(1),602(2),-,-,-,1445(1),785(1),324(2),113(1),-
Haryana DNB Serv,UR,Haryana,"Civil Hospital, Faridabad",DNBOBG,"₹1,25,000","₹1,00,980",Info Not Available,Info not available,200,-,-,-,-,-,-,1847(1),-,325(1),-,-
Haryana DNB Serv,UR,Haryana,"SHKM Gov Med Coll, Nuh",DNBTBRD,"₹1,25,000","₹1,00,980",Info Not Available,Info not available,647,735(1),455(1),284(1),-,-,-,1848(1),-,326(1),126(1),-
Haryana DNB Serv,UR,Haryana,"SHKM Gov Med Coll, Nuh",DNBGENERAL SURGERY,"₹1,25,000","₹1,00,980",Info Not Available,Info not available,647,600(1),541(1),345(1),-,-,-,1878(1),-,336(1),-,-
HAR Govt-All,SCD,Haryana,"Pt BD Sharma, Rohtak",PATHOLOGY,"₹1,25,000*","₹1,00,980*",0*,₹0*,2080,-,-,507(1),-,-,-,1947(1),828(1),341(1),-,-
Haryana DNB Serv,UR,Haryana,"District Civil Hospital, Hisar",DCH(NBEMS),"₹1,25,000","₹1,00,980",Info Not Available,Info not available,Info Not Available,-,-,-,-,-,-,1914(1),-,345(1),-,-
HAR Priv-Govt Quota,UR,Haryana,"World College of MS&RC, Jhajjar",ENT,"₹14,02,000*","₹56,100",0,₹0,-,-,-,-,-,-,-,-,-,346(1),-,-
Haryana DNB Serv,UR,Haryana,"Kalpana Chawla GMC Hosp,Karnal",DNBANAESTHESIOLOGY,"₹1,25,000","₹1,00,980",Info Not Available,Info not available,345,861(1),544(1),-,-,-,-,1931(1),-,350(1),-,-
HAR Govt-Inst. Pref,IP-UR Service,Haryana,"ESIC Med Coll, Faridabad",OBG,"₹2,50,000*","₹1,15,853*",2*,"₹10,00,000*",625,-,-,-,-,-,-,1210(1),-,352(1),-,-
