Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
UP-DNB InS,UR Service,Uttar Pradesh,"Autonomous State MC, Firozabad",DNBORTHOPAEDICS,"₹1,25,000","₹80,000*",0*,₹0*,244,-,-,-,-,-,48(1),48(1),50(1),-,-
UP-Govt Quota,UR,Uttar Pradesh,"S N Med Coll, Agra",DERMATOLOGY,"₹40,000","₹1,00,980*",2*,"₹40,00,000*",976,-,-,-,-,-,48(1),48(1),50(1),-,-
UP-DNB InS,BC Service,Uttar Pradesh,"Balrampur Hospital, Lucknow",DCH(NBEMS),"₹1,25,000","₹70,000*",0*,₹0*,656,66(1),66(1),-,-,-,49(1),49(1),51(1),83(1),-
UP-Govt Quota,UR,Uttar Pradesh,"Dr RML IMS, Lucknow",GENERAL MEDICINE,"₹37,500*","₹1,08,672",2*,"₹40,00,000*",Info Not Available,32(1),33(1),-,-,-,26(1),50(1),52(1),-,-
UP-DNB InS,BC Service,Uttar Pradesh,"UrsalaHorsmanMemHosp, Kanpur",DNBPAEDIATRICS,"₹1,25,000","₹70,000",0*,₹0*,550,-,-,-,-,-,28(1),28(1),52(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"Dist Women Hosp, Rekab Ganj",DCH(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,-,-,-,-,-,-,51(1),51(1),53(1),-,136(1)
UP-DNB InS,BC Service,Uttar Pradesh,"RajaPratapBahadurHosp,Pratapgar",DNBGENERAL MEDICINE,"₹1,25,000","₹80,000*",0*,₹0*,336,-,-,-,-,-,53(1),53(1),55(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"ShriShivPrasadDistHos,Varanasi",DCH(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,316,7(1),16(1),-,-,-,43(1),52(1),56(2),-,-
UP-Govt Quota,BC,Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,"₹54,700*","₹1,09,955",2*,"₹40,00,000*",4500,34(1),35(1),-,-,-,13(1),55(1),60(1),-,-
UP-DNB InS,UR Service,Uttar Pradesh,"TejBahadurSapru Hosp,Allahabad",DCH(NBEMS),"₹1,25,000","₹70,000*",0*,₹0*,171,-,-,-,-,-,-,-,60(1),132(1),-
UP-DNB InS,BC Service,Uttar Pradesh,"MaharajaSuhelDevMed,Bahraich,UP",DCH(NBEMS),"₹1,25,000","₹80,000*",0*,₹0*,550,-,-,-,-,-,59(1),59(1),61(1),-,-
UP-DNB InS,BC Service,Uttar Pradesh,"Dist Women Hosp, Raebareli",DGO(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,-,-,-,-,-,-,61(1),61(1),63(1),-,-
UP-DNB InS,SC Service,Uttar Pradesh,"UrsalaHorsmanMemHosp, Kanpur",DNBGENERAL MEDICINE,"₹1,25,000","₹70,000",0*,₹0*,550,-,-,-,-,-,23(1),62(1),64(1),-,-
